taxonID,taxonKey,scientificName,action,acceptedKey,acceptedName
39738,148779504,"Campylopus introflexus Bridel, 1819",scientificName_replaced_by_backbone_name,5281901,Campylopus introflexus (Hedw.) Brid.
40099,148779505,"Potamopyrgus antipodarum (Gray, 1843)",scientificName_replaced_by_backbone_name,5192470,"Potamopyrgus antipodarum (J.E.Gray, 1843)"
40075,148779517,"Physella integra (Haldeman, 1841)",merged_with_accepted,5189806,"Physella acuta (Draparnaud, 1805)"
39966,148779525,Larix kaempferi (Lamb.) CarriÃ¨re,scientificName_replaced_by_backbone_name,2686157,Larix kaempferi (Lamb.) Carrière
39891,148779529,"Ferrissia fragilis (Tryon, 1863)",merged_with_accepted,9520065,"Ferrissia californica (Rowell, 1863)"
40278,148779538,Wolffia arrhiza Wimm.,scientificName_replaced_by_backbone_name,5330092,Wolffia arrhiza (L.) Horkel ex Wimm.
39797,148779545,Craspedacusta sowerbyi Lancaster,not_matched_with_backbone,,
39843,148779546,Elodea nuttallii St.John,scientificName_replaced_by_backbone_name,5329212,Elodea nuttallii (Planch.) H.St.John
40101,148779564,"Potamothrix bedoti (Piquet, 1913)",scientificName_replaced_by_backbone_name,2308604,"Potamothrix bedoti (Piguet, 1913)"
40102,148779572,"Potamothrix moldaviensis (VejdovskÃ½ & MrÃ¡zek, 1903)",scientificName_replaced_by_backbone_name,2308609,"Potamothrix moldaviensis Vejdovský & Mrázek, 1903"
39750,148779577,"Caspiobdella fadejewi (Selensky, 1915)",scientificName_replaced_by_backbone_name,2307856,"Caspiobdella fadejewi (Epshtein, 1961)"
39954,148779582,Juncus gerardii Loisel.,scientificName_replaced_by_backbone_name,6413621,Juncus gerardi Loisel.
39745,148779586,Carex melanostachya Willd.,scientificName_replaced_by_backbone_name,2723271,Carex melanostachya M.Bieb. ex Willd.
39702,148779590,Bolboschoenus maritimus Palla,scientificName_replaced_by_backbone_name,2718307,Bolboschoenus maritimus (L.) Palla
39752,148779597,Cenchrus incertus M.A.Curtis,merged_with_accepted,5289726,Cenchrus spinifex Cav.
39718,148779601,Bromus pseudodanthoniae Drobow,merged_with_accepted,2703704,Bromus danthoniae Trin.
40032,148779603,"Neovison vison (Schreber, 1777)",merged_with_accepted,5218823,"Mustela vison Schreber, 1777"
39801,148779607,Crypsis schoenoides Hochst.,merged_with_accepted,9632508,Sporobolus alopecuroides (Piller & Mitterp.) P.M.Peterson
39845,148779611,Elymus hispidus (Opiz) Melderis,merged_with_accepted,4932599,Thinopyrum intermedium subsp. intermedium
40073,148779615,Phragmites australis subsp. altissimus (Benth.) Clayton,merged_with_accepted,7638750,Phragmites australis subsp. isiacus (Arcang.)
40066,148779624,Pennisetum glaucum (L.) R.Br.,merged_with_accepted,5828197,Cenchrus americanus (L.) Morrone
40276,148779626,Vulpia myuros (L.) C.C.Gmel.,merged_with_accepted,2702727,Festuca myuros L.
40274,148779628,Vulpia bromoides (L.) Gray,merged_with_accepted,2702740,Festuca bromoides L.
40275,148779629,Vulpia fasciculata Sampaio,merged_with_accepted,4124456,Festuca fasciculata Forssk.
