taxonKey,nubKey,countryCode,occurrenceStatus,establishmentMeans,degreeOfEstablishment,pathway,eventDate,source
152543101,5740285,BE,present,introduced,,,,"https://www.gbif.org/species/164300887: Gyrodactylus proterorhini Ergens, 1967 in Reyserhove L, Groom Q, Adriaens T, Desmet P, Dekoninck W, Van Keer K, Lock K (2020). Ad hoc checklist of alien species in Belgium. Version 1.7. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/3pmlxs"
152543102,3202936,BE,present,introduced,,,,"https://www.gbif.org/species/164300676: Aphanomyces astaci Schikora in Reyserhove L, Groom Q, Adriaens T, Desmet P, Dekoninck W, Van Keer K, Lock K (2020). Ad hoc checklist of alien species in Belgium. Version 1.7. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/3pmlxs"
152543110,5179027,BE,present,introduced,,,,"https://www.gbif.org/species/206107691: Scutigera coleoptrata in Swinnen K, Bronne L, Herremans M, Gielen K, Adriaens T, Baartmans T, Baert D, Baltus H, Barendse R, Boeraeve M, Boers K, Bogaert J, Bouillard N, Claerebout S, De Knijf G, De Beer D, De Smedt P, De Cock R, De Grave D, De Ketelaere A, Deblauwe I, Decrick L, Dekeukeleire D, Deraedt H, Devalez J, D'Haeseleer J, Driessens G, Eysermans D, Fagot J, Hendrickx R, Jooris R, Langeraert W, Lavreys E, Lock K, Logghe G, Maes K, Mayon N, Moonen E, Mortelmans J, Muls D, Opdekamp W, Peeters K, Pieters R, Pollet M, Ravoet J, Rhebergen F, Schneider A, Segers S, Septor R, Soors J, Speybroeck J, Steeman C, Steeman R, Thomaes A, Uitterhaegen B, van Doorn L, van der Schoot P, Van den Neucker T, van den Berg E, Van Sanden P, Van De Poel S, Van Steenwinkel C, Vanormelingen P, Vantieghem P, Veraghtert W, Verbelen D, Verbeylen G, Verhaeghe F, Verheyde F, Vermeiren H, Vertommen W, Zeegers T, Lambrechts J, Vanreusel W, Paquet J, Desmet P (2022). Waarnemingen.be / observations.be - List of species observed in Belgium. Version 1.1. Natuurpunt. Checklist dataset https://doi.org/10.15468/a7wkuh"
152543115,5250069,BE,present,introduced,,,,"https://www.gbif.org/species/164300768: Thecaphora oxalidis (Ellis & Tracy) M. Lutz, R. Bauer & Piątek in Reyserhove L, Groom Q, Adriaens T, Desmet P, Dekoninck W, Van Keer K, Lock K (2020). Ad hoc checklist of alien species in Belgium. Version 1.7. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/3pmlxs"
152543120,4985072,BE,present,introduced,,,,"https://www.gbif.org/species/157131005: Tricellaria inopinata d'Hondt & Occhipinti Ambrogi, 1985 in Rius, M.; Ahyong, S.; Bieler, R.; Boudouresque, C.; Costello, M. J.; Downey, R.; Galil, B. S.; Gollasch, S.; Hutchings, P.; Kamburska, L.; Katsanevakis, S.; Kupriyanova, E.; Lejeusne, C.; Marchini, A.; Occhipinti, A.; Pagad, S.; Panov, V. E.; Poore, G. C. B; Robinson, T. B.; Sterrer, W.; Turon, X.; Valls Domedel, G.; Verleye, T.; Vieira, L. M.; Willan, R. C.; Yeo Chong Jinn, D.; Zhan, A. (2023). World Register of Introduced Marine Species (WRiMS). Accessed at https://www.marinespecies.org/introduced on 2023-09-01. doi:10.14284/347"
152543121,5250090,BE,present,introduced,,,,"https://www.gbif.org/species/164300703: Urocystis trollii Nannf. in Reyserhove L, Groom Q, Adriaens T, Desmet P, Dekoninck W, Van Keer K, Lock K (2020). Ad hoc checklist of alien species in Belgium. Version 1.7. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/3pmlxs"
152543128,2557730,BE,present,introduced,,,,"https://www.gbif.org/species/164300761: Sporisorium destruens (Schltdl.) Vánky in Reyserhove L, Groom Q, Adriaens T, Desmet P, Dekoninck W, Van Keer K, Lock K (2020). Ad hoc checklist of alien species in Belgium. Version 1.7. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/3pmlxs"
152543132,6157050,BE,present,introduced,,,,"https://www.gbif.org/species/213159098: Graptemys pseudogeographica kohnii (Baur, 1890) in van Doorn L, Reyserhove L, Speybroeck J, Adriaens T (2023). Checklist of alien herpetofauna of Belgium. Version 1.3. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/pnxu4c"
152543136,7190901,BE,present,introduced,,,,"https://www.gbif.org/species/213159099: Graptemys pseudogeographica pseudogeographica (Gray, 1831) in van Doorn L, Reyserhove L, Speybroeck J, Adriaens T (2023). Checklist of alien herpetofauna of Belgium. Version 1.3. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/pnxu4c"
152543139,6157035,BE,present,introduced,,,,"https://www.gbif.org/species/180661220: Trachemys scripta troostii (Holbrook, 1836) in van Doorn L, Reyserhove L, Speybroeck J, Adriaens T (2023). Checklist of alien herpetofauna of Belgium. Version 1.3. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/pnxu4c"
