taxonKey,taxonID,scientificName,kingdom,taxonRank
152543101,https://www.gbif.org/species/5740285,"Gyrodactylus proterorhini Ergens, 1967",Animalia,SPECIES
152543102,https://www.gbif.org/species/3202936,Aphanomyces astaci Schikora,Chromista,SPECIES
152543110,https://www.gbif.org/species/5179027,"Scutigera coleoptrata Linnaeus, 1758",Animalia,SPECIES
152543115,https://www.gbif.org/species/5250069,"Thecaphora oxalidis (Ellis & Tracy) M.Lutz, R.Bauer & Piątek",Fungi,SPECIES
152543120,https://www.gbif.org/species/4985072,"Tricellaria inopinata d'Hondt & Occhipinti Ambrogi, 1985",Animalia,SPECIES
152543121,https://www.gbif.org/species/5250090,Urocystis trollii Nannf.,Fungi,SPECIES
152543128,https://www.gbif.org/species/2557730,Sporisorium destruens (Schltdl.) Vánky,Fungi,SPECIES
152543132,https://www.gbif.org/species/6157050,"Graptemys pseudogeographica kohnii (Baur, 1890)",Animalia,SUBSPECIES
152543136,https://www.gbif.org/species/7190901,Graptemys pseudogeographica pseudogeographica,Animalia,SUBSPECIES
152543139,https://www.gbif.org/species/6157035,"Trachemys scripta troostii (Holbrook, 1836)",Animalia,SUBSPECIES
152543140,https://www.gbif.org/species/6157026,"Trachemys scripta elegans (Wied, 1838)",Animalia,SUBSPECIES
152543141,https://www.gbif.org/species/7062200,Trachemys scripta scripta,Animalia,SUBSPECIES
152543142,https://www.gbif.org/species/2537743,Lentinula edodes (Berk.) Pegler,Fungi,SPECIES
152543147,https://www.gbif.org/species/9350124,"Natrix helvetica (Lacépède, 1789)",Animalia,SPECIES
152543152,https://www.gbif.org/species/2516809,Melampsoridium betulinum (Pers.) Kleb.,Fungi,SPECIES
152543157,https://www.gbif.org/species/2516419,Tranzschelia discolor (Fuckel) Tranzschel & M.A.Litv.,Fungi,SPECIES
152543162,https://www.gbif.org/species/7239373,Uromyces veratri (DC.) J.Schröt.,Fungi,SPECIES
152543166,https://www.gbif.org/species/2516117,Gymnosporangium confusum Plowr.,Fungi,SPECIES
152543167,https://www.gbif.org/species/2516137,Gymnosporangium sabinae (Dicks.) G.Winter,Fungi,SPECIES
152543168,https://www.gbif.org/species/9185677,"Podarcis siculus (Rafinesque-Schmaltz, 1810)",Animalia,SPECIES
152543169,https://www.gbif.org/species/2469188,"Podarcis muralis (Laurenti, 1768)",Animalia,SPECIES
152543171,https://www.gbif.org/species/2516075,Cumminsiella mirabilissima (Peck) Nannf.,Fungi,SPECIES
152543176,https://www.gbif.org/species/3376286,Puccinia pazschkei Dietel,Fungi,SPECIES
152543178,https://www.gbif.org/species/4344674,"Dendrocoelum romanodanubiale (Codreanu, 1949)",Animalia,SPECIES
152543181,https://www.gbif.org/species/2515351,Puccinia oxalidis Dietel & Ellis,Fungi,SPECIES
152543183,https://www.gbif.org/species/2515236,Puccinia antirrhini Dietel & Holw.,Fungi,SPECIES
2514972,https://www.gbif.org/species/2514972,Puccinia komarovii Tranzschel,Fungi,SPECIES
152543187,https://www.gbif.org/species/2514966,Puccinia sorghi Schwein.,Fungi,SPECIES
152543192,https://www.gbif.org/species/2502938,"Bipalium kewense Moseley, 1878",Animalia,SPECIES
152543197,https://www.gbif.org/species/2513609,Entyloma calendulae (Oudem.) de Bary,Fungi,SPECIES
152543200,https://www.gbif.org/species/5232428,"Chloephaga picta (J.F.Gmelin, 1789)",Animalia,SPECIES
152543206,https://www.gbif.org/species/5232437,"Branta canadensis (Linnaeus, 1758)",Animalia,SPECIES
152543207,https://www.gbif.org/species/7670473,"Batrachochytrium salamandrivorans A.Martel, Blooi, Bossuyt & Pasmans",Fungi,SPECIES
152543209,https://www.gbif.org/species/2627503,"Batrachochytrium dendrobatidis Longcore, Pessier & D.K.Nichols",Fungi,SPECIES
152543210,https://www.gbif.org/species/2498387,"Aix sponsa (Linnaeus, 1758)",Animalia,SPECIES
152543211,https://www.gbif.org/species/2498388,"Aix galericulata (Linnaeus, 1758)",Animalia,SPECIES
152543214,https://www.gbif.org/species/2498390,"Marmaronetta angustirostris (Ménétries, 1832)",Animalia,SPECIES
152543218,https://www.gbif.org/species/2498252,"Alopochen aegyptiaca (Linnaeus, 1766)",Animalia,SPECIES
152543221,https://www.gbif.org/species/2498305,"Oxyura jamaicensis (J.F.Gmelin, 1789)",Animalia,SPECIES
152543224,https://www.gbif.org/species/2498344,"Cygnus atratus (Latham, 1790)",Animalia,SPECIES
152543227,https://www.gbif.org/species/2498015,"Tadorna ferruginea (Pallas, 1764)",Animalia,SPECIES
152543235,https://www.gbif.org/species/2498035,"Anser indicus (Latham, 1790)",Animalia,SPECIES
152543236,https://www.gbif.org/species/6096602,Lophocolea semiteres (Lehm.) Mitt.,Plantae,SPECIES
152543248,https://www.gbif.org/species/5930559,Ilex ×altaclerensis (Loudon) Dallim.,Plantae,SPECIES
152543250,https://www.gbif.org/species/5414239,Ilex crenata Thunb.,Plantae,SPECIES
152543251,https://www.gbif.org/species/5533814,Ilex ×meserveae S.Y.Hu,Plantae,SPECIES
152543252,https://www.gbif.org/species/5220170,"Rupicapra rupicapra (Linnaeus, 1758)",Animalia,SPECIES
152543258,https://www.gbif.org/species/5220136,"Dama dama (Linnaeus, 1758)",Animalia,SPECIES
152543260,https://www.gbif.org/species/2440954,"Cervus nippon Temminck, 1838",Animalia,SPECIES
152543264,https://www.gbif.org/species/2440946,"Muntiacus reevesi (Ogilby, 1839)",Animalia,SPECIES
152543266,https://www.gbif.org/species/5421116,Tribulus terrestris L.,Plantae,SPECIES
152543269,https://www.gbif.org/species/5219858,"Ondatra zibethicus (Linnaeus, 1766)",Animalia,SPECIES
152543273,https://www.gbif.org/species/4264680,"Myocastor coypus (Molina, 1782)",Animalia,SPECIES
152543277,https://www.gbif.org/species/2439838,"Castor canadensis Kuhl, 1820",Animalia,SPECIES
152543281,https://www.gbif.org/species/3686235,Staphylea pinnata L.,Plantae,SPECIES
152543284,https://www.gbif.org/species/2437619,"Dolichotis patagonum (Zimmermann, 1780)",Animalia,SPECIES
152543289,https://www.gbif.org/species/5219721,"Meriones unguiculatus (Milne-Edwards, 1867)",Animalia,SPECIES
152543292,https://www.gbif.org/species/5914287,Melia azedarach L.,Plantae,SPECIES
152543293,https://www.gbif.org/species/2439261,"Rattus norvegicus (Berkenhout, 1769)",Animalia,SPECIES
152543298,https://www.gbif.org/species/3190653,Ailanthus altissima (Mill.) Swingle,Plantae,SPECIES
152543299,https://www.gbif.org/species/5219681,"Sciurus carolinensis Gmelin, 1788",Animalia,SPECIES
152543300,https://www.gbif.org/species/5219683,"Sciurus niger Linnaeus, 1758",Animalia,SPECIES
152543304,https://www.gbif.org/species/2437450,"Tamias sibiricus (Laxmann, 1769)",Animalia,SPECIES
152543305,https://www.gbif.org/species/3190538,Rhus typhina L.,Plantae,SPECIES
152543306,https://www.gbif.org/species/3190551,Rhus ×pulvinata Greene,Plantae,SPECIES
