taxonKey,nubKey,taxonID,scientificName,kingdom,taxonRank
159881459,4410669,50672,"Lumbricus rubellus Hoffmeister, 1843",Animalia,SPECIES
159881464,5858758,50580,"Cornu aspersum (O.F.Müller, 1774)",Animalia,SPECIES
159881469,2436940,50702,"Oryctolagus cuniculus (Linnaeus, 1758)",Animalia,SPECIES
159881472,2441110,50703,"Ovis aries Linnaeus, 1758",Animalia,SPECIES
159881475,5219858,50699,"Ondatra zibethicus (Linnaeus, 1766)",Animalia,SPECIES
159881477,2439270,50748,"Rattus rattus (Linnaeus, 1758)",Animalia,SPECIES
159881478,2439261,50747,"Rattus norvegicus (Berkenhout, 1769)",Animalia,SPECIES
159881479,7429082,50691,"Mus musculus Linnaeus, 1758",Animalia,SPECIES
159881482,2434552,50695,"Nyctereutes procyonoides (Gray, 1834)",Animalia,SPECIES
159881484,2434271,50634,"Herpestes javanicus (É.Geoffroy Saint-Hilaire, 1818)",Animalia,SPECIES
159881488,2350570,50623,"Gambusia holbrooki Girard, 1859",Animalia,SPECIES
159881491,4284021,50759,"Salvelinus alpinus (Linnaeus, 1758)",Animalia,SPECIES
159881492,2351271,50760,"Salvelinus fontinalis (Mitchill, 1814)",Animalia,SPECIES
159881493,8215487,50758,"Salmo trutta Linnaeus, 1758",Animalia,SPECIES
159881494,5204019,50698,"Oncorhynchus mykiss (Walbaum, 1792)",Animalia,SPECIES
159881495,2351136,50578,"Coregonus peled (Gmelin, 1789)",Animalia,SPECIES
159881498,2362868,50741,"Pseudorasbora parva (Temminck & Schlegel, 1846)",Animalia,SPECIES
159881499,2362473,50642,"Hypophthalmichthys molitrix (Valenciennes, 1844)",Animalia,SPECIES
159881500,2362486,50643,"Hypophthalmichthys nobilis (Richardson, 1845)",Animalia,SPECIES
159881501,4286975,50592,"Cyprinus carpio Linnaeus, 1758",Animalia,SPECIES
159881502,2362030,50584,"Ctenopharyngodon idella (Valenciennes, 1844)",Animalia,SPECIES
159881503,4837765,50562,"Carassius langsdorfii Temminck & Schlegel, 1846",Animalia,SPECIES
159881504,2366634,50561,"Carassius gibelio (Bloch, 1782)",Animalia,SPECIES
159881507,2394563,50684,"Micropterus salmoides (Lacepède, 1802)",Animalia,SPECIES
159881508,2394486,50665,"Lepomis gibbosus (Linnaeus, 1758)",Animalia,SPECIES
159881510,2379245,50738,"Proterorhinus semilunaris (Heckel, 1837)",Animalia,SPECIES
159881511,4285968,50734,"Ponticola kessleri (Günther, 1861)",Animalia,SPECIES
159881512,2379105,50693,"Neogobius fluviatilis (Pallas, 1814)",Animalia,SPECIES
159881513,5788062,50542,"Babka gymnotrachelus (Kessler, 1857)",Animalia,SPECIES
159881516,2340989,50528,"Ameiurus nebulosus (Lesueur, 1819)",Animalia,SPECIES
159881517,2340977,50527,"Ameiurus melas (Rafinesque, 1820)",Animalia,SPECIES
159881521,9752149,50726,"Phasianus colchicus Linnaeus, 1758",Animalia,SPECIES
159881524,2498344,50591,"Cygnus atratus (Latham, 1790)",Animalia,SPECIES
159881525,2498388,50511,"Aix galericulata (Linnaeus, 1758)",Animalia,SPECIES
159881530,4989904,50629,"Harmonia axyridis (Pallas, 1773)",Animalia,SPECIES
159881533,1749449,50558,"Cameraria ohridella Deschka & Dimić, 1986",Animalia,SPECIES
159881536,1651430,50507,"Aedes albopictus (Skuse, 1894)",Animalia,SPECIES
159881542,5254231,50700,Ophiostoma novo-ulmi Brasier,Fungi,SPECIES
159881545,2566393,50583,Cryphonectria parasitica (Murrill) M.E.Barr,Fungi,SPECIES
159881551,2685796,50742,Pseudotsuga menziesii (Mirb.) Franco,Plantae,SPECIES
159881553,2684855,50733,Platycladus orientalis (L.) Franco,Plantae,SPECIES
159881554,2684030,50588,Cupressus sempervirens L.,Plantae,SPECIES
159881558,2865526,50798,Vallisneria spiralis L.,Plantae,SPECIES
159881559,2865448,50600,Elodea canadensis Michx.,Plantae,SPECIES
159881562,2765156,50792,Tradescantia fluminensis Vell.,Plantae,SPECIES
159881563,2765272,50793,Tradescantia virginiana L.,Plantae,SPECIES
159881564,2763939,50576,Commelina Plum. ex L.,Plantae,GENUS
159881565,2764179,50575,Commelina communis L.,Plantae,SPECIES
159881568,2720269,50761,Scirpus georgianus R.M.Harper,Plantae,SPECIES
159881570,2702084,50655,Juncus tenuis Willd.,Plantae,SPECIES
159881571,2701831,50654,Juncus dudleyi Wiegand,Plantae,SPECIES
8332019,8429468,50638,Hordeum distichon L.,Plantae,SPECIES
159881575,7795888,50796,Triticum aestivum L.,Plantae,SPECIES
159881576,5290052,50810,Zea mays L.,Plantae,SPECIES
2703723,2703727,50568,Bromus catharticus Vahl,Plantae,SPECIES
159881579,2705966,50762,Secale cereale L.,Plantae,SPECIES
159881580,5289666,50767,Setaria faberi R.A.W.Herrm.,Plantae,SPECIES
159881581,5289698,50768,Setaria italica (L.) P.Beauv.,Plantae,SPECIES
159881582,2705181,50777,Sorghum bicolor (L.) Moench,Plantae,SPECIES
159881583,2704768,50779,Sporobolus vaginiflorus (Torr. ex A.Gray) Alph.Wood,Plantae,SPECIES
159881584,2705185,50778,Sorghum halepense (L.) Pers.,Plantae,SPECIES
159881585,2705090,50710,Panicum miliaceum L.,Plantae,SPECIES
159881586,2705565,50716,Paspalum dilatatum Poir.,Plantae,SPECIES
159881587,2705622,50717,Paspalum distichum L.,Plantae,SPECIES
159881588,5289744,50724,Phalaris canariensis L.,Plantae,SPECIES
159881589,2705162,50708,Panicum capillare L.,Plantae,SPECIES
2705162,4126473,50711,Panicum capillare L.,Plantae,SPECIES
159881591,2705144,50709,Panicum dichotomiflorum Michx.,Plantae,SPECIES
159881592,2706026,50687,Miscanthus sinensis Andersson,Plantae,SPECIES
159881593,2706242,50669,Lolium temulentum L.,Plantae,SPECIES
159881594,2705503,50627,Glyceria striata (Lam.) Hitchc.,Plantae,SPECIES
159881595,2706056,50637,Hordeum vulgare L.,Plantae,SPECIES
159881596,2705953,50599,Eleusine indica (L.) Gaertn.,Plantae,SPECIES
159881597,2703705,50552,Bromus arvensis L.,Plantae,SPECIES
159881598,2703717,50553,Bromus secalinus L.,Plantae,SPECIES
159881599,2703041,50537,Arundo donax L.,Plantae,SPECIES
159881600,2705297,50540,Avena fatua L.,Plantae,SPECIES
159881601,2705290,50541,Avena sativa L.,Plantae,SPECIES
159881604,5296178,50772,Sisyrinchium montanum Greene,Plantae,SPECIES
159881605,5298069,50651,Iris ×germanica L.,Plantae,SPECIES
159881607,2781074,50632,Hemerocallis fulva (L.) L.,Plantae,SPECIES
159881609,2775619,50809,Yucca gloriosa L.,Plantae,SPECIES
159881610,2772666,50639,Hyacinthus orientalis L.,Plantae,SPECIES
159881612,2858244,50692,Narcissus pseudonarcissus L.,Plantae,SPECIES
159881613,2855398,50620,Galanthus elwesii Hook.f.,Plantae,SPECIES
159881614,2857697,50516,Allium cepa L.,Plantae,SPECIES
159881617,2873769,50503,Acorus calamus L.,Plantae,SPECIES
11162940,5362018,50765,Phedimus spurius subsp. spurius,Plantae,SUBSPECIES
159881623,7334489,50763,Sedum palmeri S.Watson,Plantae,SPECIES
159881624,5362004,50764,Sedum sarmentosum Bunge,Plantae,SPECIES
159881627,3039194,50714,Parthenocissus quinquefolia (L.) Planch.,Plantae,SPECIES
159881628,3039209,50715,Parthenocissus tricuspidata (Siebold & Zucc.) Planch.,Plantae,SPECIES
159881631,2928226,50723,Phacelia tanacetifolia Benth.,Plantae,SPECIES
7400250,3152815,50731,Platanus ×hispanica Mill. ex Münchh.,Plantae,SPECIES
159881636,3152816,50732,Platanus orientalis L.,Plantae,SPECIES
9823072,8156718,50707,Oxalis stricta L.,Plantae,SPECIES
159881641,2891664,50704,Oxalis articulata Savigny,Plantae,SPECIES
159881642,8427624,50705,Oxalis corniculata L.,Plantae,SPECIES
159881643,2891677,50706,Oxalis dillenii Jacq.,Plantae,SPECIES
159881646,3054368,50653,Juglans regia L.,Plantae,SPECIES
7764700,5599249,50671,Lonicera pileata var. yunnanensis (Franch.) Bernd Schulz,Plantae,VARIETY
159881652,5334240,50670,Lonicera japonica Thunb.,Plantae,SPECIES
159881655,3034015,50662,Laurus nobilis L.,Plantae,SPECIES
159881658,5331238,50805,Viola sororia Willd.,Plantae,SPECIES
159881660,5372639,50757,Salix babylonica L.,Plantae,SPECIES
159881662,2873861,50666,Linum usitatissimum L.,Plantae,SPECIES
159881664,3189530,50641,Hypericum majus (A.Gray) Britton,Plantae,SPECIES
159881666,5380041,50751,Ricinus communis L.,Plantae,SPECIES
159881667,3067891,50613,Euphorbia prostrata Aiton,Plantae,SPECIES
159881668,3067119,50610,Euphorbia maculata L.,Plantae,SPECIES
159881669,3064943,50611,Euphorbia marginata Pursh,Plantae,SPECIES
159881670,3070346,50612,Euphorbia nutans Lag.,Plantae,SPECIES
159881673,2985986,50640,Hydrangea arborescens L.,Plantae,SPECIES
159881674,2985965,50595,Deutzia scabra Thunb.,Plantae,SPECIES
2928859,2928860,50722,Petunia ×atkinsiana D.Don ex Loudon,Plantae,SPECIES
159881679,2929892,50773,Solanum elaeagnifolium Cav.,Plantae,SPECIES
159881680,2930262,50774,Solanum tuberosum L.,Plantae,SPECIES
159881681,5341784,50727,Physalis peruviana L.,Plantae,SPECIES
159881682,2928775,50694,Nicotiana rustica L.,Plantae,SPECIES
159881683,2928835,50674,Lycium barbarum L.,Plantae,SPECIES
159881685,2928751,50594,Datura stramonium L.,Plantae,SPECIES
159881686,2928755,50593,Datura innoxia Mill.,Plantae,SPECIES
159881689,3610757,50589,Cuscuta campestris Yunck.,Plantae,SPECIES
159881690,2928576,50650,Ipomoea purpurea (L.) Roth,Plantae,SPECIES
159881691,2928534,50649,Ipomoea nil (L.) Roth,Plantae,SPECIES
159881692,2928598,50648,Ipomoea indica (Burm.) Merr.,Plantae,SPECIES
159881695,2874655,50769,Sicyos angulatus L.,Plantae,SPECIES
159881696,5331404,50598,Echinocystis lobata (Michx.) Torr. & A.Gray,Plantae,SPECIES
159881697,2874570,50585,Cucumis melo L.,Plantae,SPECIES
159881698,2874569,50586,Cucumis sativus L.,Plantae,SPECIES
159881699,2874508,50587,Cucurbita pepo L.,Plantae,SPECIES
159881700,2874621,50573,Citrullus lanatus (Thunb.) Matsum. & Nakai,Plantae,SPECIES
8149923,3022511,50740,Prunus persica (L.) Stokes,Plantae,SPECIES
159881705,5365717,50737,Potentilla indica (Andrews) Th.Wolf,Plantae,SPECIES
3020980,3022502,50739,Prunus amygdalus Batsch,Plantae,SPECIES
159881707,2988354,50728,Physocarpus opulifolius (L.) Maxim.,Plantae,SPECIES
