taxonKey,nubKey,countryCode,occurrenceStatus,establishmentMeans,degreeOfEstablishment,pathway,eventDate,source
163315505,4283395,BG,present,introduced,,,,
163315506,3217906,BG,present,introduced,,,,
163315508,7951474,BG,present,introduced,,,,
163315513,4306613,BG,present,introduced,,,,
163315514,2268682,BG,present,introduced,,,,
163315515,3219381,BG,present,introduced,,,,
163315519,3219362,BG,present,introduced,,,,
2266546,2266521,BG,present,introduced,,,,
163315521,7406340,BG,present,introduced,,,,
2266546,11271734,BG,present,introduced,,,,
163315525,2266586,BG,present,introduced,,,,
163315532,9150298,BG,present,introduced,,,,
163315535,5233152,BG,present,introduced,,,,
163315543,2501248,BG,present,introduced,invasive,,,
163315545,2501237,BG,present,introduced,,,,
163315555,3207190,BG,present,introduced,,,,
163315556,2310244,BG,present,introduced,,,,
163315560,8368630,BG,present,introduced,,,,
163315561,2309075,BG,present,introduced,,,,
8216761,8216761,BG,present,introduced,,,,
163315568,2327735,BG,present,introduced,,,,
163315573,8082735,BG,present,introduced,,,,
163315574,7981847,BG,present,introduced,,,,
163315575,5197747,BG,present,introduced,,,,
163315577,2321463,BG,present,introduced,,,,
163315580,3205951,BG,present,introduced,,,,
163315585,7387168,BG,present,introduced,,,,
163315586,2308574,BG,present,introduced,,,,
163315587,8301674,BG,present,introduced,,,,
163315589,8106934,BG,present,introduced,,,,
163315591,7835170,BG,present,introduced,,,,
163315593,7834238,BG,present,introduced,,,,
163315595,7380778,BG,present,introduced,,,,
163315596,5192470,BG,present,introduced,,,,
163315597,7820300,BG,present,introduced,,,,
163315599,7982246,BG,present,introduced,,,,
163315600,8091601,BG,present,introduced,,,,
163315602,7348337,BG,present,introduced,,,,
163315603,5189806,BG,present,introduced,,,,
163315608,4379029,BG,present,introduced,,,,
163315609,4363583,BG,present,introduced,invasive,,,
163315611,7632200,BG,present,introduced,,,,
3205100,3205100,BG,present,introduced,,,,
163315614,4368600,BG,present,introduced,,,,
163315615,3205121,BG,present,introduced,,,,
9520065,2291152,BG,present,introduced,,,,
163315624,5423778,BG,present,introduced,,,,
163315628,2291865,BG,present,introduced,,,,
10478115,3194672,BG,present,introduced,,,,
163315635,5422283,BG,present,introduced,,,,
163315636,2288847,BG,present,introduced,,,,
163315640,3195275,BG,present,introduced,,,,
163315641,7791733,BG,present,introduced,invasive,,,
163315645,2287072,BG,present,introduced,invasive,,,
163315647,2287073,BG,present,introduced,invasive,,,
163315650,3194102,BG,present,introduced,,,,
163315654,8190231,BG,present,introduced,,,,
163315657,8188564,BG,present,introduced,,,,
4373260,4373161,BG,present,introduced,invasive,,,
163315664,8241374,BG,present,introduced,,,,
163315666,4373260,BG,present,introduced,,,,
163315669,3193498,BG,present,introduced,,,,
3193390,3193387,BG,present,introduced,,,,
4559541,4592908,BG,present,introduced,,,,
163315677,3193001,BG,present,introduced,,,,
163315679,3192919,BG,present,introduced,,,,
163315685,7812075,BG,present,introduced,,,,
163315686,4264680,BG,present,introduced,,,,
163315688,2439270,BG,present,introduced,,,,
163315690,2439261,BG,present,introduced,,,,
163315691,7429082,BG,present,introduced,,,,
163315694,6452163,BG,present,introduced,,,,
163315695,5219858,BG,present,introduced,,,,
163315701,2434552,BG,present,introduced,,,,
163315702,6452299,BG,present,introduced,,,,
5218823,2433652,BG,present,introduced,,,,
163315713,2436940,BG,present,introduced,,,,
163315718,2653902,BG,present,introduced,,,,
163315719,5220136,BG,present,introduced,,,,
12194263,5277736,BG,present,introduced,,,,
163315728,9752149,BG,present,introduced,,,,
163315731,2665384,BG,present,introduced,,,,
163315735,5232437,BG,present,introduced,,,,
2664198,2664195,BG,present,introduced,,,,
163315743,5203115,BG,present,introduced,,,,
163315747,2685796,BG,present,introduced,,,,
163315750,2412864,BG,present,introduced,,,,
163315754,2687940,BG,present,introduced,,,,
9377860,2400647,BG,present,introduced,,,,
4196474,2650104,BG,present,introduced,,,,
163315764,2650107,BG,present,introduced,,,,
9377860,4284339,BG,present,introduced,,,,
163315771,5328909,BG,present,introduced,,,,
163315772,2392628,BG,present,introduced,,,,
163315774,5329404,BG,present,introduced,,,,
163315775,2392508,BG,present,introduced,,,,
163315776,5329212,BG,present,introduced,,,,
163315778,2865448,BG,present,introduced,invasive,,,
163315780,2394271,BG,present,introduced,,,,
163315781,5330001,BG,present,introduced,,,,
163315785,2390064,BG,present,introduced,invasive,,,
163315786,2764179,BG,present,introduced,,,,
163315789,2372396,BG,present,introduced,,,,
163315791,2775561,BG,present,introduced,,,,
163315794,2394486,BG,present,introduced,invasive,,,
163315795,5296178,BG,present,introduced,,,,
163315798,2858244,BG,present,introduced,,,,
163315799,2393172,BG,present,introduced,,,,
163315804,2379294,BG,present,introduced,,,,
163315807,2379295,BG,present,introduced,,,,
163315808,2702084,BG,present,introduced,,,,
163315809,2376555,BG,present,introduced,,,,
163315813,5289693,BG,present,introduced,,,,
163315815,7883427,BG,present,introduced,,,,
163315816,2350050,BG,present,introduced,,,,
163315817,5290126,BG,present,introduced,,,,
163315818,2350580,BG,present,introduced,,,,
163315820,2350570,BG,present,introduced,,,,
2702820,2702817,BG,present,introduced,,,,
5289726,5289728,BG,present,introduced,invasive,,,
163315826,2704841,BG,present,introduced,,,,
163315828,2705185,BG,present,introduced,invasive,,,
