taxonID,taxonKey,scientificName,action,acceptedKey,acceptedName
176770,163315502,Woronichinia fremyi,not_matched_with_backbone,,
176560,163315506,Planktolyngbya undulata KomÃ¡rek & H.J.Kling,scientificName_replaced_by_backbone_name,3217906,Planktolyngbya undulata Komárek & H.J.Kling
176559,163315508,Planktolyngbya circumcreta (G.S.West) Anagn. & KomÃ¡rek,scientificName_replaced_by_backbone_name,7951474,Planktolyngbya circumcreta (G.S.West) Anagn. & Komárek
176609,163315515,"Raphidiopsis curvata F.E.Fritsch & M.F.Rich, 1929",scientificName_replaced_by_backbone_name,3219381,Raphidiopsis curvata F.E.Fritsch & Rich
176236,163315519,Cylindrospermopsis raciborskii (Wolosz.) Seena. & Subbar.,scientificName_replaced_by_backbone_name,3219362,Cylindrospermopsis raciborskii (Wołosz.) Seenayya & Subbaraju
176336,163315520,"Garveia franciscana (Torrey, 1902)",merged_with_accepted,2266546,"Calyptospadix cerulea Clarke, 1882"
176117,163315523,Bougainvillia megas,merged_with_accepted,2266546,"Calyptospadix cerulea Clarke, 1882"
176107,163315535,"Beroe ovata Bruguiere, 1789",scientificName_replaced_by_backbone_name,5233152,"Beroe ovata Bruguière, 1789"
176305,163315542,"Eutintinnus lusus-undae (Entz, 1885)",not_matched_with_backbone,,
176649,163315551,Scaphodinium mirabile Margalef,not_matched_with_backbone,,
176653,163315571,"Scrippsiella operosa (Deflandre, 1947) Montresor, 2003",not_matched_with_backbone,,
176535,163315574,Peridiniopsis polonica (WoÅ‚osz.) Bourr.,scientificName_replaced_by_backbone_name,7981847,Peridiniopsis polonica (Wołosz.) Bourr.
176536,163315576,"Peridinium quinquecorne AbÃ©, 1927",not_matched_with_backbone,,
176586,163315596,"Potamopyrgus antipodarum (Gray, 1843)",scientificName_replaced_by_backbone_name,5192470,"Potamopyrgus antipodarum (J.E.Gray, 1843)"
176312,163315621,"Ferrissia fragilis (Tryon, 1863)",merged_with_accepted,9520065,"Ferrissia californica (Rowell, 1863)"
176255,163315633,"Distephanus speculum (Ehrenberg) Haeckel, 1887",merged_with_accepted,10478115,"Octactis speculum (Ehrenberg) F.H.Chang, J.M.Grieve & J.E.Sutherland, 2017"
176599,163315650,"Pseudosolenia calcar-avis (Schultze) B.G.SundstrÃ¶m, 1986",scientificName_replaced_by_backbone_name,3194102,"Pseudosolenia calcar-avis (Schultze) B.G.Sundström, 1986"
176221,163315654,"Corbicula fluminea (O.F.MÃ¼ller, 1774)",scientificName_replaced_by_backbone_name,8190231,"Corbicula fluminea (O.F.Müller, 1774)"
176492,163315657,Navicula finmarchica (Cleve & Grunow) Cleve,scientificName_replaced_by_backbone_name,8188564,"Navicula finmarchica (Cleve & Grunow) Cleve, 1895"
176648,163315663,"Scapharca inaequivalvis (BruguiÃ¨re, 1789)",merged_with_accepted,4373260,"Anadara inaequivalvis (Bruguière, 1789)"
176048,163315666,"Anadara inaequivalvis (BruguiÃ¨re, 1789)",scientificName_replaced_by_backbone_name,4373260,"Anadara inaequivalvis (Bruguière, 1789)"
176244,163315672,Detonula pumila (Castracane) Gran,merged_with_accepted,3193390,"Lauderia pumila Castracane, 1886"
176052,163315675,"Anodonta woodiana (I.Lea, 1834)",merged_with_accepted,4559541,"Sinanodonta woodiana (I.Lea, 1834)"
176583,163315694,"Poropila dubia Schiller, 1925",scientificName_replaced_by_backbone_name,6452163,"Poropila dubia J.Schiller, 1925"
176601,163315702,"Pterosperma joergenseni (Schiller, 1925)",scientificName_replaced_by_backbone_name,6452299,"Pterosperma joergensenii J.Schiller, 1925"
176494,163315706,"Neovison vison (Schreber, 1777)",merged_with_accepted,5218823,"Mustela vison Schreber, 1777"
176204,163315709,"Cladophora hutchinsiae (Dillwyn) KÃ¼tzing, 1845",not_matched_with_backbone,,
176292,163315718,Erythrocladia irregularis Rosenvinge,scientificName_replaced_by_backbone_name,2653902,Erythrocladia irregularis Rosenv.
176579,163315725,Polysiphonia fucoides (Hudson) Greville,merged_with_accepted,12194263,Vertebrata spec (Hudson) Kuntze
176373,163315731,"Hildenbrandia crouaniorum J.Agardh, 1852",scientificName_replaced_by_backbone_name,2665384,Hildenbrandia crouaniorum J.Agardh
176011,163315736,Acrochaetium rosulatum (Rosenvinge) Papenfuss,merged_with_accepted,2664198,Kylinia rosulata Rosenvinge
176010,163315738,Acrochaetium leptonema (Rosenvinge) BÃ¸rgesen,not_matched_with_backbone,,
176479,163315760,"Mugil soiuy Basilewsky, 1855",merged_with_accepted,9377860,"Planiliza haematocheila (Temminck & Schlegel, 1845)"
176101,163315763,Azolla mexicana Presl,merged_with_accepted,4196474,Azolla cristata Kaulf.
176443,163315765,"Liza haematocheilus (Temminck & Schlegel, 1845)",merged_with_accepted,9377860,"Planiliza haematocheila (Temminck & Schlegel, 1845)"
176275,163315776,Elodea nuttallii St.John,scientificName_replaced_by_backbone_name,5329212,Elodea nuttallii (Planch.) H.St.John
176024,163315800,Allium atropurpureum Waldst. & Kit.,filtered_on_establishmentMeans,2856009,Allium atropurpureum Waldst. & Kit.
176026,163315801,Allium scorodoprasum L.,filtered_on_establishmentMeans,9177060,Allium scorodoprasum L.
176025,163315803,Allium nigrum L.,filtered_on_establishmentMeans,2855823,Allium nigrum L.
176264,163315821,Echinochloa oryzicola Vasinger,merged_with_accepted,2702820,Echinochloa oryzoides (Ard.) Fritsch
176164,163315824,Cenchrus incertus M.A.Curtis,merged_with_accepted,5289726,Cenchrus spinifex Cav.
176651,163315826,Sclerochloa dura P.Beauv.,scientificName_replaced_by_backbone_name,2704841,Sclerochloa dura (L.) P.Beauv.
176691,163315828,Sorghum halepense Pers.,scientificName_replaced_by_backbone_name,2705185,Sorghum halepense (L.) Pers.
176638,163315829,"Salmo salar sebago Girard, 1853",merged_with_accepted,7595433,"Salmo salar Linnaeus, 1758"
176661,163315835,Setaria italica P.Beauv.,scientificName_replaced_by_backbone_name,5289698,Setaria italica (L.) P.Beauv.
176578,163315836,Polypogon monspeliensis Desf.,scientificName_replaced_by_backbone_name,5289917,Polypogon monspeliensis (L.) Desf.
176223,163315844,"Coregonus lavaretus Valenciennes, 1848",scientificName_replaced_by_backbone_name,2351211,"Coregonus lavaretus (Linnaeus, 1758)"
176282,163315858,Eragrostis pilosa P.Beauv.,scientificName_replaced_by_backbone_name,2705400,Eragrostis pilosa (L.) P.Beauv.
176073,163315865,"Aristichthys nobilis (Richardson, 1845)",merged_with_accepted,2362486,"Hypophthalmichthys nobilis (Richardson, 1845)"
176240,163315866,Dasypyrum villosum (L.) BorbÃ¡s,scientificName_replaced_by_backbone_name,2704854,Dasypyrum villosum (L.) Borbás
176153,163315870,Carassius auratus auratus,merged_with_accepted,4286942,"Carassius auratus (Linnaeus, 1758)"
176095,163315887,Avena barbata Link,scientificName_replaced_by_backbone_name,2705300,Avena barbata Pott ex Link
176104,163315889,Beckmannia eruciformis Host,scientificName_replaced_by_backbone_name,5290063,Beckmannia eruciformis (L.) Host
176529,163315915,Parthenocissus inserta (A.Kerner) Fritsch,scientificName_replaced_by_backbone_name,3039203,Parthenocissus inserta (A.Kern.) Fritsch
176046,163315918,"Amphibalanus improvisus Darwin, 1854",scientificName_replaced_by_backbone_name,6467647,"Amphibalanus improvisus (Darwin, 1854)"
176027,163315938,"Alpheus dentipes GuÃ©rin, 1832",not_matched_with_backbone,,
176289,163315952,Erodium cicutarium L'HÃ©r. ex Ait.,not_matched_with_backbone,,
176288,163315969,Erodium ciconium (L.) L'HÃ©r.,not_matched_with_backbone,,
176434,163315975,"Leptopsylla segnis (Schonherr, 1811)",scientificName_replaced_by_backbone_name,1417654,"Leptopsylla segnis (Schönherr, 1811)"
176739,163315978,Valerianella dentata Pollich,scientificName_replaced_by_backbone_name,2888789,Valerianella dentata (L.) Pollich
176741,163315981,Valerianella rimosa Bast.,scientificName_replaced_by_backbone_name,4095539,Valerianella rimosa Bastard
176171,163315992,Cephalaria transsylvanica (L.) Roem. & Schult.,scientificName_replaced_by_backbone_name,4934466,Cephalaria transsylvanica (L.) Schrad. ex Roem. & Schult.
176700,163316005,"Stenocrotaphus gigas (Taschenberg, 1879)",merged_with_accepted,5815252,"Goniodes gigas (Taschenberg, 1879)"
176681,163316006,Solanum cornutum Lam.,merged_with_accepted,2929800,Solanum angustifolium Houst. ex Mill.
176353,163316007,"Goniocotes gallinae (De Geer, 1778)",scientificName_replaced_by_backbone_name,1032054,"Goniocotes gallinae (de Geer, 1778)"
176551,163316009,Physalis alkekengi L.,merged_with_accepted,3797084,Alkekengi officinarum Moench
176565,163316034,"Plodia interpunctella (Hubner, 1813)",scientificName_replaced_by_backbone_name,1873079,"Plodia interpunctella (Hübner, 1813)"
176276,163316036,"Ephestia elutella (Hubner, 1796)",scientificName_replaced_by_backbone_name,1878470,"Ephestia elutella (Hübner, 1796)"
176146,163316044,Calystegia sepium R.Br.,scientificName_replaced_by_backbone_name,2928441,Calystegia sepium (L.) R.Br.
176262,163316052,Ecballium elaterium A.Rich.,scientificName_replaced_by_backbone_name,2874680,Ecballium elaterium (L.) A.Rich.
176265,163316054,Echinocystis lobata Torr. & A.Gray,scientificName_replaced_by_backbone_name,5331404,Echinocystis lobata (Michx.) Torr. & A.Gray
176441,163316057,"Liriomyza huidobrensis Blanchard, 1926",scientificName_replaced_by_backbone_name,1553410,"Liriomyza huidobrensis (Blanchard, 1926)"
176203,163316058,Citrullus lanatus (Thunb.) Matsumura & Nakai,scientificName_replaced_by_backbone_name,2874621,Citrullus lanatus (Thunb.) Matsum. & Nakai
176215,163316061,"Contarinia quinquenotata (Low, 1888)",scientificName_replaced_by_backbone_name,5082067,"Contarinia quinquenotata (Löw, 1888)"
176016,163316070,"Aedes albopictus Skuse, 1894",scientificName_replaced_by_backbone_name,1651430,"Aedes albopictus (Skuse, 1894)"
176701,163316076,"Stephanitis rhododendri Horvath, 1905",scientificName_replaced_by_backbone_name,2020688,"Stephanitis rhododendri Horváth, 1905"
176710,163316077,Thlaspi alliaceum L.,merged_with_accepted,10944522,Mummenhoffia alliacea (L.) Esmailbegi & Al-Shehbaz
176228,163316081,Coronopus squamatus (Forssk.) Asch.,merged_with_accepted,5376627,Lepidium coronopus (L.) Al-Shehbaz
176155,163316085,Cardaria draba (L.) Desv.,merged_with_accepted,5376961,Lepidium draba L.
