taxonKey,nubKey,taxonID,scientificName,acceptedKey,accepted,kingdom,taxonRank
163315505,4283395,176246,"Diadumene lineata (Verrill, 1869)",,,Animalia,species
163315506,3217906,176560,Planktolyngbya undulata Komárek & H.J.Kling,,,Bacteria,species
163315508,7951474,176559,Planktolyngbya circumcreta (G.S.West) Anagn. & Komárek,,,Bacteria,species
163315513,4306613,176610,Raphidiopsis mediterranea Skuja,,,Bacteria,species
163315514,2268682,176114,"Blackfordia virginica Mayer, 1910",,,Animalia,species
163315515,3219381,176609,Raphidiopsis curvata F.E.Fritsch & Rich,,,Bacteria,species
163315519,3219362,176236,Cylindrospermopsis raciborskii (Wołosz.) Seenayya & Subbaraju,,,Bacteria,species
163315520,2266521,176336,"Garveia franciscana (Torrey, 1902)",,,Animalia,species
163315521,7406340,176047,Anabaenopsis cunningtonii W.R.Taylor,,,Bacteria,species
163315523,11271734,176117,Bougainvillia megas,,,Animalia,species
163315525,2266586,176118,"Bougainvillia muscus (Allman, 1863)",,,Animalia,species
163315532,9150298,176544,"Phaeocystis pouchetii (Hariot) Lagerheim, 1893",,,Chromista,species
163315535,5233152,176107,"Beroe ovata Bruguière, 1789",,,Animalia,species
163315543,2501248,176475,"Mnemiopsis leidyi A.Agassiz, 1865",,,Animalia,species
163315545,2501237,176116,"Bolinopsis vitrea (L.Agassiz, 1860)",,,Animalia,species
163315555,3207190,176694,Spatulodinium pseudonoctiluca (C.H.G.Pouchet) Cachon & Cachon-Enj. ex Loebl. & A.R.Loebl.,,,Chromista,species
163315556,2310244,176703,"Streptosyllis varians Webster & Benedict, 1887",,,Animalia,species
163315560,8368630,176588,Prorocentrum cordatum (Ostenf.) J.D.Dodge,,,Chromista,species
163315561,2309075,176369,"Hesionides arenaria Friedrich, 1937",,,Animalia,species
163315565,8216761,176518,Oxyphysis oxytoxoides Kof.,,,Chromista,species
163315568,2327735,176314,"Ficopomatus enigmaticus (Fauvel, 1923)",,,Animalia,species
163315573,8082735,176654,"Scrippsiella trochoidea (Stein) Loeblich Iii, 1976",,,Chromista,species
163315574,7981847,176535,Peridiniopsis polonica (Wołosz.) Bourr.,,,Chromista,species
163315575,5197747,176570,"Polydora cornuta Bosc, 1802",,,Animalia,species
163315577,2321463,176252,"Dipolydora quadrilobata (Jacobi, 1883)",,,Animalia,species
163315580,3205951,176435,"Lessardia elongata Saldarriaga & Taylor, 2003",,,Chromista,species
163315585,7387168,176355,"Gymnodinium aureolum (Hulburt) Hansen, 2000",,,Chromista,species
163315586,2308574,176119,"Branchiura sowerbyi Beddard, 1892",,,Animalia,species
163315587,8301674,176356,"Gymnodinium catenatum Graham, 1943",,,Chromista,species
163315589,8106934,176357,"Gymnodinium fuscum (Ehrenberg) Stein, 1883",,,Chromista,species
163315591,7835170,176358,"Gymnodinium nanum Schiller, 1928",,,Chromista,species
163315593,7834238,176359,"Gymnodinium pulchrum Schiller, 1928",,,Chromista,species
163315595,7380778,176360,"Gymnodinium uberrimum (Allman) Kofoid & Swezy, 1921",,,Chromista,species
163315596,5192470,176586,"Potamopyrgus antipodarum (J.E.Gray, 1843)",,,Animalia,species
163315597,7820300,176361,"Gyrodinium cochlea Lebour, 1925",,,Chromista,species
163315599,7982246,176362,"Gyrodinium flagellare Schiller, 1928",,,Chromista,species
163315600,8091601,176363,Gyrodinium varians (A.Wulff) J.Schiller,,,Chromista,species
163315602,7348337,176209,Cochlodinium polykrikoides Margalef,,,Chromista,species
163315603,5189806,176552,"Physella acuta (Draparnaud, 1805)",,,Animalia,species
163315608,4379029,176099,Azadinium spinosum Elbr. & Tillmann,,,Chromista,species
163315609,4363583,176607,"Rapana venosa (Valenciennes, 1846)",,,Animalia,species
163315611,7632200,176023,Alexandrium tamarense (Lebour) Balech,,,Chromista,species
163315613,3205100,176022,"Alexandrium monilatum (Howell) F.J.R.Taylor, 1979",,,Chromista,species
163315614,4368600,176495,"Neptunea arthritica (Valenciennes, 1858)",,,Animalia,species
163315615,3205121,176021,Alexandrium minutum Halim,,,Chromista,species
163315624,5423778,176742,Vaucheria dichotoma (L.) Mart.,,,Chromista,species
163315628,2291865,176220,"Corambe obscura (A.E.Verrill, 1870)",,,Animalia,species
163315635,5422283,176498,Octactis octonaria (Ehrenb.) Hovasse,,,Chromista,species
163315636,2288847,176708,"Teredo navalis Linnaeus, 1758",,,Animalia,species
163315640,3195275,176063,"Apedinella radians (Lohmann) Campbell, 1973",,,Chromista,species
163315641,7791733,176481,"Mya arenaria Linnaeus, 1758",,,Animalia,species
163315645,2287072,176260,"Dreissena polymorpha (Pallas, 1771)",,,Animalia,species
163315647,2287073,176259,"Dreissena bugensis (Andrusov, 1897)",,,Animalia,species
163315654,8190231,176221,"Corbicula fluminea (O.F.Müller, 1774)",,,Animalia,species
163315666,4373260,176048,"Anadara inaequivalvis (Bruguière, 1789)",,,Animalia,species
163315669,3193498,176709,"Thalassiosira nordenskioeldii Cleve, 1873",,,Chromista,species
163315672,3193387,176244,"Detonula pumila (Castracane) Gran, 1900",,,Chromista,species
163315677,3193001,176178,Chaetoceros aequatorialis Cleve,,,Chromista,species
163315679,3192919,176102,Bacteriastrum hyalinum Lauder,,,Chromista,species
163315685,7812075,176007,"Achnanthes pseudogroenlandica Hendey, 1964",,,Chromista,species
163315686,4264680,176484,"Myocastor coypus (Molina, 1782)",,,Animalia,species
163315688,2439270,176614,"Rattus rattus (Linnaeus, 1758)",,,Animalia,species
163315690,2439261,176613,"Rattus norvegicus (Berkenhout, 1769)",,,Animalia,species
163315691,7429082,176480,"Mus musculus Linnaeus, 1758",,,Animalia,species
163315694,6452163,176583,"Poropila dubia J.Schiller, 1925",,,Plantae,species
163315695,5219858,176504,"Ondatra zibethicus (Linnaeus, 1766)",,,Animalia,species
163315701,2434552,176497,"Nyctereutes procyonoides (Gray, 1834)",,,Animalia,species
163315702,6452299,176601,"Pterosperma joergensenii J.Schiller, 1925",,,Plantae,species
163315706,2433652,176494,"Neovison vison (Schreber, 1777)",,,Animalia,species
163315713,2436940,176513,"Oryctolagus cuniculus (Linnaeus, 1758)",,,Animalia,species
163315718,2653902,176292,Erythrocladia irregularis Rosenv.,,,Plantae,species
163315719,5220136,176239,"Dama dama (Linnaeus, 1758)",,,Animalia,species
163315725,5277736,176579,Polysiphonia fucoides (Hudson) Greville,,,Plantae,species
163315728,9752149,176548,"Phasianus colchicus Linnaeus, 1758",,,Animalia,species
163315731,2665384,176373,Hildenbrandia crouaniorum J.Agardh,,,Plantae,species
163315735,5232437,176120,"Branta canadensis (Linnaeus, 1758)",,,Animalia,species
163315736,2664195,176011,Acrochaetium rosulatum (Rosenvinge) Papenfuss,,,Plantae,species
163315743,5203115,176734,"Umbra krameri Walbaum, 1792",,,Animalia,species
163315747,2685796,176600,Pseudotsuga menziesii (Mirb.) Franco,,,Plantae,species
163315750,2412864,176644,"Sardinella aurita Valenciennes, 1847",,,Animalia,species
163315754,2687940,176279,Equisetum ramosissimum Desf.,,,Plantae,species
163315764,2650107,176100,Azolla filiculoides Lam.,,,Plantae,species
163315771,5328909,176636,Sagittaria latifolia Willd.,,,Plantae,species
163315772,2392628,176645,"Sarpa salpa (Linnaeus, 1758)",,,Animalia,species
163315774,5329404,176490,Najas graminea Delile,,,Plantae,species
163315775,2392508,176693,"Sparus aurata Linnaeus, 1758",,,Animalia,species
163315776,5329212,176275,Elodea nuttallii (Planch.) H.St.John,,,Plantae,species
163315778,2865448,176274,Elodea canadensis Michx.,,,Plantae,species
163315780,2394271,176696,"Sphyraena sphyraena (Linnaeus, 1758)",,,Animalia,species
163315781,5330001,176258,Dracunculus vulgaris Schott,,,Plantae,species
163315785,2390064,176534,"Perccottus glenii Dybowski, 1877",,,Animalia,species
163315786,2764179,176210,Commelina communis L.,,,Plantae,species
163315789,2372396,176509,"Oreochromis mossambicus (Peters, 1852)",,,Animalia,species
163315791,2775561,176776,Yucca filamentosa L.,,,Plantae,species
163315794,2394486,176432,"Lepomis gibbosus (Linnaeus, 1758)",,,Animalia,species
163315795,5296178,176677,Sisyrinchium montanum Greene,,,Plantae,species
163315798,2858244,176491,Narcissus pseudonarcissus L.,,,Plantae,species
163315799,2393172,176412,"Lates calcarifer (Bloch, 1790)",,,Animalia,species
163315804,2379294,176580,"Pomatoschistus bathi Miller, 1982",,,Animalia,species
163315807,2379295,176581,"Pomatoschistus marmoratus (Risso, 1810)",,,Animalia,species
163315808,2702084,176395,Juncus tenuis Willd.,,,Plantae,species
163315809,2376555,176352,"Gobius xanthocephalus Heymer & Zander, 1992",,,Animalia,species
163315815,7883427,176730,Triticum monococcum L.,,,Plantae,species
163315816,2350050,176566,"Poecilia reticulata Peters, 1859",,,Animalia,species
163315817,5290126,176718,Tragus racemosus (L.) All.,,,Plantae,species
163315818,2350580,176334,"Gambusia affinis (Baird & Girard, 1853)",,,Animalia,species
163315820,2350570,176335,"Gambusia holbrooki Girard, 1859",,,Animalia,species
163315826,2704841,176651,Sclerochloa dura (L.) P.Beauv.,,,Plantae,species
163315828,2705185,176691,Sorghum halepense (L.) Pers.,,,Plantae,species
163315830,2704757,176697,Sporobolus indicus (L.) R.Br.,,,Plantae,species
163315831,5289684,176664,Setaria viridis (L.) P.Beauv.,,,Plantae,species
163315832,5203999,176713,"Thymallus thymallus (Linnaeus, 1758)",,,Animalia,species
163315833,5289686,176663,Setaria verticillata (L.) P.Beauv.,,,Plantae,species
163315834,2351271,176639,"Salvelinus fontinalis (Mitchill, 1814)",,,Animalia,species
163315835,5289698,176661,Setaria italica (L.) P.Beauv.,,,Plantae,species
163315836,5289917,176578,Polypogon monspeliensis (L.) Desf.,,,Plantae,species
163315837,5204019,176503,"Oncorhynchus mykiss (Walbaum, 1792)",,,Animalia,species
163315838,2705162,176522,Panicum capillare L.,,,Plantae,species
163315839,2351027,176222,"Coregonus albula (Linnaeus, 1758)",,,Animalia,species
163315840,2705144,176523,Panicum dichotomiflorum Michx.,,,Plantae,species
163315841,2705622,176531,Paspalum distichum L.,,,Plantae,species
163315842,2351136,176224,"Coregonus peled (Gmelin, 1789)",,,Animalia,species
163315843,5289746,176545,Phalaris aquatica L.,,,Plantae,species
163315844,2351211,176223,"Coregonus lavaretus (Linnaeus, 1758)",,,Animalia,species
163315845,5289744,176546,Phalaris canariensis L.,,,Plantae,species
163315846,5289758,176547,Phalaris paradoxa L.,,,Plantae,species
