taxonKey,nubKey,countryCode,occurrenceStatus,establishmentMeans,degreeOfEstablishment,pathway,eventDate,source
134853224,2508901,HR,present,introduced,,,,
134853226,4382171,HR,present,introduced,,,,
134853233,5423348,HR,present,introduced,,,,
134853239,3197970,HR,present,introduced,,,,
2509985,2509991,HR,present,introduced,,,,
134853248,2237923,HR,present,introduced,invasive,,,
134853249,8394523,HR,present,introduced,invasive,,,
134853256,2319527,HR,present,introduced,,,,
134853259,7705954,HR,present,introduced,,,,
134853261,5196384,HR,present,introduced,,,,
134853266,2318164,HR,present,introduced,invasive,,,
134853267,6537484,HR,present,introduced,,,,
134853270,2327735,HR,present,introduced,invasive,,,
134853278,7665662,HR,present,introduced,,,,
134853282,7450084,HR,present,introduced,,,,
134853284,2267679,HR,present,introduced,,,,
134853288,8390568,HR,present,introduced,invasive,,,
134853289,2265163,HR,present,introduced,,,,
134853291,2266125,HR,present,introduced,,,,
134853293,2266154,HR,present,introduced,,,,
134853294,8077296,HR,present,introduced,,,,
134853296,2265741,HR,present,introduced,,,,
134853303,2269539,HR,present,introduced,,,,
134853304,7348337,HR,present,introduced,invasive,,,
134853306,2269489,HR,present,introduced,,,,
134853308,2269489,HR,present,introduced,,,,
134853313,5715613,HR,present,introduced,,,,
134853316,5192470,HR,present,introduced,,,,
11072301,7517084,HR,present,introduced,,,,
134853320,4360148,HR,present,introduced,,,,
134853322,4360013,HR,present,introduced,,,,
134853329,3206034,HR,present,introduced,invasive,,,
134853332,7910173,HR,present,introduced,,,,
134853333,5191262,HR,present,introduced,invasive,,,
134853334,3205098,HR,present,introduced,,,,
134853344,2687885,HR,present,introduced,,,,
134853345,5188827,HR,present,introduced,invasive,,,
134853349,4559541,HR,present,introduced,,,,
4374764,6532399,HR,present,introduced,invasive,,,
7820753,2286069,HR,present,introduced,invasive,,,
5273309,5273413,HR,present,introduced,,,,
134853363,2287072,HR,present,introduced,invasive,,,
134853366,8190231,HR,present,introduced,,,,
134853371,7230558,HR,present,introduced,,,,
134853372,4374596,HR,present,introduced,invasive,,,
134853373,6531311,HR,present,introduced,invasive,,,
134853375,2643131,HR,present,introduced,,,,
134853377,2643172,HR,present,introduced,invasive,,,
134853383,6529629,HR,present,introduced,invasive,,,
134853385,5188945,HR,present,introduced,invasive,,,
2684855,2684860,HR,present,introduced,,,,
2684030,2684031,HR,present,introduced,,,,
134853389,2684191,HR,present,introduced,,,,
134853390,2684178,HR,present,introduced,,,,
134853393,5188945,HR,present,introduced,,,,
134853395,2684363,HR,present,introduced,,,,
134853399,2683969,HR,present,introduced,,,,
134853400,2443002,HR,present,introduced,invasive,,,
134853401,5284237,HR,present,introduced,,,,
134853404,2683866,HR,present,introduced,,,,
