taxonID,taxonKey,scientificName,action,acceptedKey,acceptedName
4180,134853224,"Ochetostoma erythrogrammon Leuckart & Ruppell, 1828",scientificName_replaced_by_backbone_name,2508901,"Ochetostoma erythrogrammon Rüppell & Leuckart, 1828"
3898,134853233,"Desmarestia viridis (O.F.Müller) J.V.Lamouroux, 1813",scientificName_replaced_by_backbone_name,5423348,Desmarestia viridis (O.F.Müll.) J.V.Lamour.
3834,134853239,"Colpomenia peregrina Sauvageau, 1927",scientificName_replaced_by_backbone_name,3197970,Colpomenia peregrina Sauv.
4254,134853240,"Phascolosoma scolops (Selenka & de Man in Selenka, de Man & Bnlow, 1883)",merged_with_accepted,2509985,"Phascolosoma carneum Leuckart & Rüppell, 1828"
3830,134853304,"Cochlodinium polykrikoides Margalef, 1961",scientificName_replaced_by_backbone_name,7348337,Cochlodinium polykrikoides Margalef
3691,134853306,"Arctapodema australis (Vanhöffen, 1902)",scientificName_replaced_by_backbone_name,2269489,"Arctapodema australis (Vanhöffen, 1912)"
3690,134853308,"Arctapodema australis (Vanhöffen, 1902)",scientificName_replaced_by_backbone_name,2269489,"Arctapodema australis (Vanhöffen, 1912)"
4308,134853316,"Potamopyrgus antipodarum (J.E. Gray, 1843)",scientificName_replaced_by_backbone_name,5192470,"Potamopyrgus antipodarum (J.E.Gray, 1843)"
3792,134853318,Ceratoperidinium falcatum,merged_with_accepted,11072301,"Pseliodinium fusus (F.Schütt) F.Gómez, 2018"
3751,134853328,Bursatella leachi sp. sic,not_matched_with_backbone,,Bursatella leachi sp. sic
4200,134853329,"Ostreopsis ovata Fukuyo, 1981",scientificName_replaced_by_backbone_name,3206034,Ostreopsis ovata Fukuyo
3636,134853334,"Alexandrium pseudogonyaulax (Biecheler) Horiguchi ex Kita & Fukuyo, 1992",scientificName_replaced_by_backbone_name,3205098,Alexandrium pseudogonyaulax (Biecheler) Horiguchi ex Kita & Fukuyo
4392,134853349,"Sinanodonta woodiana (Lea, 1834)",scientificName_replaced_by_backbone_name,4559541,"Sinanodonta woodiana (I.Lea, 1834)"
4277,134853355,"Pinctada imbricata subsp. radiata (Leach, 1814)",merged_with_accepted,4374764,"Pinctada radiata (Leach, 1814)"
3860,134853359,"Crassostrea gigas (Thunberg, 1793)",merged_with_accepted,7820753,"Magallana gigas (Thunberg, 1793)"
4465,134853362,"Ulva fasciata Delile, 1813",merged_with_accepted,5273309,Ulva lactuca L.
3843,134853366,"Corbicula fluminea (O.F. Müller, 1774)",scientificName_replaced_by_backbone_name,8190231,"Corbicula fluminea (O.F.Müller, 1774)"
3731,134853372,"Brachidontes pharaonis (P. Fischer, 1870)",scientificName_replaced_by_backbone_name,4374596,"Brachidontes pharaonis (P.Fischer, 1870)"
3692,134853373,"Arcuatula senhousia (Benson in Cantor, 1842)",scientificName_replaced_by_backbone_name,6531311,"Arcuatula senhousia (W.H.Benson, 1842)"
3782,134853377,"Caulerpa taxifolia (M.Vahl) C.Agardh, 1817",scientificName_replaced_by_backbone_name,2643172,Caulerpa taxifolia (M.Vahl) C.Agardh
4442,134853386,Thuja orientalis L.,merged_with_accepted,2684855,Platycladus orientalis (L.) Franco
3872,134853388,Cupressus horizontalis Mill.,merged_with_accepted,2684030,Cupressus sempervirens L.
4445,134853400,"Trachemys scripta Schoepff, 1792",scientificName_replaced_by_backbone_name,2443002,"Trachemys scripta (Thunberg In Schoepff, 1792)"
3863,134853401,Cryptomeria japonica (Thunb. ex L. f.) D. Don,scientificName_replaced_by_backbone_name,5284237,Cryptomeria japonica (Thunb. ex L.f.) D.Don
3797,134853404,Chamaecyparis lawsoniana,scientificName_replaced_by_backbone_name,2683866,Chamaecyparis lawsoniana (A.Murray bis) Parl.
4291,134853405,"Podarcis siculus subsp. campestris De Betta, 1857",scientificName_replaced_by_backbone_name,6159401,"Podarcis siculus campestris (De Betta, 1857)"
4280,134853411,Pinus heldreichii H. Christ,scientificName_replaced_by_backbone_name,5285247,Pinus heldreichii H.Christ
3784,134853434,Cedrus deodara (Lamb.) G. Don,scientificName_replaced_by_backbone_name,5284698,Cedrus deodara (Lamb.) G.Don
3785,134853435,Cedrus libani A. Rich.,scientificName_replaced_by_backbone_name,5284682,Cedrus libani A.Rich.
3766,134853442,"Campylopus introflexus Bridel, 1819",scientificName_replaced_by_backbone_name,5281901,Campylopus introflexus (Hedw.) Brid.
3888,134853452,Cyrtomium falcatum (L. fil.) Presl,scientificName_replaced_by_backbone_name,2650829,Cyrtomium falcatum (L.fil.) C.Presl
3703,134853467,"Asparagopsis taxiformis (Delile) Trevisan de Saint-Léon, 1845",scientificName_replaced_by_backbone_name,5279834,Asparagopsis taxiformis (Delile) Trevis.
3702,134853468,"Asparagopsis armata Harvey, 1855",scientificName_replaced_by_backbone_name,5279840,Asparagopsis armata Harv.
4485,134853472,"Womersleyella setacea (Hollenberg) R.E.Norris, 1992",scientificName_replaced_by_backbone_name,5277463,Womersleyella setacea (Hollenberg) R.E.Norris
4298,134853482,"Polysiphonia paniculata Montagne, 1842",scientificName_replaced_by_backbone_name,5277838,Polysiphonia paniculata
4102,134853486,"Lophocladia lallemandii (Montagne) F.Schmitz, 1893",scientificName_replaced_by_backbone_name,2659723,"Lophocladia lallemandii (Mont.) F.Schmitz, 1893"
3808,134853490,"Chondria coerulescens (J.Agardh) Falkenberg, 1901",scientificName_replaced_by_backbone_name,5279755,Chondria coerulescens (J.Agardh) Falkenb.
4160,134853497,"Neogobius kessleri (Günther, 1861)",merged_with_accepted,4285968,"Ponticola kessleri (Günther, 1861)"
3611,134853499,"Acrothamnion preissii (Sonder) E.M.Wollaston, 1968",scientificName_replaced_by_backbone_name,2658484,Acrothamnion preissii (Sonder) E.M.Wollaston
4142,134853502,"Micropterus salmoides Lacepède, 1802",scientificName_replaced_by_backbone_name,2394563,"Micropterus salmoides (Lacepède, 1802)"
4261,134853550,Phoenix canariensis Chabaud,merged_with_accepted,6109529,Phoenix canariensis hort. ex Chabaud
4236,134853598,Paspalum paspalodes (Michx.) Scribn.,merged_with_accepted,2705622,Paspalum distichum L.
4413,134853602,Sorghum sudanense (Piper) Stapf,merged_with_accepted,2705184,Sorghum ×drummondii (Nees ex Steud.) Millsp. & Chase
4384,134853606,Setaria geniculata P.Beauv.,merged_with_accepted,5289679,Setaria parviflora (Poir.) Kerguélen
4009,134853611,"Herpestes auropunctatus (Hodgson, 1836)",merged_with_accepted,6164088,"Herpestes javanicus auropunctatus (Hodgson, 1836)"
4457,134853615,Triticum spelta L.,merged_with_accepted,2706403,Triticum aestivum subsp. spelta (L.) Thell.
4201,134853619,"Ovis aries subsp. musimon (Pallas, 1811)",scientificName_replaced_by_backbone_name,6165157,"Ovis aries musimon (Pallas, 1811)"
4456,134853621,Triticum polonicum L.,merged_with_accepted,6313049,Triticum turgidum subsp. polonicum (L.) Thell.
