taxonKey,nubKey,taxonID,scientificName,kingdom,taxonRank
134853224,2508901,4180,"Ochetostoma erythrogrammon Rüppell & Leuckart, 1828",Animalia,SPECIES
134853226,4382171,4127,"Marteilia refringens Grizel, Comps, Bonami, Cousserans, Duthoit & Le Pennec, 1974",Chromista,SPECIES
134853233,5423348,3898,Desmarestia viridis (O.F.Müll.) J.V.Lamour.,Chromista,SPECIES
134853239,3197970,3834,Colpomenia peregrina Sauv.,Chromista,SPECIES
2509985,2509991,4254,"Phascolosoma carneum Leuckart & Rüppell, 1828",Animalia,SPECIES
134853248,2237923,4224,"Paraleucilla magna Klautau, Monteiro & Borojevic, 2004",Animalia,SPECIES
134853249,8394523,3827,"Cocconeis caulerpacola Witkowski, Car & Dobosz, 2012",Chromista,SPECIES
134853256,2319527,4140,"Metasychis gotoi (Izuka, 1902)",Animalia,SPECIES
134853259,7705954,3931,"Elphidium striatopunctatum (Fichtel & Moll, 1798)",Chromista,SPECIES
134853261,5196384,4164,"Nereis persica Fauvel, 1911",Animalia,SPECIES
134853266,2318164,4162,"Neopseudocapitella brasiliensis Rullier & Amoureux, 1979",Animalia,SPECIES
134853267,6537484,3876,"Cushmanina striatopunctata (Parker & Jones, 1865)",Chromista,SPECIES
134853270,2327735,3967,"Ficopomatus enigmaticus (Fauvel, 1923)",Animalia,SPECIES
134853278,7665662,3750,"Bugulina fulva (Ryland, 1960)",Animalia,SPECIES
134853282,7450084,4286,"Planispirinella exigua (Brady, 1879)",Chromista,SPECIES
134853284,2267679,3954,"Eucheilota paradoxica Mayer, 1900",Animalia,SPECIES
134853288,8390568,3857,"Coscinospira hemprichii Ehrenberg, 1839",Chromista,SPECIES
134853289,2265163,4448,"Trichydra pudica Wright, 1857",Animalia,SPECIES
134853291,2266125,3955,"Eudendrium carneum Clarke, 1882",Animalia,SPECIES
134853293,2266154,3956,"Eudendrium merulum Watson, 1985",Animalia,SPECIES
134853294,8077296,3689,"Archaias angulatus (Fichtel & Moll, 1798)",Chromista,SPECIES
134853296,2265741,3855,"Corymorpha annulata (Kramp, 1928)",Animalia,SPECIES
134853303,2269539,3995,"Haliscera bigelowi Kramp, 1947",Animalia,SPECIES
134853304,7348337,3830,Cochlodinium polykrikoides Margalef,Chromista,SPECIES
134853306,2269489,3691,"Arctapodema australis (Vanhöffen, 1912)",Animalia,SPECIES
134853308,2269489,3690,"Arctapodema australis (Vanhöffen, 1912)",Animalia,SPECIES
134853313,5715613,4394,"Siphonaria pectinata (Linnaeus, 1758)",Animalia,SPECIES
