taxonKey,nubKey,countryCode,occurrenceStatus,establishmentMeans,degreeOfEstablishment,pathway,eventDate,source
163732873,2264597,CY,present,introduced,,,,
163732878,2334433,CY,present,introduced,,,,
163732881,2407271,CY,present,introduced,,,,
163732882,2407271,CY,present,introduced,,,,
163732885,2356802,CY,present,introduced,,,,
163732886,2356802,CY,present,introduced,,,,
163732889,2350570,CY,present,introduced,invasive,,,
163732892,2390262,CY,present,introduced,,,,
163732893,2390185,CY,present,introduced,,,,
163732895,2396749,CY,present,introduced,,,,
163732903,2441502,CY,present,introduced,,,,
163732904,2441461,CY,present,introduced,,,,
163732914,3176197,CY,present,introduced,,,,
163732915,3176772,CY,present,introduced,,,,
163732918,5421144,CY,present,introduced,,,,
163732921,2891932,CY,present,introduced,,,,
163732924,2978552,CY,present,introduced,invasive,,,
265495483,4236602,CY,present,introduced,,,,
