taxonKey,nubKey,taxonID,scientificName,kingdom,taxonRank
323327892,3226201,alien_species_cyprus:taxon:91ab716ae7c2a908eba0b1b084c87f50,"Spiroplasma citri Saglio et al., 1973",Bacteria,SPECIES
323327896,5188667,alien_species_cyprus:taxon:776cf676f1e5e919a9480a89e8da61d9,"Globodera rostochiensis (Wollenweber, 1923) Skarbilovich, 1959",Animalia,SPECIES
323327905,3222012,alien_species_cyprus:taxon:141b284aae5b3b867a1b0115ddbfdd05,"Erwinia amylovora (Burrill, 1882) Winslow et al., 1920",Bacteria,SPECIES
323327908,2284095,alien_species_cyprus:taxon:8012245e6b779679864dd26e616004b8,"Helicotylenchus multicinctus (Cobb, 1893) Golden, 1956",Animalia,SPECIES
323327913,4556347,alien_species_cyprus:taxon:d7da6d5f65d7e60c616bf61139dae719,"Pratylenchus penetrans (Cobb, 1917) Filipjev & Schuurmans Stekhoven, 1941",Animalia,SPECIES
323327915,8900922,alien_species_cyprus:taxon:6606100eed3bfe8ea452cd17bb680fb7,"Xanthomonas axonopodis Starr & Garces, 1950",Bacteria,SPECIES
323327918,4556372,alien_species_cyprus:taxon:ee950ba665461517fd02f478a0b002d6,"Rotylenchulus parvus Williams, 1960",Animalia,SPECIES
3220735,5427485,alien_species_cyprus:taxon:adb18462984196958770503f1d7f7fff,"Agrobacterium radiobacter (Beijerinck & van Delden, 1902) Conn, 1942",Bacteria,SPECIES
323327929,4556287,alien_species_cyprus:taxon:c5c104a2fb49854b5a7c35164d7091f7,"Meloidogyne javanica (Treub, 1885) Chitwood, 1949",Animalia,SPECIES
323327931,4556282,alien_species_cyprus:taxon:fc5f315e6f17136a83673dabe2ae8a0e,"Meloidogyne incognita (Kofoid & White, 1919) Chitwood, 1949",Animalia,SPECIES
323327934,2283982,alien_species_cyprus:taxon:a5621ad5f4d6699afaedca084e70502e,"Meloidogyne hapla Chitwood, 1949",Animalia,SPECIES
323327939,3225259,alien_species_cyprus:taxon:654e49feb089b5dbe78b88e72e7bd7fd,"Rathayibacter tritici (Carlson & Vidaver, 1982) Zgurskaya et al., 1993",Bacteria,SPECIES
323327952,2284218,alien_species_cyprus:taxon:1298be42278f38f7fbf36dd84c00f3ab,"Tylenchulus semipenetrans Cobb, 1913",Animalia,SPECIES
323327962,4554475,alien_species_cyprus:taxon:8960c53d630262f43bbee05536f177ee,"Xiphinema brevicolle Lordello & Da Costa, 1961",Animalia,SPECIES
323327963,8234981,alien_species_cyprus:taxon:bc4f12ae803c5c2110d824d198b22afa,"Pegidia lacunata McCulloch, 1977",Chromista,SPECIES
323327964,4554493,alien_species_cyprus:taxon:06cbbd5c25d8ebf52b45326721af6117,"Xiphinema index Thorne & Allen, 1950",Animalia,SPECIES
323327973,8372190,alien_species_cyprus:taxon:4f2cb7b62cfd7f2c87ba4854bb1ab6cb,"Spiroloculina angulata Cushman, 1917",Chromista,SPECIES
323327984,3200580,alien_species_cyprus:taxon:8bc75fed1157a2d4b46bc8aadd8af83a,Stypopodium schimperi (Kützing) Verlaque & Boudouresque,Chromista,SPECIES
323327991,2322064,alien_species_cyprus:taxon:3f49229d2210abab412fd852faf47cb8,"Schistomeringos loveni (Kinberg, 1865)",Animalia,SPECIES
323327994,5198034,alien_species_cyprus:taxon:64faed82f6dd2bc92a0a7224b48ffc19,"Dorvillea similis (Crossland, 1924)",Animalia,SPECIES
323328000,5198234,alien_species_cyprus:taxon:2fd85da4d4668dbbd1ec5ea5c7cee7ed,"Leodice antennata Savigny, 1818",Animalia,SPECIES
323328001,3197970,alien_species_cyprus:taxon:e9273616b2a9dfa58e0a1d2949001c60,Colpomenia peregrina Sauv.,Chromista,SPECIES
323328008,5198157,alien_species_cyprus:taxon:8345e173c13c41fdec83b22841a35940,"Lysidice collaris Grube, 1868",Animalia,SPECIES
323328013,8082159,alien_species_cyprus:taxon:f9e078c5c6cdf59a1f21d72e7f019195,"Palola valida (Gravier, 1900)",Animalia,SPECIES
323328014,2611508,alien_species_cyprus:taxon:c3d8c08c500d6ab3b616268fed638809,Macrophomina phaseolina (Tassi) Goid.,Fungi,SPECIES
323328025,2317532,alien_species_cyprus:taxon:0885a5bae271861d57de721013725e26,"Linopherus canariensis Langerhans, 1881",Animalia,SPECIES
323328032,2575053,alien_species_cyprus:taxon:6a8017409b4f5c7879c9a530cd06cc16,Seiridium cardinale (W.W.Wagener) B.Sutton & I.A.S.Gibson,Fungi,SPECIES
323328041,5200315,alien_species_cyprus:taxon:179ecea8207061d5c5a7fd14cb8ee7c1,"Branchiomma luctuosum (Grube, 1870)",Animalia,SPECIES
323328043,5200325,alien_species_cyprus:taxon:9d10887d2ca36197e87ebec574f90327,"Branchiomma boholense (Grube, 1878)",Animalia,SPECIES
323328051,8400812,alien_species_cyprus:taxon:4b63774788f75db8be2139424440aa7c,"Hydroides heterocera (Grube, 1868)",Animalia,SPECIES
323328053,2328291,alien_species_cyprus:taxon:11ed10027773d8da10c6d6c69ac665aa,"Hydroides homoceros Pixell, 1913",Animalia,SPECIES
323328057,5199674,alien_species_cyprus:taxon:aea48613c82cc8b65b07d86cd82ffa56,"Spirobranchus tetraceros (Schmarda, 1861)",Animalia,SPECIES
323328062,5199417,alien_species_cyprus:taxon:daedcf9f13725163e1eaf478f20b3c0b,"Spirorbis marioni Caullery & Mesnil, 1897",Animalia,SPECIES
323328065,5199736,alien_species_cyprus:taxon:8368992a479b2f8692e2fa5ccd78ec1d,"Rhodopsis pusilla Bush, 1905",Animalia,SPECIES
