taxonKey,nubKey,countryCode,occurrenceStatus,establishmentMeans,degreeOfEstablishment,pathway,eventDate,source
148692906,3200580,CY,present,introduced,,,,
148692918,5421948,CY,present,introduced,,,,
148692921,3194102,CY,present,introduced,,,,
148692922,4554475,CY,present,introduced,,,,
148692923,4554493,CY,present,introduced,,,,
148692924,4554459,CY,present,introduced,,,,
148692930,4556299,CY,present,introduced,,,,
148692935,2283982,CY,present,introduced,,,,
148692937,5188667,CY,present,introduced,,,,
148692941,4555875,CY,present,introduced,,,,
148692948,8271018,CY,present,introduced,,,,
148692951,2267855,CY,doubtful,introduced,,,,
148692957,2264597,CY,present,introduced,,,,
148692958,8234981,CY,present,introduced,,,,
148692960,2264603,CY,present,introduced,invasive,,,
148692963,7374940,CY,present,introduced,,,,
148692967,2318080,CY,present,introduced,,,,
148692970,7930958,CY,present,introduced,,,,
148692972,2318164,CY,present,introduced,,,,
148692975,2319527,CY,present,introduced,,,,
148692976,2575053,CY,present,introduced,,,,
148692988,2317532,CY,present,introduced,,,,
2325174,2325174,CY,present,introduced,,,,
148692995,2324609,CY,present,introduced,,,,
148692996,2611508,CY,present,introduced,,,,
148693005,5199417,CY,present,introduced,,,,
7708376,2675378,CY,present,introduced,,,,
148693008,5199674,CY,present,introduced,,,,
148693009,8400812,CY,present,introduced,,,,
148693011,2328302,CY,present,introduced,,,,
148693017,5200315,CY,present,introduced,,,,
148693018,4375452,CY,present,introduced,,,,
148693019,5854272,CY,present,introduced,,,,
148693025,2315466,CY,present,introduced,invasive,,,
148693027,2315832,CY,present,introduced,,,,
148693029,2643103,CY,present,introduced,,,,
148693031,2643093,CY,present,introduced,,,,
148693032,2643131,CY,present,introduced,invasive,,,
148693036,2310982,CY,present,introduced,,,,
148693039,2310374,CY,present,introduced,,,,
148693040,9802728,CY,present,introduced,,,,
148693050,4341995,CY,present,introduced,,,,
148693055,2663181,CY,present,introduced,,,,
148693059,2276151,CY,present,introduced,,,,
148693060,5279840,CY,present,introduced,,,,
148693062,2276189,CY,present,introduced,,,,
148693069,2272084,CY,present,introduced,,,,
148693070,5277464,CY,present,introduced,,,,
148693072,5277463,CY,present,introduced,,,,
12194263,5277736,CY,present,introduced,,,,
148693079,2659723,CY,present,introduced,,,,
148693090,5729648,CY,present,introduced,,,,
