taxonID,taxonKey,scientificName,action,acceptedKey,acceptedName
20667,148692903,"Eriophyes pyri (H.A.Pagenstecher, 1857)",filtered_on_establishmentMeans,5774728,"Eriophyes pyri (H.A.Pagenstecher, 1857)"
20939,148692918,"Rhizosolenia calcar-avis M.Schultze, 1858",scientificName_replaced_by_backbone_name,5421948,"Rhizosolenia calcar-avis Schultze, 1858"
20917,148692921,"Pseudosolenia calcar-avis (Schultze) B.G.SundstrÃ¶m, 1986",scientificName_replaced_by_backbone_name,3194102,"Pseudosolenia calcar-avis (Schultze) B.G.Sundström, 1986"
20794,148692930,"Meloidogyne arenaria (Neal, 1889)",scientificName_replaced_by_backbone_name,4556299,"Meloidogyne arenaria (Neal, 1889) Chitwood, 1949"
20881,148692936,Phytophthora citrophthora (R.E.Sm. & E.H.Sm.) Leonian,filtered_on_establishmentMeans,3203668,Phytophthora citrophthora (R.E.Sm. & E.H.Sm.) Leonian
20694,148692937,"Globodera rostochiensis (Wollenweber, 1923)",scientificName_replaced_by_backbone_name,5188667,"Globodera rostochiensis (Wollenweber, 1923) Skarbilovich, 1959"
20693,148692938,"Globodera pallida (Stone, 1973)",filtered_on_establishmentMeans,5188665,"Globodera pallida Stone, 1973"
20942,148692957,"Rhopilema nomadica Galil, 1990",scientificName_replaced_by_backbone_name,2264597,"Rhopilema nomadica Galil, Spanier & Ferguson, 1990"
20572,148692960,"Cassiopea andromeda (ForsskÃ¥l, 1775)",scientificName_replaced_by_backbone_name,2264603,"Cassiopea andromeda (Forskål, 1775)"
20827,148692980,"Oenone fulgida (Savigny, 1818)",filtered_on_establishmentMeans,5197940,"Oenone fulgida (Lamarck, 1818)"
20835,148692983,"Ophiognomonia leptostyla (Fr.) Sogonov, 2008",filtered_on_establishmentMeans,5952582,Ophiognomonia leptostyla (Fr.) Sogonov
20776,148692984,"Lysidice collaris Grube, 1870",filtered_on_establishmentMeans,5198157,"Lysidice collaris Grube, 1868"
