taxonKey,nubKey,countryCode,occurrenceStatus,establishmentMeans,degreeOfEstablishment,pathway,eventDate,source
160851170,3216760,CZ,present,introduced,,,,
160851171,1003567,CZ,present,introduced,,,,
160851176,3217412,CZ,present,introduced,,,,
160851181,4408321,CZ,present,introduced,,,,
160851182,3218379,CZ,present,introduced,,,,
160851186,4306613,CZ,present,introduced,,,,
160851188,8661799,CZ,present,introduced,,,,
160851191,2308574,CZ,present,introduced,,,,
160851192,7751668,CZ,present,introduced,,,,
160851194,8222436,CZ,present,introduced,,,,
160851198,3219362,CZ,present,introduced,,,,
160851201,2287072,CZ,present,introduced,,,,
8008494,5427198,CZ,present,introduced,,,,
160851208,8190231,CZ,present,introduced,,,,
160851214,5189806,CZ,present,introduced,,,,
10838194,7414996,CZ,present,introduced,,,,
160851220,5192470,CZ,present,introduced,,,,
160851226,7687663,CZ,present,introduced,,,,
9776227,4562121,CZ,present,introduced,,,,
160851230,7431195,CZ,present,introduced,,,,
9520065,2291152,CZ,present,introduced,,,,
160851233,5189713,CZ,present,introduced,,,,
160851235,2290996,CZ,present,introduced,,,,
9269222,3192226,CZ,present,introduced,,,,
160851241,5190767,CZ,present,introduced,,,,
5421770,7503094,CZ,present,introduced,,,,
160851245,4567717,CZ,present,introduced,,,,
160851248,8030069,CZ,present,introduced,,,,
160851249,7540164,CZ,present,introduced,,,,
160851250,5779455,CZ,present,introduced,,,,
3193599,3193383,CZ,present,introduced,,,,
2505781,2505781,CZ,present,introduced,,,,
3193323,3193362,CZ,present,introduced,,,,
160851264,2505826,CZ,present,introduced,,,,
4275361,7635184,CZ,present,introduced,,,,
160851271,5421596,CZ,present,introduced,,,,
5892120,2502879,CZ,present,introduced,,,,
160851280,9013032,CZ,present,introduced,,,,
160851282,8835673,CZ,present,introduced,,,,
160851283,2533347,CZ,present,introduced,,,,
160851284,5892434,CZ,present,introduced,,,,
160851286,8949148,CZ,present,introduced,,,,
160851288,9071817,CZ,present,introduced,,,,
160851289,5239466,CZ,present,introduced,,,,
160851290,9145173,CZ,present,introduced,,,,
160851291,5239483,CZ,present,introduced,,,,
160851295,4412188,CZ,present,introduced,,,,
160851298,4343705,CZ,present,introduced,,,,
160851299,4343706,CZ,present,introduced,,,,
160851303,4412346,CZ,present,introduced,,,,
160851304,4412354,CZ,present,introduced,,,,
160851306,4412351,CZ,present,introduced,,,,
160851308,4412304,CZ,present,introduced,,,,
160851309,4412307,CZ,present,introduced,,,,
160851310,2647713,CZ,present,introduced,,,,
160851311,4412410,CZ,present,introduced,,,,
160851313,9767844,CZ,present,introduced,,,,
9696951,2505265,CZ,present,introduced,,,,
160851322,5273507,CZ,present,introduced,,,,
160851325,4345155,CZ,present,introduced,,,,
160851330,4413920,CZ,present,introduced,,,,
160851331,2639345,CZ,present,introduced,,,,
160851335,8478602,CZ,present,introduced,,,,
160851338,4412620,CZ,present,introduced,,,,
7797215,2641899,CZ,present,introduced,,,,
160851342,5233633,CZ,present,introduced,,,,
160851347,4412730,CZ,present,introduced,,,,
160851349,4412789,CZ,present,introduced,,,,
160851352,8244689,CZ,present,introduced,,,,
160851358,2283363,CZ,present,introduced,,,,
160851359,5286308,CZ,present,introduced,,,,
160851360,4554201,CZ,present,introduced,,,,
160851361,4554225,CZ,present,introduced,,,,
160851366,4554172,CZ,present,introduced,,,,
160851368,4554009,CZ,present,introduced,,,,
160851371,2677047,CZ,present,introduced,invasive,,,
160851375,4558533,CZ,present,introduced,,,,
160851377,4558535,CZ,present,introduced,,,,
7708376,2675378,CZ,present,introduced,,,,
160851382,5188667,CZ,present,introduced,,,,
160851385,3085418,CZ,present,introduced,,,,
160851387,5281901,CZ,present,introduced,invasive,,,
160851388,2284335,CZ,present,introduced,,,,
160851391,4558769,CZ,present,introduced,,,,
160851395,4558661,CZ,present,introduced,,,,
160851396,7032283,CZ,present,introduced,,,,
160851399,5275415,CZ,present,introduced,,,,
12212967,2283525,CZ,present,introduced,,,,
160851404,2650999,CZ,present,introduced,,,,
160851405,2283441,CZ,present,introduced,,,,
160851408,2650799,CZ,present,introduced,,,,
160851409,5188634,CZ,present,introduced,,,,
160851410,2283513,CZ,present,introduced,,,,
160851412,4558969,CZ,present,introduced,,,,
160851414,4558971,CZ,present,introduced,,,,
160851415,4558978,CZ,present,introduced,,,,
160851416,2650107,CZ,present,introduced,invasive,,,
160851418,2283544,CZ,present,introduced,,,,
160851420,4559213,CZ,present,introduced,,,,
160851422,4559235,CZ,present,introduced,,,,
160851423,4630676,CZ,present,introduced,,,,
160851425,4559169,CZ,present,introduced,,,,
160851426,5299536,CZ,present,introduced,,,,
160851429,5299675,CZ,present,introduced,,,,
160851430,4557402,CZ,present,introduced,,,,
160851431,2753079,CZ,present,introduced,,,,
160851433,2753090,CZ,present,introduced,,,,
4346612,5890148,CZ,present,introduced,,,,
160851435,2752849,CZ,present,introduced,,,,
160851437,5300296,CZ,present,introduced,,,,
160851440,5300535,CZ,present,introduced,,,,
160851443,5221528,CZ,present,introduced,,,,
160851446,5328909,CZ,present,introduced,,,,
160851448,2441514,CZ,present,introduced,,,,
160851450,2441461,CZ,present,introduced,,,,
160851451,2441454,CZ,present,introduced,,,,
160851452,2870583,CZ,present,introduced,,,,
160851454,2867631,CZ,present,introduced,,,,
160851455,8909809,CZ,present,introduced,,,,
160851460,2865526,CZ,present,introduced,,,,
160851461,2440254,CZ,present,introduced,,,,
5329263,5329260,CZ,present,introduced,,,,
160851465,5329212,CZ,present,introduced,,,,
160851466,4264680,CZ,present,introduced,,,,
160851467,2865448,CZ,present,introduced,invasive,,,
160851470,5219858,CZ,present,introduced,,,,
160851474,2766030,CZ,present,introduced,,,,
5218823,2433652,CZ,present,introduced,,,,
2765942,2765940,CZ,present,introduced,,,,
160851478,2434552,CZ,present,introduced,,,,
160851481,2764179,CZ,present,introduced,,,,
160851483,5706328,CZ,present,introduced,,,,
160851487,2440965,CZ,present,introduced,,,,
160851488,2781074,CZ,present,introduced,,,,
160851489,5220136,CZ,present,introduced,,,,
160851490,2781103,CZ,present,introduced,,,,
160851491,4262380,CZ,present,introduced,,,,
