taxonID,taxonKey,scientificName,action,acceptedKey,acceptedName
75823,160851170,Synechococcus capitatus Bailey-Watts & KomÃ¡rek,scientificName_replaced_by_backbone_name,3216760,Synechococcus capitatus Bailey-Watts & Komárek
74897,160851176,Geitleribactron periphyticum KomÃ¡rek,scientificName_replaced_by_backbone_name,3217412,Geitleribactron periphyticum Komárek
75475,160851182,Planktothrix rubescens (DC. ex Gomont) Anagn. & KomÃ¡rek,scientificName_replaced_by_backbone_name,3218379,Planktothrix rubescens (DC. ex Gomont) Anagn. & Komárek
74930,160851188,Gloeotrichia echinulata (J.Smith) P.Richter,scientificName_replaced_by_backbone_name,8661799,Gloeotrichia echinulata P.G.Richt.
75779,160851192,"Sphaerospermopsis aphanizomenoides (Forti) ZapomelovÃ¡, JezberovÃ¡, Hrouzek, Hisem, RehÃ¡kovÃ¡ & KomÃ¡rkovÃ¡",scientificName_replaced_by_backbone_name,7751668,"Sphaerospermopsis aphanizomenoides (Forti) Zapomelová, Jezberová, Hrouzek, Hisem, Reháková & Komárková"
74723,160851194,"Dolichospermum compactum (Nygaard) Wacklin, L.Hoffm. & KomÃ¡rek",scientificName_replaced_by_backbone_name,8222436,"Dolichospermum compactum (Nygaard) Wacklin, L.Hoffm. & Komárek"
74644,160851196,"Cuspidothrix issatschenkoi (UsaÄ ev) P.Rajan., KomÃ¡rek, Willame, Hrouzek, KatovskÃ¡, L.Hoffm. & Sivonen",not_matched_with_backbone,,
74651,160851198,Cylindrospermopsis raciborskii (Wolosz.) Seena. & Subbar.,scientificName_replaced_by_backbone_name,3219362,Cylindrospermopsis raciborskii (Wołosz.) Seenayya & Subbaraju
74213,160851204,Anabaena bergii Ostenf.,merged_with_accepted,8008494,Chrysosporum bergii (Ostenf.) Zapomelová et al.
74588,160851208,"Corbicula fluminea (O.F.MÃ¼ller, 1774)",scientificName_replaced_by_backbone_name,8190231,"Corbicula fluminea (O.F.Müller, 1774)"
75414,160851217,Peridiniopsis kevei,merged_with_accepted,10838194,"Unruhdinium kevei (Grigorszky & F.Vasas) Gottschling, 2017"
75499,160851220,"Potamopyrgus antipodarum (Gray, 1843)",scientificName_replaced_by_backbone_name,5192470,"Potamopyrgus antipodarum (J.E.Gray, 1843)"
74854,160851227,"Ferrissia clessiniana (Jickeli, 1882)",merged_with_accepted,9776227,"Pettancylus clessinianus (Jickeli, 1882)"
74869,160851230,Frustulia weinholdii Hust.,scientificName_replaced_by_backbone_name,7431195,Frustulia weinholdi Hustedt
74855,160851231,"Ferrissia fragilis (Tryon, 1863)",merged_with_accepted,9520065,"Ferrissia californica (Rowell, 1863)"
75219,160851233,"Menetus dilatatus (Gould, 1841)",scientificName_replaced_by_backbone_name,5189713,"Menetus dilatatus (A.Gould, 1841)"
75797,160851238,Staurosirella berolinensis (Lemmerm.) Bukht.,merged_with_accepted,9269222,Synedra berolinensis var. berolinensis
74865,160851242,"Fragilaria reicheltii (Voigt) Lange-Bertalot, 1986",merged_with_accepted,5421770,"Centronella reichelti Voigt, 1902"
74705,160851248,Didymosphenia geminata (Lyngb.) M.Schmidt,scientificName_replaced_by_backbone_name,8030069,"Didymosphenia geminatum (Lyngbye) M.Schmidt, 1899"
74268,160851250,"Arion lusitanicus J.Mabille, 1868",scientificName_replaced_by_backbone_name,5779455,"Arion lusitanicus Mabille, 1868"
75751,160851254,Skeletonema potamos (Weber) Hasle,merged_with_accepted,3193599,"Microsiphona potamos C.I.Weber, 1970"
74646,160851261,"Cyclostephanos delicatus (S.I.Genkel) S.J.Casper & W.Scheffler, 1990",merged_with_accepted,3193323,"Stephanodiscus delicatus S.I.Genkal, 1985"
74853,160851264,"Fascioloides magna (Bassi, 1875)",scientificName_replaced_by_backbone_name,2505826,"Fascioloides magna (Bassa, 1875)"
74721,160851265,"Discostella woltereckii (Hustedt) V.Houk & R.Klee, 2004",merged_with_accepted,4275361,"Cyclotella woltereckii Hustedt, 1942"
74123,160851271,Actinocyclus normanii (W.Greg.) Hust.,scientificName_replaced_by_backbone_name,5421596,"Actinocyclus normanii (Gregory) Hustedt, 1957"
74739,160851272,"Dugesia tigrina (Girard, 1850)",merged_with_accepted,5892120,"Girardia tigrina (Girard, 1850)"
75254,160851289,Mutinus ravenelii (Berk. & M.A.Curtis) E.Fisch.,scientificName_replaced_by_backbone_name,5239466,Mutinus ravenelii (Berk.) E.Fisch.
74672,160851306,"Dactylogyrus nobilis Y.u.Long, 1958",scientificName_replaced_by_backbone_name,4412351,"Dactylogyrus nobilis Long & Yu, 1958"
74556,160851318,"Cleidodiscus pricei Mueller, 1936",merged_with_accepted,9696951,"Ligictaluridus pricei (Mueller, 1936) Beverley-Burton, 1984"
75506,160851325,"Proteocephalus longicollis (Zeder, 1800)",scientificName_replaced_by_backbone_name,4345155,"Proteocephalus longicollis (Zeder, 1800) Benedict, 1900"
75044,160851330,"Khawia sinensis Hsu, 1935",scientificName_replaced_by_backbone_name,4413920,"Khawia sinensis Hsü, 1935"
75482,160851331,Pleodorina indica (Iyengar) H.Nozaki,scientificName_replaced_by_backbone_name,2639345,"Pleodorina indica (Iyengar) H.Nozaki, 1989"
75409,160851341,"Pediastrum simplex Meyen, 1829",merged_with_accepted,7797215,Monactinus simplex (Meyen) Corda
75246,160851345,"Moniezia rupicaprae Galli-Valerio, 1929",not_matched_with_backbone,,
75355,160851371,"Orthodontium lineare Schwaegrichen, 1827",scientificName_replaced_by_backbone_name,2677047,Orthodontium lineare Schwägr.
74700,160851378,"Dicranoweisia cirrata Lindberg, 1869",merged_with_accepted,7708376,Dicranoweisia cirrata (Hedw.) Lindb. ex Milde
74929,160851382,"Globodera rostochiensis (Wollenweber, 1923)",scientificName_replaced_by_backbone_name,5188667,"Globodera rostochiensis (Wollenweber, 1923) Skarbilovich, 1959"
74435,160851387,"Campylopus introflexus Bridel, 1819",scientificName_replaced_by_backbone_name,5281901,Campylopus introflexus (Hedw.) Brid.
75824,160851388,"Syphacia muris Yamaguti, 1941",scientificName_replaced_by_backbone_name,2284335,"Syphacia muris (Yamaguti, 1935)"
75327,160851402,"Oesophagostomum columbianum Curtice, 1890",merged_with_accepted,12212967,"Oesophagostomum columbianum (Curtice, 1890) Stossich, 1899"
74701,160851405,"Dictyocaulus filaria (Rudolphi, 1809)",scientificName_replaced_by_backbone_name,2283441,"Dictyocaulus filaria (Rudolphi, 1809) Railliet & Henry, 1907"
75249,160851410,"Muellerius capillaris (MÃ¼ller, 1889)",scientificName_replaced_by_backbone_name,2283513,"Muellerius capillaris (Müller, 1889)"
74230,160851434,"Anguillicoloides crassus (Kuwahara, Niimi & Itagaki, 1974) Moravec & Taraschewski, 1988",merged_with_accepted,4346612,"Anguillicola crassus Kuwahara, Niimi & Itagaki, 1974"
74969,160851443,"Hemidactylus turcicus Linnaeus, 1758",scientificName_replaced_by_backbone_name,5221528,"Hemidactylus turcicus (Linnaeus, 1758)"
75084,160851454,Lemna turionifera E.Landolt,scientificName_replaced_by_backbone_name,2867631,Lemna turionifera Landolt
74758,160851462,Egeria densa Planch.,merged_with_accepted,5329263,Elodea densa (Planch.) Casp.
74765,160851465,Elodea nuttallii St.John,scientificName_replaced_by_backbone_name,5329212,Elodea nuttallii (Planch.) H.St.John
75277,160851475,"Neovison vison (Schreber, 1777)",merged_with_accepted,5218823,"Mustela vison Schreber, 1777"
74759,160851476,Eichhornia crassipes Solms,merged_with_accepted,2765942,Pontederia crassipes Mart.
75057,160851483,"Lama glama guanicoe (MÃ¼ller, 1776)",scientificName_replaced_by_backbone_name,5706328,"Lama glama guanicoe (Müller, 1776)"
74967,160851488,Hemerocallis fulva L.,scientificName_replaced_by_backbone_name,2781074,Hemerocallis fulva (L.) L.
75360,160851502,"Ovis musimon (Pallas, 1811)",merged_with_accepted,6165157,"Ovis aries musimon (Pallas, 1811)"
75033,160851504,Iris germanica L.,scientificName_replaced_by_backbone_name,5298069,Iris ×germanica L.
74629,160851506,Crocus chrysanthus Herb.,scientificName_replaced_by_backbone_name,2747489,Crocus chrysanthus (Herb.) Herb.
74628,160851508,Crocosmia crocosmiiflora (Nicholson) N.E.Br.,scientificName_replaced_by_backbone_name,2747939,Crocosmia ×crocosmiiflora (Lemoine) N.E.Br.
75685,160851521,Scilla sardensis (Barr & Sugden) Speta,scientificName_replaced_by_backbone_name,2767229,Scilla sardensis (Whittall ex Barr & Sugden) Speta
75487,160851530,Polygonatum biflorum Elliott,scientificName_replaced_by_backbone_name,2770039,Polygonatum biflorum (Walter) Elliott
74993,160851540,Hosta plantaginea Asch.,scientificName_replaced_by_backbone_name,2771287,Hosta plantaginea (Lam.) Asch.
74996,160851545,Hyacinthella leucophaea Schur,scientificName_replaced_by_backbone_name,2767598,Hyacinthella leucophaea (K.Koch) Schur
75234,160851556,"Micropterus salmoides (LacepÃ¨de, 1802)",scientificName_replaced_by_backbone_name,2394563,"Micropterus salmoides (Lacepède, 1802)"
74165,160851559,Allium paradoxum G.Don,scientificName_replaced_by_backbone_name,2857017,Allium paradoxum (M.Bieb.) G.Don
74170,160851565,Allium zebdanense Boiss. & No,scientificName_replaced_by_backbone_name,2857341,Allium zebdanense Boiss. & Noë
75152,160851590,Luzula nivea DC.,scientificName_replaced_by_backbone_name,2700768,Luzula nivea (Nathh.) DC.
75801,160851607,Stipa calamagrostis (L.) Wahlenb.,merged_with_accepted,4142326,Achnatherum calamagrostis (L.) P.Beauv.
75719,160851617,Setaria viridis subsp. viridis,merged_with_accepted,5289684,Setaria viridis (L.) P.Beauv.
74714,160851621,Digitaria sanguinalis var. sanguinalis,merged_with_accepted,5289972,Digitaria sanguinalis (L.) Scop.
74712,160851624,Digitaria sanguinalis (L.) Scop.,not_matched_with_backbone,,
75105,160851628,Leptochloa fusca subsp. fascicularis (Lam.) N.Snow,merged_with_accepted,8257546,Diplachne fusca subsp. fascicularis (Lam.) P.M.Peterson & N.Snow
74116,160851632,"Acipenser gueldenstaedtii Brandt & Ratzeburg, 1831",scientificName_replaced_by_backbone_name,2402129,"Acipenser gueldenstaedtii Brandt & Ratzeburg, 1833"
75135,160851633,Lolium hybridum Hausskn.,merged_with_accepted,4133390,Lolium ×boucheanum Kunth
75412,160851637,Pennisetum alopecuroides (L.) Spreng.,merged_with_accepted,5671747,Cenchrus alopecuroides (L.) Thunb.
75893,160851644,Triticum polonicum L.,merged_with_accepted,6313049,Triticum turgidum subsp. polonicum (L.) Thell.
