taxonKey,taxonID,scientificName,kingdom,taxonRank
160851170,75823,Synechococcus capitatus Bailey-Watts & Komárek,Bacteria,SPECIES
160851171,75408,"Pectinatella magnifica (Leidy, 1851)",Animalia,SPECIES
160851176,74897,Geitleribactron periphyticum Komárek,Bacteria,SPECIES
160851181,74614,"Craspedacusta sowerbii Lankester, 1880",Animalia,SPECIES
160851182,75475,Planktothrix rubescens (DC. ex Gomont) Anagn. & Komárek,Bacteria,SPECIES
160851186,75552,Raphidiopsis mediterranea Skuja,Bacteria,SPECIES
160851188,74930,Gloeotrichia echinulata P.G.Richt.,Bacteria,SPECIES
160851191,74361,"Branchiura sowerbyi Beddard, 1892",Animalia,SPECIES
160851192,75779,"Sphaerospermopsis aphanizomenoides (Forti) Zapomelová, Jezberová, Hrouzek, Hisem, Reháková & Komárková",Bacteria,SPECIES
160851194,74723,"Dolichospermum compactum (Nygaard) Wacklin, L.Hoffm. & Komárek",Bacteria,SPECIES
160851198,74651,Cylindrospermopsis raciborskii (Wołosz.) Seenayya & Subbaraju,Bacteria,SPECIES
160851201,74730,"Dreissena polymorpha (Pallas, 1771)",Animalia,SPECIES
8008494,74213,Chrysosporum bergii (Ostenf.) Zapomelová et al.,Bacteria,SPECIES
160851208,74588,"Corbicula fluminea (O.F.Müller, 1774)",Animalia,SPECIES
160851214,75459,"Physella acuta (Draparnaud, 1805)",Animalia,SPECIES
10838194,75414,"Unruhdinium kevei (Grigorszky & F.Vasas) Gottschling, 2017",Chromista,SPECIES
160851220,75499,"Potamopyrgus antipodarum (J.E.Gray, 1843)",Animalia,SPECIES
160851226,75272,Navicula schroeteri F.Meister,Chromista,SPECIES
9776227,74854,"Pettancylus clessinianus (Jickeli, 1882)",Animalia,SPECIES
160851230,74869,Frustulia weinholdi Hustedt,Chromista,SPECIES
9520065,74855,"Ferrissia californica (Rowell, 1863)",Animalia,SPECIES
160851233,75219,"Menetus dilatatus (A.Gould, 1841)",Animalia,SPECIES
160851235,74942,"Gyraulus parvus (Say, 1817)",Animalia,SPECIES
9269222,75797,Synedra berolinensis var. berolinensis,Chromista,VARIETY
160851241,75369,"Oxychilus draparnaudi (H.Beck, 1837)",Animalia,SPECIES
5421770,74865,"Centronella reichelti Voigt, 1902",Chromista,SPECIES
160851245,74351,"Boettgerilla pallens Simroth, 1912",Animalia,SPECIES
160851248,74705,"Didymosphenia geminatum (Lyngbye) M.Schmidt, 1899",Chromista,SPECIES
160851249,74269,"Arion vulgaris Moquin-Tandon, 1855",Animalia,SPECIES
160851250,74268,"Arion lusitanicus Mabille, 1868",Animalia,SPECIES
3193599,75751,"Microsiphona potamos C.I.Weber, 1970",Chromista,SPECIES
2505781,75546,"Quinqueserialis quinqueserialis Barker & Laughlin, 1911",Animalia,SPECIES
3193323,74646,"Stephanodiscus delicatus S.I.Genkal, 1985",Chromista,SPECIES
160851264,74853,"Fascioloides magna (Bassa, 1875)",Animalia,SPECIES
4275361,74721,"Cyclotella woltereckii Hustedt, 1942",Chromista,SPECIES
160851271,74123,"Actinocyclus normanii (Gregory) Hustedt, 1957",Animalia,SPECIES
5892120,74739,"Girardia tigrina (Girard, 1850)",Animalia,SPECIES
160851280,74948,"Gyrodactylus sprostonae Ling, 1962",Animalia,SPECIES
160851282,74947,"Gyrodactylus shulmani Ling, 1962",Animalia,SPECIES
160851283,75805,Stropharia rugosoannulata Farl. ex Murrill,Fungi,SPECIES
160851284,74946,"Gyrodactylus kobayashii Hukuda, 1940",Animalia,SPECIES
160851286,74945,"Gyrodactylus kherulensis Ergens, 1974",Animalia,SPECIES
160851288,74944,"Gyrodactylus gurleyi Price, 1937",Animalia,SPECIES
160851289,75254,Mutinus ravenelii (Berk.) E.Fisch.,Fungi,SPECIES
160851290,74943,"Gyrodactylus cyprini Diarova, 1964",Animalia,SPECIES
160851291,74553,Clathrus archeri (Berk.) Dring,Fungi,SPECIES
160851295,74828,"Eudiplozoon nipponicum (Goto, 1891) Khotenovsky, 1984",Animalia,SPECIES
160851298,75523,"Pseudodactylogyrus bini (Kikuchi, 1929)",Animalia,SPECIES
160851299,75522,"Pseudodactylogyrus anguillae (Yin & Sproston, 1948) Gusev, 1965",Animalia,SPECIES
160851303,74670,"Dactylogyrus inexpectatus Izjumova, 1955",Animalia,SPECIES
160851304,74669,"Dactylogyrus hypophthalmichthys Akhmerov, 1952",Animalia,SPECIES
160851306,74672,"Dactylogyrus nobilis Long & Yu, 1958",Animalia,SPECIES
160851308,74671,"Dactylogyrus lamellatus Akhmerow, 1952",Animalia,SPECIES
160851309,74668,"Dactylogyrus dulkeiti Bychowsky, 1936",Animalia,SPECIES
160851310,75796,Staurastrum manfeldtii Delponte,Plantae,SPECIES
160851311,74667,"Dactylogyrus achmerowi Gusev, 1955",Animalia,SPECIES
160851313,74673,"Dactylogyrus squameus Gusev, 1955",Animalia,SPECIES
9696951,74556,"Ligictaluridus pricei (Mueller, 1936) Beverley-Burton, 1984",Animalia,SPECIES
160851322,75904,Ulva flexuosa Wulfen,Plantae,SPECIES
160851325,75506,"Proteocephalus longicollis (Zeder, 1800) Benedict, 1900",Animalia,SPECIES
160851330,75044,"Khawia sinensis Hsü, 1935",Animalia,SPECIES
160851331,75482,"Pleodorina indica (Iyengar) H.Nozaki, 1989",Plantae,SPECIES
160851335,75827,"Taenia multiceps Leske, 1780",Animalia,SPECIES
160851338,75547,"Raillietina friedbergeri (von Linstow, 1878)",Animalia,SPECIES
7797215,75409,Monactinus simplex (Meyen) Corda,Plantae,SPECIES
160851342,74752,"Echinolepis carioca (Magalhaes, 1898)",Animalia,SPECIES
160851347,75248,"Mosgovoyia ctenoides (Railliet, 1890)",Animalia,SPECIES
160851349,74225,"Andrya cuniculi (Blanchard, 1891)",Animalia,SPECIES
160851352,75586,Riccia fluitans L.,Plantae,SPECIES
160851358,75867,"Trichosomoides crassicauda (Bellingham, 1840)",Animalia,SPECIES
160851359,75147,Lunularia cruciata (L.) Dumort. ex Lindb.,Plantae,SPECIES
160851360,75870,"Trichuris opaca Barker & Noyes, 1915",Animalia,SPECIES
160851361,75869,"Trichuris myocastoris Enigk, 1933",Animalia,SPECIES
160851366,74827,"Eucoleus gastricus (Baylis, 1926)",Animalia,SPECIES
160851368,74239,"Aonchotheca annulosa (Dujardin, 1845)",Animalia,SPECIES
160851371,75355,Orthodontium lineare Schwägr.,Plantae,SPECIES
160851375,75803,"Strongyloides myopotami Artigas & Pacheco, 1933",Animalia,SPECIES
160851377,75804,"Strongyloides ratti Sandground, 1925",Animalia,SPECIES
7708376,74700,Dicranoweisia cirrata (Hedw.) Lindb. ex Milde,Plantae,SPECIES
160851382,74929,"Globodera rostochiensis (Wollenweber, 1923) Skarbilovich, 1959",Animalia,SPECIES
160851385,74698,Dianthus chinensis L.,Plantae,SPECIES
160851387,74435,Campylopus introflexus (Hedw.) Brid.,Plantae,SPECIES
160851388,75824,"Syphacia muris (Yamaguti, 1935)",Animalia,SPECIES
160851391,74331,"Baylisascaris procyonis (Stefanski & Zarnowski, 1951)",Animalia,SPECIES
160851395,74288,"Ascaridia dissimilis Vigueras, 1931",Animalia,SPECIES
