taxonKey,nubKey,countryCode,occurrenceStatus,establishmentMeans,degreeOfEstablishment,pathway,eventDate,source
148741558,5824752,DK,present,introduced,invasive,,,
148741559,4283395,DK,present,introduced,,,,
148741565,5421668,DK,present,introduced,invasive,,,
148741570,5421557,DK,present,introduced,invasive,,,
148741571,2266754,DK,present,introduced,,,,
148741576,3197314,DK,present,introduced,invasive,,,
148741579,2266009,DK,present,introduced,invasive,,,
148741580,3196387,DK,present,introduced,invasive,,,
148741584,2266038,DK,present,introduced,,,,
148741585,5423480,DK,present,introduced,,,,
148741586,5423480,DK,present,introduced,invasive,,,
148741589,3197970,DK,present,introduced,invasive,,,
148741591,2266593,DK,present,introduced,invasive,,,
148741594,3194420,DK,present,introduced,invasive,,,
148741595,5422037,DK,present,introduced,invasive,,,
148741604,2501248,DK,present,introduced,invasive,,,
148741605,3203610,DK,present,introduced,,,,
148741609,3202936,DK,present,introduced,invasive,,,
148741615,8166987,DK,present,introduced,invasive,,,
148741617,5233152,DK,present,introduced,invasive,,,
148741620,7454879,DK,present,introduced,invasive,,,
148741623,7632200,DK,present,introduced,invasive,,,
148741625,3205121,DK,present,introduced,invasive,,,
148741633,5254231,DK,present,introduced,invasive,,,
148741641,4343706,DK,present,introduced,invasive,,,
148741642,4343705,DK,present,introduced,invasive,,,
148741647,2502938,DK,present,introduced,,,,
148741651,8313437,DK,present,introduced,invasive,,,
148741666,5286308,DK,present,introduced,,,,
148741668,2288847,DK,present,introduced,,,,
148741670,7791733,DK,present,introduced,invasive,,,
148741673,2287072,DK,present,introduced,invasive,,,
148741680,2286060,DK,present,introduced,,,,
148741682,2286079,DK,present,introduced,,,,
148741686,5270682,DK,present,introduced,,,,
148741693,2286284,DK,present,introduced,,,,
148741694,2645255,DK,present,introduced,,,,
148741702,5272105,DK,present,introduced,invasive,,,
148741710,2677047,DK,present,introduced,invasive,,,
148741713,2291334,DK,present,introduced,,,,
148741718,4601972,DK,present,introduced,invasive,,,
148741719,5281901,DK,present,introduced,invasive,,,
148741723,5192470,DK,present,introduced,invasive,,,
148741728,5192789,DK,present,introduced,invasive,,,
148741730,8850333,DK,present,introduced,,,,
148741736,5278964,DK,present,introduced,invasive,,,
148741739,7776152,DK,present,introduced,,,,
148741740,10807944,DK,present,introduced,,,,
148741744,2295425,DK,present,introduced,,,,
148741745,2659055,DK,present,introduced,invasive,,,
148741748,2659108,DK,present,introduced,invasive,,,
148741752,2668884,DK,present,introduced,invasive,,,
148741756,5780449,DK,present,introduced,,,,
148741760,5189806,DK,present,introduced,,,,
148741761,5274944,DK,present,introduced,,,,
148741766,5190781,DK,present,introduced,,,,
148741768,2651113,DK,present,introduced,,,,
148741774,2294287,DK,present,introduced,,,,
148741776,2650903,DK,present,introduced,,,,
148741780,2296797,DK,present,introduced,,,,
148741782,2650107,DK,present,introduced,invasive,,,
148741784,4196478,DK,present,introduced,,,,
148741785,4567717,DK,present,introduced,,,,
148741788,2294096,DK,present,introduced,,,,
148741789,5779455,DK,present,introduced,invasive,,,
148741792,2294103,DK,present,introduced,,,,
148741794,6109699,DK,present,introduced,,,,
148741800,2742342,DK,present,introduced,,,,
148741806,5299536,DK,present,introduced,,,,
148741807,5299675,DK,present,introduced,,,,
148741808,4556282,DK,present,introduced,,,,
148741809,2753026,DK,present,introduced,,,,
148741810,4556299,DK,present,introduced,,,,
148741811,2753146,DK,present,introduced,,,,
148741812,4556287,DK,present,introduced,,,,
148741814,2753465,DK,present,introduced,,,,
148741816,2753079,DK,present,introduced,,,,
148741817,2284101,DK,present,introduced,,,,
148741818,5300716,DK,present,introduced,,,,
148741819,5300535,DK,present,introduced,,,,
148741820,4556361,DK,present,introduced,,,,
148741822,2752815,DK,present,introduced,,,,
148741824,2739622,DK,present,introduced,,,,
148741827,5188668,DK,present,introduced,,,,
148741828,2765272,DK,present,introduced,,,,
148741829,2764179,DK,present,introduced,,,,
148741830,5188665,DK,present,introduced,,,,
148741832,5188667,DK,present,introduced,,,,
148741835,5328909,DK,present,introduced,,,,
148741839,2865448,DK,present,introduced,invasive,,,
148741841,5329212,DK,present,introduced,invasive,,,
148741843,2869311,DK,present,introduced,invasive,,,
148741845,5330580,DK,present,introduced,,,,
148741847,5330661,DK,present,introduced,,,,
148741852,2308887,DK,present,introduced,,,,
148741853,2805433,DK,present,introduced,,,,
148741864,5296178,DK,present,introduced,,,,
148741865,5298908,DK,present,introduced,,,,
148741866,5298069,DK,present,introduced,,,,
148741867,5298019,DK,present,introduced,,,,
148741868,5298126,DK,present,introduced,,,,
148741869,2749827,DK,present,introduced,,,,
148741870,2750096,DK,present,introduced,,,,
148741872,2747939,DK,present,introduced,,,,
148741875,4410498,DK,present,introduced,,,,
148741876,8861735,DK,present,introduced,,,,
148741878,8041190,DK,present,introduced,,,,
148741880,5815559,DK,present,introduced,,,,
148741882,2775561,DK,present,introduced,,,,
148741883,8290434,DK,present,introduced,,,,
148741898,2767428,DK,present,introduced,,,,
148741899,2770610,DK,present,introduced,,,,
148741901,2767579,DK,present,introduced,,,,
148741902,8080743,DK,present,introduced,,,,
148741904,2767506,DK,present,introduced,,,,
148741905,2767312,DK,present,introduced,,,,
148741906,2773281,DK,present,introduced,,,,
148741907,2307593,DK,present,introduced,,,,
148741908,2772902,DK,present,introduced,,,,
148741909,2773448,DK,present,introduced,,,,
148741910,2772094,DK,present,introduced,,,,
148741911,8152187,DK,present,introduced,,,,
148741912,2772020,DK,present,introduced,,,,
148741913,2307609,DK,present,introduced,,,,
148741914,5304257,DK,present,introduced,,,,
148741915,4008563,DK,present,introduced,,,,
148741916,5304283,DK,present,introduced,,,,
148741919,2772666,DK,present,introduced,,,,
148741922,10087251,DK,present,introduced,,,,
148741923,5304298,DK,present,introduced,,,,
148741925,2769084,DK,present,introduced,,,,
148741929,2321012,DK,present,introduced,invasive,,,
148741930,2321009,DK,present,introduced,,,,
148741931,2321010,DK,present,introduced,invasive,,,
148741933,5305033,DK,present,introduced,,,,
148741935,2781074,DK,present,introduced,,,,
148741936,2327735,DK,present,introduced,invasive,,,
148741937,2781103,DK,present,introduced,,,,
148741940,5305000,DK,present,introduced,,,,
148741941,2778437,DK,present,introduced,,,,
148741943,2777134,DK,present,introduced,,,,
148741944,2778457,DK,present,introduced,,,,
148741952,2325845,DK,present,introduced,,,,
148741965,2331942,DK,present,introduced,invasive,,,
148741967,7227584,DK,present,introduced,,,,
148741968,2331498,DK,present,introduced,invasive,,,
148741973,2858501,DK,present,introduced,,,,
148741974,2858581,DK,present,introduced,,,,
148741976,10030688,DK,present,introduced,,,,
148741977,2858244,DK,present,introduced,,,,
148741978,2860425,DK,present,introduced,,,,
148741981,2860409,DK,present,introduced,,,,
148741982,2855356,DK,present,introduced,,,,
148741983,2441454,DK,present,introduced,,,,
148741984,2857616,DK,present,introduced,,,,
148741986,2856476,DK,present,introduced,,,,
148741987,6157026,DK,present,introduced,invasive,,,
148741988,7062200,DK,present,introduced,invasive,,,
148741989,8909809,DK,present,introduced,,,,
148741990,2855963,DK,present,introduced,,,,
148741994,2436940,DK,present,introduced,,,,
148741995,2856009,DK,present,introduced,,,,
148741998,2857697,DK,present,introduced,,,,
148741999,2856834,DK,present,introduced,,,,
148742000,5218786,DK,present,introduced,invasive,,,
148742003,2855825,DK,present,introduced,,,,
148742005,5219303,DK,present,introduced,,,,
148742006,2434552,DK,present,introduced,invasive,,,
148742009,2857017,DK,present,introduced,,,,
148742011,2856780,DK,present,introduced,,,,
148742012,2856504,DK,present,introduced,,,,
148742014,2435035,DK,present,introduced,invasive,,,
148742017,2441122,DK,present,introduced,,,,
148742020,2440946,DK,present,introduced,invasive,,,
148742022,2873769,DK,present,introduced,,,,
148742023,5220136,DK,present,introduced,invasive,,,
148742025,2440954,DK,present,introduced,,,,
148742028,2702084,DK,present,introduced,,,,
148742030,2701612,DK,present,introduced,,,,
148742032,8055487,DK,present,introduced,,,,
148742033,2437450,DK,present,introduced,invasive,,,
148742035,2715482,DK,present,introduced,,,,
148742036,4264680,DK,present,introduced,invasive,,,
148742038,8243603,DK,present,introduced,,,,
148742039,2439261,DK,present,introduced,invasive,,,
148742040,7429082,DK,present,introduced,,,,
148742041,5219721,DK,present,introduced,,,,
148742042,5219833,DK,present,introduced,,,,
148742043,2715729,DK,present,introduced,,,,
148742044,2724120,DK,present,introduced,,,,
148742046,2725766,DK,present,introduced,,,,
148742047,2439683,DK,present,introduced,,,,
148742048,2728048,DK,present,introduced,,,,
148742050,5219858,DK,present,introduced,invasive,,,
148742051,2728143,DK,present,introduced,,,,
148742052,2438482,DK,present,introduced,,,,
148742053,2438704,DK,present,introduced,,,,
148742056,5219702,DK,present,introduced,,,,
148742064,2474416,DK,present,introduced,,,,
148742069,2480764,DK,present,introduced,,,,
148742071,2480800,DK,present,introduced,,,,
148742075,2480353,DK,present,introduced,,,,
148742076,2480350,DK,present,introduced,,,,
148742078,2480352,DK,present,introduced,,,,
148742084,5229055,DK,present,introduced,,,,
148742085,2479226,DK,present,introduced,invasive,,,
148742086,2479407,DK,present,introduced,,,,
148742088,2479798,DK,present,introduced,,,,
148742092,2495414,DK,present,introduced,,,,
