taxonID,taxonKey,scientificName,action,acceptedKey,accepted
32663,148741561,"Haliplanella lineata (Verrill, 1869)",merged_with_accepted,148741559,"Diadumene lineata (Verrill, 1869)"
33155,148741565,Odontella sinensis (Grev.) Grunow,scientificName_replaced_by_backbone_name,,
32167,148741595,Chattonella verruculosa,scientificName_replaced_by_backbone_name,,
33472,148741615,Prorocentrum minimum (Pavillard) J.Schiller,scientificName_replaced_by_backbone_name,,
31948,148741617,"Beroe ovata Bruguiere, 1789",scientificName_replaced_by_backbone_name,,
31942,148741629,"Bdellocephala punctata (Pallas, 1774)",merged_with_accepted,201358077,"Fasciola punctata O.F.Müller, 1773"
33060,148741644,Microsphaera alphitoides Griffon & Maubl.,merged_with_accepted,201357418,Erysiphe alphitoides (Griffon & Maubl.) U.Braun & S.Takam.
32768,148741651,"Hymenoscyphus fraxineus (T.Kowalski) Baral, Queloz & Hosoya, 2014",scientificName_replaced_by_backbone_name,,
32490,148741661,"Ensis americanus (Gould, 1870)",merged_with_accepted,201358139,"Ensis leei M.Huber, 2015"
33555,148741662,Riccia rhenana Lorb. ex MÃ¼ll.Frib.,not_matched_with_backbone,,
32293,148741679,"Crassostrea gigas (Thunberg, 1793)",merged_with_accepted,201358132,"Magallana gigas (Thunberg, 1793)"
33299,148741688,"Petricola pholadiformis Lamarck, 1818",merged_with_accepted,201358135,"Petricolaria pholadiformis (Lamarck, 1818)"
32242,148741701,Codium fragile subsp. tomentosoides (Goor) P.C.Silva,merged_with_accepted,201358567,Incertae sedis
31836,148741705,"Arca domingensis Lamarck, 1819",merged_with_accepted,201358143,"Barbatia domingensis (Lamarck, 1819)"
33201,148741710,"Orthodontium lineare Schwaegrichen, 1827",scientificName_replaced_by_backbone_name,,
33338,148741711,Physa heterostroperneha,not_matched_with_backbone,,
33153,148741718,"Ocinebrellus inornatus (RÃ©cluz, 1851)",scientificName_replaced_by_backbone_name,,
32070,148741719,"Campylopus introflexus Bridel, 1819",scientificName_replaced_by_backbone_name,,
33457,148741723,"Potamopyrgus antipodarum (Gray, 1843)",scientificName_replaced_by_backbone_name,,
32689,148741730,Helisoma tenue,scientificName_replaced_by_backbone_name,,
33452,148741732,"Porphyra miniata (C.Agardh) C.Agardh, 1824",merged_with_accepted,201358553,Wildemania miniata (C.Aghard) Foslie
33124,148741739,"Neosiphonia harveyi (J.W.Bailey) M.-S.Kim, H.-G.Choi, Guiry & G.W.Saunders",scientificName_replaced_by_backbone_name,,
31919,148741740,Australorbis bahiensis,scientificName_replaced_by_backbone_name,,
34069,148741744,"Zonitoides arboreus (Say, 1816)",scientificName_replaced_by_backbone_name,,
32723,148741745,Heterosiphonia japonica,scientificName_replaced_by_backbone_name,,
32375,148741748,Dasya baillouviana (S.G.Gmelin) Montagne,scientificName_replaced_by_backbone_name,,
32903,148741750,"Limax valentianus A.Ferussac, 1822",merged_with_accepted,201358107,"Ambigolimax valentianus (A.Férussac, 1822)"
33074,148741756,"Monacha cartusiana (O.F.MÃ¼ller, 1774)",scientificName_replaced_by_backbone_name,,
32661,148741762,"Haitia acuta (Draparnaud, 1805)",merged_with_accepted,148741760,"Physella acuta (Draparnaud, 1805)"
33432,148741765,Polystichum braunii (Spenn.) FÃ©e,not_matched_with_backbone,,
32148,148741770,"Cernuella neglecta (Draparnaud, 1805)",merged_with_accepted,201358125,"Xerocincta neglecta (Draparnaud, 1805)"
32690,148741773,"Helix aspersa O.F.Müller, 1774",merged_with_accepted,201358123,"Cornu aspersum (O.F.Müller, 1774)"
32681,148741778,"Helicella ericetorum (O.F.Müller, 1774)",merged_with_accepted,201358115,"Helicella itala (Linnaeus, 1758)"
31845,148741789,"Arion lusitanicus J.Mabille, 1868",scientificName_replaced_by_backbone_name,,
33950,148741801,Trikinella spiralis,not_matched_with_backbone,,
33032,148741808,"Meloidogyne incognita (Kofoid & White, 1919)",scientificName_replaced_by_backbone_name,,
33031,148741810,"Meloidogyne arenaria (Neal, 1889)",scientificName_replaced_by_backbone_name,,
33033,148741812,"Meloidogyne javanica (Treub, 1885)",scientificName_replaced_by_backbone_name,,
33515,148741817,"Radopholus similis (Cobb, 1893)",scientificName_replaced_by_backbone_name,,
32720,148741827,Heterodera cacti,scientificName_replaced_by_backbone_name,,
32638,148741830,"Globodera pallida (Stone, 1973)",scientificName_replaced_by_backbone_name,,
32639,148741832,"Globodera rostochiensis (Wollenweber, 1923)",scientificName_replaced_by_backbone_name,,
31795,148741840,"Anguillicola crassus Kuwahara, Niimi & Itagaki, 1974",merged_with_accepted,201357572,"Anguillicoloides crassus (Kuwahara, Niimi & Itagaki, 1974) Moravec & Taraschewski, 1988"
32476,148741841,Elodea nuttallii St.John,scientificName_replaced_by_backbone_name,,
32963,148741843,Lysichiton americanus HultÃ©n & H.St.John,scientificName_replaced_by_backbone_name,,
32313,148741857,Crocus luteus Lam.,merged_with_accepted,201357466,Incertae sedis
33785,148741860,Spartina alterniflora x maritima,not_matched_with_backbone,,
32314,148741861,Crocus vernus subsp. vernus,not_matched_with_backbone,201357470,Incertae sedis
32795,148741866,Iris germanica L.,scientificName_replaced_by_backbone_name,,
32545,148741871,"Eudrilus eugeniae (Kinberg, 1867)",merged_with_accepted,201357558,"Lumbricus eugeniae Kinberg, 1867"
32312,148741872,Crocosmia crocosmiiflora (Nicholson) N.E.Br.,scientificName_replaced_by_backbone_name,,
33644,148741875,"Satchellius mammalis (de Savigny, 1826)",scientificName_replaced_by_backbone_name,,
32464,148741876,Eisenia veneta,scientificName_replaced_by_backbone_name,,
33091,148741877,Muscari comosum (L.) Mill.,merged_with_accepted,201357432,Leopoldia comosa Parl.
32462,148741880,"Eisenia andrei (BouchÃ©, 1972)",scientificName_replaced_by_backbone_name,,
33745,148741881,Smilacina racemosa (L.) Desf.,merged_with_accepted,201357440,Maianthemum racemosum Link
32387,148741883,"Dendrobaena attemsi (Michaelsen, 1902)",scientificName_replaced_by_backbone_name,,
32610,148741886,Galtonia candicans (Baker) Decne.,merged_with_accepted,201357441,Ornithogalum candicans (Baker) J.C.Manning & Goldblatt
32200,148741889,Chionodoxa forbesii Baker,merged_with_accepted,201357436,Scilla forbesii (Baker) Speta
33052,148741891,"Metaphire californica (Kinberg, 1867)",merged_with_accepted,201357551,"Pheretima californica Kinberg, 1866"
32201,148741894,Chionodoxa luciliae Boiss.,merged_with_accepted,201357429,Scilla luciliae (Boiss.) Speta
32202,148741896,Chionodoxa sardensis Whittall ex Barr & Sayden,merged_with_accepted,201357430,Scilla sardensis (Barr & Sugden) Speta
33398,148741897,"Pithemera bicincta (Perrier, 1875)",merged_with_accepted,201357553,"Perichaeta bicincta Perrier, 1875"
33639,148741899,Sansevieria trifasciata hort. ex Prain,scientificName_replaced_by_backbone_name,,
31766,148741903,"Amynthas rodericensis (Grube, 1879)",merged_with_accepted,201357550,"Perichaeta rodericensis Grube, 1879"
33092,148741912,Muscari neglectum Ten.,scientificName_replaced_by_backbone_name,,
31765,148741913,"Amynthas gracilis (Kinberg, 1867)",scientificName_replaced_by_backbone_name,,
32758,148741915,Hosta lancifolia Engl.,scientificName_replaced_by_backbone_name,,
32763,148741916,Hyacinthoides non-scripta (L.) Chouard ex W.Rothmaler,scientificName_replaced_by_backbone_name,,
33118,148741924,"Neanthes succinea (Leuckart, 1847)",merged_with_accepted,201357543,"Alitta succinea (Leuckart, 1847)"
32699,148741935,Hemerocallis fulva L.,scientificName_replaced_by_backbone_name,,
32700,148741938,Hemerocallis fulva x lilioasphodelus,not_matched_with_backbone,,
31877,148741943,Asphodeline lutea Rchb.,scientificName_replaced_by_backbone_name,,
32106,148741948,"Caulleriella killariensis (Southern, 1914)",merged_with_accepted,201357539,"Tharyx killariensis (Southern, 1914)"
33111,148741949,"Narcissus pseudonarcissus subsp. festalis Asch. & Graebn., 1906",merged_with_accepted,201357451,Incertae sedis
33144,148741954,Nothoscordum inodorum (Aiton) G.Nicholson,merged_with_accepted,201357455,Allium neapolitanum Cirillo
33516,148741960,"Rana balcanica Schneider & Sinsch, 1992",merged_with_accepted,201357530,"Pelophylax kurtmuelleri (Gayda, 1940)"
32000,148741964,Brodiaea uniflora (Lindl.) Engl.,merged_with_accepted,201357460,Ipheion uniflorum Raf.
32818,148741975,"Lacerta lepida Daudin, 1802",merged_with_accepted,201357475,"Timon lepidus (Daudin, 1802)"
31702,148741986,Allium porrum,scientificName_replaced_by_backbone_name,,
34047,148742004,"Vulpes fulvus (Desmarest, 1820)",merged_with_accepted,201357408,"Vulpes vulpes (Linnaeus, 1758)"
31701,148742009,Allium paradoxum G.Don,scientificName_replaced_by_backbone_name,,
