taxonKey,nubKey,taxonID,scientificName,kingdom,taxonRank
148741558,5824752,33483,"Pseudochattonella farcimen (Eikrem, B.Edvardsen & J.Throndsen) Eikrem",Chromista,SPECIES
148741559,4283395,32397,"Diadumene lineata (Verrill, 1869)",Animalia,SPECIES
4283395,2255892,32663,"Diadumene lineata (Verrill, 1869)",Animalia,SPECIES
3193658,5421668,33155,"Biddulphia sinensis Greville, 1866",Chromista,SPECIES
148741570,5421557,32279,"Coscinodiscus wailesii Gran & Angst, 1931",Chromista,SPECIES
148741571,2266754,32643,"Gonionemus vertens A.Agassiz, 1862",Animalia,SPECIES
148741576,3197314,33642,Sargassum muticum (Yendo) Fensholt,Chromista,SPECIES
148741579,2266009,32264,"Cordylophora caspia (Pallas, 1771)",Animalia,SPECIES
148741580,3196387,32587,Fucus evanescens C.Agardh,Chromista,SPECIES
6180498,2266038,33231,"Pachycordyle michaeli (Berrill, 1948)",Animalia,SPECIES
148741585,5423480,32410,Dictyota dichotoma (Huds.) J.V.Lamour.,Chromista,SPECIES
148741586,5423480,32411,Dictyota dichotoma (Huds.) J.V.Lamour.,Chromista,SPECIES
148741589,3197970,32251,Colpomenia peregrina Sauv.,Chromista,SPECIES
148741591,2266593,31979,"Bougainvillia rugosa Clarke, 1882",Animalia,SPECIES
148741594,3194420,32722,"Heterosigma akashiwo (Hada) Hada ex Hara & Chihara, 1967",Chromista,SPECIES
5824749,5422037,32167,"Pseudochattonella verruculosa (Y.Hara & Chihara) Hosoi-Tanabe, D.Honda, S.Fukaya, Y.Inagaki & Y.Sako",Chromista,SPECIES
148741604,2501248,33071,"Mnemiopsis leidyi A.Agassiz, 1865",Animalia,SPECIES
148741605,3203610,33352,"Phytophthora ramorum Werres, De Cock & Man",Chromista,SPECIES
148741609,3202936,31820,Aphanomyces astaci Schikora,Chromista,SPECIES
8368630,8166987,33472,Prorocentrum cordatum (Ostenf.) J.D.Dodge,Chromista,SPECIES
148741617,5233152,31948,"Beroe ovata Bruguière, 1789",Animalia,SPECIES
148741620,7454879,32808,Karenia mikimotoi (Miyake & Kominami ex Oda) G.Hansen & Moestrup,Chromista,SPECIES
148741623,7632200,31693,Alexandrium tamarense (Lebour) Balech,Chromista,SPECIES
148741625,3205121,31692,Alexandrium minutum Halim,Chromista,SPECIES
148741629,2502946,31942,"Bdellocephala punctata (Pallas, 1774)",Animalia,SPECIES
148741633,5254231,33182,Ophiostoma novo-ulmi Brasier,Fungi,SPECIES
148741641,4343706,33487,"Pseudodactylogyrus anguillae (Yin & Sproston, 1948) Gusev, 1965",Animalia,SPECIES
148741642,4343705,33488,"Pseudodactylogyrus bini (Kikuchi, 1929)",Animalia,SPECIES
2578759,5255461,33060,Erysiphe alphitoides (Griffon & Maubl.) U.Braun & S.Takam.,Fungi,SPECIES
148741647,2502938,31958,"Bipalium kewense Moseley, 1878",Animalia,SPECIES
148741651,8313437,32768,"Hymenoscyphus fraxineus (T.Kowalski) Baral, Queloz & Hosoya",Fungi,SPECIES
8485639,2287253,32490,"Ensis leei M.Huber, 2015",Animalia,SPECIES
148741666,5286308,32953,Lunularia cruciata (L.) Dumort. ex Lindb.,Plantae,SPECIES
148741668,2288847,33869,"Teredo navalis Linnaeus, 1758",Animalia,SPECIES
148741670,7791733,33097,"Mya arenaria Linnaeus, 1758",Animalia,SPECIES
148741673,2287072,32443,"Dreissena polymorpha (Pallas, 1771)",Animalia,SPECIES
7820753,2286069,32293,"Magallana gigas (Thunberg, 1793)",Animalia,SPECIES
148741680,2286060,33209,"Ostrea edulis Linnaeus, 1758",Animalia,SPECIES
148741682,2286079,32294,"Crassostrea virginica (Gmelin, 1791)",Animalia,SPECIES
148741686,5270682,32166,Chara connivens Salzmann ex A.Braun,Plantae,SPECIES
2287615,8180054,33299,"Petricolaria pholadiformis (Lamarck, 1818)",Animalia,SPECIES
148741693,2286284,32156,"Chama macerophylla Gmelin, 1791",Animalia,SPECIES
148741694,2645255,33473,Protomonostroma undulatum (Wittr.) K.L.Vinogr.,Plantae,SPECIES
7230558,5272099,32242,Codium fragile subsp. fragile,Plantae,SUBSPECIES
148741702,5272105,32241,Codium fragile subsp. scandinavicum P.C.Silva,Plantae,SUBSPECIES
2286197,4594142,31836,"Barbatia domingensis (Lamarck, 1819)",Animalia,SPECIES
148741710,2677047,33201,Orthodontium lineare Schwägr.,Plantae,SPECIES
148741713,2291334,33491,"Pseudosuccinea columella (Say, 1817)",Animalia,SPECIES
148741718,4601972,33153,"Ocinebrellus inornatus (Récluz, 1851)",Animalia,SPECIES
148741719,5281901,32070,Campylopus introflexus (Hedw.) Brid.,Plantae,SPECIES
148741723,5192470,33457,"Potamopyrgus antipodarum (J.E.Gray, 1843)",Animalia,SPECIES
148741728,5192789,32302,"Crepidula fornicata (Linnaeus, 1758)",Animalia,SPECIES
5189744,8850333,32689,"Planorbella tenuis (Dunker, 1850)",Animalia,SPECIES
2653705,5275746,33452,Wildemania miniata (C.Aghard) Foslie,Plantae,SPECIES
148741736,5278964,32644,Gracilaria vermiculophylla (Ohmi) Papenfuss,Plantae,SPECIES
9738520,7776152,33124,Melanothamnus harveyi (Bailey) Diaz-Tapia & Maggs,Plantae,SPECIES
2291021,10807944,31919,"Biomphalaria glabrata (Say, 1818)",Animalia,SPECIES
148741744,2295425,34069,"Zonitoides arboreus (Say, 1817)",Animalia,SPECIES
7682935,2659055,32723,Dasysiphonia japonica (Yendo) H.-S.Kim,Plantae,SPECIES
148741748,2659108,32375,Dasya baillouviana (Gmelin) Mont.,Plantae,SPECIES
8014163,2295440,32903,"Ambigolimax valentianus (A.Férussac, 1821)",Animalia,SPECIES
148741752,2668884,31972,Bonnemaisonia hamifera Hariot,Plantae,SPECIES
148741756,5780449,33074,"Monacha cartusiana (O.F.Müller, 1774)",Animalia,SPECIES
148741760,5189806,33344,"Physella acuta (Draparnaud, 1805)",Animalia,SPECIES
148741761,5274944,33429,Polypodium cambricum L.,Plantae,SPECIES
5189806,7790194,32661,"Physella acuta (Draparnaud, 1805)",Animalia,SPECIES
5190777,5190781,32394,"Deroceras panormitanum (Lessona & Pollonera, 1882)",Animalia,SPECIES
148741768,2651113,33433,Polystichum lonchitis (L.) Roth,Plantae,SPECIES
148741770,4565061,32148,"Cernuella neglecta (Draparnaud, 1805)",Animalia,SPECIES
