taxonKey,nubKey,countryCode,occurrenceStatus,establishmentMeans,degreeOfEstablishment,pathway,eventDate,source
160879901,4412847,EE,present,introduced,,,,
160879904,3203610,EE,present,introduced,,,,
160879912,2321010,EE,present,introduced,,,,
160879926,2308439,EE,present,introduced,,,,
160879928,4410056,EE,present,introduced,,,,
160879930,4307880,EE,present,introduced,,,,
160879932,2308609,EE,present,introduced,,,,
160879934,2308606,EE,present,introduced,,,,
160879936,2308113,EE,present,introduced,invasive,,,
160879948,2266741,EE,present,introduced,,,,
160879949,3374230,EE,present,introduced,,,,
160879954,2266009,EE,present,introduced,,,,
160879957,5239466,EE,present,introduced,,,,
160879963,2534001,EE,present,introduced,,,,
160879964,2283792,EE,present,introduced,,,,
160879967,2535598,EE,present,introduced,,,,
160879968,4556282,EE,present,introduced,,,,
160879974,2283513,EE,present,introduced,,,,
160879977,5239909,EE,present,introduced,,,,
160879978,2283440,EE,present,introduced,,,,
160879979,5239873,EE,present,introduced,,,,
160879980,2283441,EE,present,introduced,,,,
160879981,5239851,EE,present,introduced,,,,
160879982,5239864,EE,present,introduced,,,,
160879986,8339825,EE,present,introduced,,,,
160879987,5188669,EE,present,introduced,,,,
160879988,5777075,EE,present,introduced,,,,
160879990,5188667,EE,present,introduced,,,,
160879992,5188665,EE,present,introduced,,,,
160879995,4556373,EE,present,introduced,,,,
160879998,5281901,EE,present,introduced,,,,
160880001,4559431,EE,present,introduced,,,,
160880007,5270682,EE,present,introduced,,,,
160880010,5188971,EE,present,introduced,,,,
160880013,7791733,EE,present,introduced,invasive,,,
160880016,2287072,EE,present,introduced,,,,
160880021,8049341,EE,present,introduced,,,,
160880026,5192470,EE,present,introduced,,,,
160880027,2650903,EE,present,introduced,,,,
160880030,2650676,EE,present,introduced,,,,
160880032,2650669,EE,present,introduced,,,,
160880038,2295438,EE,present,introduced,,,,
160880039,5299675,EE,present,introduced,,,,
160880041,5299536,EE,present,introduced,,,,
160880042,2294287,EE,present,introduced,,,,
160880043,2753079,EE,present,introduced,invasive,,,
160880044,2753146,EE,present,introduced,,,,
160880045,5858758,EE,present,introduced,,,,
160880046,2753380,EE,present,introduced,,,,
160880047,2294280,EE,present,introduced,,,,
160880048,5299976,EE,present,introduced,,,,
160880053,2865448,EE,present,introduced,invasive,,,
160880059,2764179,EE,present,introduced,,,,
160880064,2700874,EE,present,introduced,,,,
160880066,2702084,EE,present,introduced,,,,
160880069,2724120,EE,present,introduced,,,,
160880086,2443002,EE,present,introduced,,,,
160880107,5219858,EE,present,introduced,,,,
160880111,2439270,EE,present,introduced,,,,
160880113,2439261,EE,present,introduced,,,,
160880114,2705666,EE,present,introduced,,,,
160880115,7429082,EE,present,introduced,,,,
160880118,5290052,EE,present,introduced,,,,
160880120,2703231,EE,present,introduced,,,,
160880122,2703228,EE,present,introduced,,,,
160880124,7795888,EE,present,introduced,,,,
160880125,5220136,EE,present,introduced,,,,
160880127,2440954,EE,present,introduced,,,,
160880128,2705196,EE,present,introduced,,,,
160880130,5289783,EE,present,introduced,,,,
160880132,5290097,EE,present,introduced,,,,
160880134,5290059,EE,present,introduced,,,,
160880135,2705290,EE,present,introduced,,,,
160880136,9691034,EE,present,introduced,,,,
160880137,8174035,EE,present,introduced,,,,
160880139,2705286,EE,present,introduced,,,,
160880141,2703712,EE,present,introduced,,,,
160880142,9752149,EE,present,introduced,,,,
160880143,2703778,EE,present,introduced,,,,
160880145,2703746,EE,present,introduced,,,,
160880147,2703647,EE,present,introduced,,,,
160880148,2480350,EE,present,introduced,,,,
160880149,2703764,EE,present,introduced,,,,
160880151,4122974,EE,present,introduced,,,,
160880153,2703700,EE,present,introduced,,,,
160880154,2495414,EE,present,introduced,invasive,,,
160880155,2703720,EE,present,introduced,,,,
160880157,7647071,EE,present,introduced,,,,
160880159,8113508,EE,present,introduced,,,,
160880160,2480389,EE,present,introduced,,,,
160880161,5290194,EE,present,introduced,,,,
160880162,5229165,EE,present,introduced,,,,
160880163,5290323,EE,present,introduced,,,,
160880165,2705449,EE,present,introduced,,,,
160880167,5289972,EE,present,introduced,,,,
160880169,5290003,EE,present,introduced,,,,
160880170,2702808,EE,present,introduced,invasive,,,
160880172,8332019,EE,present,introduced,,,,
160880174,2706052,EE,present,introduced,,,,
160880176,2706056,EE,present,introduced,,,,
160880177,2498015,EE,present,introduced,,,,
160880178,2706242,EE,present,introduced,,,,
160880179,2706236,EE,present,introduced,,,,
160880180,2498343,EE,present,introduced,,,,
160880181,2706241,EE,present,introduced,invasive,,,
160880182,5232437,EE,present,introduced,,,,
160880183,4129708,EE,present,introduced,,,,
160880184,2498035,EE,present,introduced,,,,
160880185,2705090,EE,present,introduced,,,,
160880186,2498388,EE,present,introduced,,,,
160880187,2705162,EE,present,introduced,,,,
160880189,5289744,EE,present,introduced,,,,
160880191,2706002,EE,present,introduced,,,,
160880193,5289686,EE,present,introduced,,,,
160880194,2379089,EE,present,introduced,,,,
160880195,5289698,EE,present,introduced,,,,
160880197,2705966,EE,present,introduced,,,,
160880198,2390064,EE,present,introduced,,,,
160880199,2705181,EE,present,introduced,,,,
160880201,4130562,EE,present,introduced,,,,
160880204,5202520,EE,present,introduced,,,,
160880207,2781074,EE,present,introduced,,,,
160880208,2781103,EE,present,introduced,,,,
160880211,5204019,EE,present,introduced,,,,
160880212,5296178,EE,present,introduced,,,,
160880213,2351136,EE,present,introduced,,,,
160880214,5298069,EE,present,introduced,,,,
160880216,2747704,EE,present,introduced,,,,
160880219,2362486,EE,present,introduced,,,,
160880221,2362030,EE,present,introduced,,,,
160880223,4286975,EE,present,introduced,,,,
160880225,2366634,EE,present,introduced,,,,
160880226,2767506,EE,present,introduced,,,,
160880228,8080743,EE,present,introduced,invasive,,,
160880230,2772094,EE,present,introduced,,,,
160880231,2402105,EE,present,introduced,,,,
160880232,2773448,EE,present,introduced,,,,
160880233,4287131,EE,present,introduced,,,,
160880234,2768885,EE,present,introduced,,,,
160880235,2402168,EE,present,introduced,,,,
160880237,2402129,EE,present,introduced,,,,
160880238,2858244,EE,present,introduced,,,,
160880239,2402159,EE,present,introduced,,,,
160880240,2858581,EE,present,introduced,,,,
