taxonID,taxonKey,scientificName,action,acceptedKey,accepted
90251,160879915,Prorocentrum minimum (Pavill.) J.Schiller,merged_with_accepted,201311421,Prorocentrum cordatum (Ostenf.) J.D.Dodge
89996,160879918,Laonome armata,not_matched_with_backbone,,
90261,160879928,"Psammoryctides moravicus (HrabÄ•, 1934)",scientificName_replaced_by_backbone_name,,
90100,160879929,"Mycosphaerella dearnessii M.E.Barr, 1972",merged_with_accepted,201311430,"Lecanosticta acicola (Thüm.) Syd., 1924"
90237,160879932,"Potamothrix moldaviensis (VejdovskÃ½ & MrÃ¡zek, 1903)",scientificName_replaced_by_backbone_name,,
90162,160879936,"Paranais frici HrabÄ•, 1941",scientificName_replaced_by_backbone_name,,
89985,160879938,"Isochaetides michaelseni (LastoÄ kin, 1937)",not_matched_with_backbone,,
89837,160879940,"Diaporthe vaccinii Shear, 1931",merged_with_accepted,201311437,"Phomopsis vaccinii Shear, N.E.Stevens & H.F.Bain, 1931"
90097,160879957,Mutinus ravenelii (Berk. & M.A.Curtis) E.Fisch.,scientificName_replaced_by_backbone_name,,
90391,160879964,"Strongyloides stercoralis (Bavay, 1876)",scientificName_replaced_by_backbone_name,,
90081,160879968,"Meloidogyne incognita (Kofoid & White, 1919)",scientificName_replaced_by_backbone_name,,
90093,160879974,"Muellerius capillaris (MÃ¼ller, 1889)",scientificName_replaced_by_backbone_name,,
90396,160879975,"Suillus asiaticus (Singer) Kretzer & T.D.Bruns, 1996",merged_with_accepted,201311464,Boletinus asiaticus Singer
89839,160879978,"Dictyocaulus viviparus (Bloch, 1782)",scientificName_replaced_by_backbone_name,,
89838,160879980,"Dictyocaulus filaria (Rudolphi, 1809)",scientificName_replaced_by_backbone_name,,
90397,160879981,Suillus cavipes (Opat.) A.H.Sm. & Thiers,scientificName_replaced_by_backbone_name,,
89637,160879986,"Aureoboletus projectellus (Murrill) Halling, 2015",scientificName_replaced_by_backbone_name,,
89956,160879987,"Heterodera schachtii Schmidt, 1871",scientificName_replaced_by_backbone_name,,
89929,160879990,"Globodera rostochiensis (Wollenweber, 1923)",scientificName_replaced_by_backbone_name,,
89928,160879992,"Globodera pallida (Stone, 1973)",scientificName_replaced_by_backbone_name,,
89704,160879998,"Campylopus introflexus Bridel, 1819",scientificName_replaced_by_backbone_name,,
89584,160880001,"Aphelenchoides ritzemabosi (Schwartz, 1911)",scientificName_replaced_by_backbone_name,,
90234,160880026,"Potamopyrgus antipodarum (Gray, 1843)",scientificName_replaced_by_backbone_name,,
90026,160880035,"Limacus flavus (Linnaeus, 1758)",merged_with_accepted,201311740,Limax flavus
89782,160880045,"Cornu aspersum (O.F.MÃ¼ller, 1774)",scientificName_replaced_by_backbone_name,,
89595,160880054,"Arion lusitanicus J.Mabille, 1868",merged_with_accepted,201311738,Arion vulgaris
89515,160880061,"Achatina fulica (Férussac, 1821)",merged_with_accepted,201311735,"Lissachatina fulica (Férussac, 1821)"
90047,160880064,Luzula luzuloides (Lam.) Dandy,scientificName_replaced_by_backbone_name,,
