taxonKey,nubKey,taxonID,scientificName,kingdom,taxonRank
160879901,4412847,90466,"Valipora campylancristrota (Wedl, 1855)",Animalia,SPECIES
160879904,3203610,90195,"Phytophthora ramorum Werres, De Cock & Man",Chromista,SPECIES
160879912,2321010,90065,"Marenzelleria neglecta Sikorski & Bick, 2004",Animalia,SPECIES
8368630,8166987,90251,Prorocentrum cordatum (Ostenf.) J.D.Dodge,Chromista,SPECIES
160879926,2308439,90459,"Tubifex newaensis (Michaelsen, 1903)",Animalia,SPECIES
160879928,4410056,90261,"Psammoryctides moravicus (Hrabĕ, 1934)",Animalia,SPECIES
2622090,2622082,90100,Lecanosticta acicola (Thüm.) Syd.,Fungi,SPECIES
160879930,4307880,90236,"Potamothrix heuscheri (Bretscher, 1900)",Animalia,SPECIES
160879932,2308609,90237,"Potamothrix moldaviensis Vejdovský & Mrázek, 1903",Animalia,SPECIES
160879934,2308606,90235,"Potamothrix bavaricus (Oschmann, 1913)",Animalia,SPECIES
160879936,2308113,90162,"Paranais frici Hrabĕ, 1941",Animalia,SPECIES
160879940,2567747,89837,Diaporthe vaccinii Shear,Fungi,SPECIES
160879948,2266741,90053,"Maeotias marginata (Modeer, 1791)",Animalia,SPECIES
160879949,3374230,90078,Melampsoridium hiratsukanum S.Ito ex Hirats.f.,Fungi,SPECIES
160879954,2266009,89775,"Cordylophora caspia (Pallas, 1771)",Animalia,SPECIES
160879957,5239466,90097,Mutinus ravenelii (Berk.) E.Fisch.,Fungi,SPECIES
160879963,2534001,90017,Leratiomyces ceres (Cooke & Massee) Spooner & Bridge,Fungi,SPECIES
160879964,2283792,90391,"Strongyloides stercoralis (Bavay, 1876) Stiles & Hassall, 1902",Animalia,SPECIES
160879967,2535598,90019,Leucocoprinus birnbaumii (Corda) Singer,Fungi,SPECIES
160879968,4556282,90081,"Meloidogyne incognita (Kofoid & White, 1919) Chitwood, 1949",Animalia,SPECIES
160879974,2283513,90093,"Muellerius capillaris (Müller, 1889)",Animalia,SPECIES
3301120,7969936,90396,Boletinus asiaticus Singer,Fungi,SPECIES
160879977,5239909,90399,Suillus tridentinus (Bres.) Singer,Fungi,SPECIES
160879978,2283440,89839,"Dictyocaulus viviparus (Bloch, 1782) Railliet & Henry, 1907",Animalia,SPECIES
160879979,5239873,90400,Suillus viscidus (L.) Roussel,Fungi,SPECIES
160879980,2283441,89838,"Dictyocaulus filaria (Rudolphi, 1809) Railliet & Henry, 1907",Animalia,SPECIES
160879981,5239851,90397,Suillus cavipes (Klotzsch) A.H.Sm. & Thiers,Fungi,SPECIES
160879982,5239864,90398,Suillus grevillei (Klotzsch) Singer,Fungi,SPECIES
160879986,8339825,89637,Aureoboletus projectellus (Murrill) Halling,Fungi,SPECIES
160879987,5188669,89956,"Heterodera schachtii A.Schmidt, 1871",Animalia,SPECIES
160879988,5777075,89955,"Heterodera fici Kirjanova, 1954",Animalia,SPECIES
160879990,5188667,89929,"Globodera rostochiensis (Wollenweber, 1923) Skarbilovich, 1959",Animalia,SPECIES
160879992,11174915,89928,"Globodera pallida (Stone, 1973) Behrens, 1975",Animalia,SPECIES
160879995,4556373,89697,"Cactodera cacti (Filipjev & Schuurmans Stekhoven, 1941) Krall & Krall, 1978",Animalia,SPECIES
160879998,5281901,89704,Campylopus introflexus (Hedw.) Brid.,Plantae,SPECIES
