taxonID,taxonKey,scientificName,action,acceptedKey,acceptedName
119848,160942932,"Prostoma graecense (BÃ¶hmig, 1892)",scientificName_replaced_by_backbone_name,4288870,"Prostoma graecense (Böhmig, 1892)"
119690,160942959,Odontella sinensis (Grev.) Grunow,merged_with_accepted,3193658,"Biddulphia sinensis Greville, 1866"
119206,160942975,Chattonella antiqua (Hada) Demura & Kawachi,merged_with_accepted,7366847,Chattonella marina var. antiqua (Hada) M.Demura & M.Kawachi
119654,160942998,"Monostyla crypta Hauer, 1938",merged_with_accepted,1002401,"Lecane bifurca (Bryce, 1892)"
119444,160943008,Geopora sumneriana (Cooke) M.Torre,scientificName_replaced_by_backbone_name,5258630,Geopora sumneriana (Cooke ex W.Phillips) M.Torre
119679,160943011,"Neosiphonia harveyi (J.W.Bailey) M.-S.Kim, H.-G.Choi, Guiry & G.W.Saunders",not_matched_with_backbone,,
120065,160943019,Venturia inaequalis (Cooke) G.Winter ex ThÃ¼m.,not_matched_with_backbone,,
119785,160943025,Phaeocryptopus gaeumannii (T.Rohde) Petr.,merged_with_accepted,10808078,"Nothophaeocryptopus gaeumannii (T.Rohde) Videira, C.Nakash., U.Braun & Crous"
119620,160943031,Massaria anomia (Schwein.) Petr.,scientificName_replaced_by_backbone_name,5260284,Massaria anomia (Fr.) Petr.
119341,160943036,"Dugesia tigrina (Girard, 1850)",merged_with_accepted,5892120,"Girardia tigrina (Girard, 1850)"
119286,160943037,"Cucurbitaria elongata (Fr.) Grev., 1825",merged_with_accepted,9699540,"Camarosporidiella elongata (Fr.) Wanas., Wijayaw. & K.D.Hyde"
119949,160943057,"Sirococcus tsugae Castl., Farr & Stanosz",scientificName_replaced_by_backbone_name,3445098,"Sirococcus tsugae Castl., D.F.Farr & Stanosz"
119440,160943063,"Garveia franciscana (Torrey, 1902)",merged_with_accepted,2266546,"Calyptospadix cerulea Clarke, 1882"
119864,160943077,"Pseudonectria pachysandricola B.O.Dodge, 1944",merged_with_accepted,8366457,Coccinonectria pachysandricola (B.O.Dodge) L.Lombard & Crous
119509,160943106,"Hymenoscyphus fraxineus (T.Kowalski) Baral, Queloz & Hosoya, 2014",scientificName_replaced_by_backbone_name,8313437,"Hymenoscyphus fraxineus (T.Kowalski) Baral, Queloz & Hosoya"
119139,160943121,"Boccardiella ligerica (FerronniÃ¨re, 1898)",scientificName_replaced_by_backbone_name,2321001,"Boccardiella ligerica (Ferronnière, 1898)"
119241,160943123,Codium fragile (Suringar) Hariot,scientificName_replaced_by_backbone_name,5272096,Codium fragile (Suringar) Har.
119242,160943126,Codium fragile subsp. tomentosoides (Goor) P.C.Silva,merged_with_accepted,7230558,Codium fragile subsp. fragile
119182,160943141,"Caspiobdella fadejewi (Selensky, 1915)",scientificName_replaced_by_backbone_name,2307856,"Caspiobdella fadejewi (Epshtein, 1961)"
119743,160943142,"Orthodontium lineare Schwaegrichen, 1827",scientificName_replaced_by_backbone_name,2677047,Orthodontium lineare Schwägr.
119183,160943144,"Caspiobdella fadejewi (Selensky, 1915)",scientificName_replaced_by_backbone_name,2307856,"Caspiobdella fadejewi (Epshtein, 1961)"
119568,160943151,Leptophascum leptophyllum (MÃ¼ll.Hal.) J.Guerra & M.J.Cano,merged_with_accepted,5280189,Chenia leptophylla (Müll.Hal.) R.H.Zander
119877,160943152,Ramaria flavobrunnescens var. flavobrunnescens,not_matched_with_backbone,,
119325,160943154,"Didymodon umbrosus Zander, 1978",merged_with_accepted,8112550,Trichostomopsis umbrosa (Müll.Hal.) H.Rob.
119876,160943158,"Ramaria flavobrunnescens var. aurea (Coker) Corner, 1950",merged_with_accepted,5238654,Ramaria flava (Schaeff.) Quél.
