taxonKey,taxonID,scientificName,kingdom,taxonRank
160942920,120055,"Urnatella gracilis Leidy, 1851",Animalia,SPECIES
160942922,120056,"Urnatella gracilis Leidy, 1851",Animalia,SPECIES
160942925,120025,"Thecadinium yashimaense Yoshimatsu, Toriumi & J.D.Dodge",Chromista,SPECIES
160942931,119540,Karenia mikimotoi (Miyake & Kominami ex Oda) G.Hansen & Moestrup,Chromista,SPECIES
160942932,119848,"Prostoma graecense (Böhmig, 1892)",Animalia,SPECIES
160942941,119915,Sargassum muticum (Yendo) Fensholt,Chromista,SPECIES
160942942,119770,"Paratenuisentis ambiguus (Van Cleave, 1921)",Animalia,SPECIES
160942945,119426,Fucus evanescens C.Agardh,Chromista,SPECIES
160942952,120036,"Tricellaria inopinata d'Hondt & Occhipinti Ambrogi, 1985",Animalia,SPECIES
160942953,120023,"Thalassiosira punctigera Castracane, 1886",Chromista,SPECIES
160942958,120082,"Victorella pavida Saville-Kent, 1870",Animalia,SPECIES
3193658,119690,"Biddulphia sinensis Greville, 1866",Chromista,SPECIES
160942965,119262,"Coscinodiscus wailesii Gran & Angst, 1931",Chromista,SPECIES
160942966,119818,"Plumatella casmiana Oka, 1907",Animalia,SPECIES
160942971,119777,"Pectinatella magnifica (Leidy, 1851)",Animalia,SPECIES
7366847,119206,Chattonella marina var. antiqua (Hada) M.Demura & M.Kawachi,Chromista,VARIETY
160942977,119417,"Fibrocapsa japonica Toriumi & Takano, 1973",Chromista,SPECIES
160942980,119650,"Mnemiopsis leidyi A.Agassiz, 1865",Animalia,SPECIES
160942986,119804,"Phytophthora ramorum Werres, De Cock & Man",Chromista,SPECIES
160942991,119576,"Limnias ceratophylli Schrank, 1803",Animalia,SPECIES
160942992,119088,Aphanomyces astaci Schikora,Chromista,SPECIES
160942993,119577,"Limnias melicerta Weisse, 1848",Animalia,SPECIES
1002401,119654,"Lecane bifurca (Bryce, 1892)",Animalia,SPECIES
160943002,119558,"Lepadella triptera (Ehrenberg, 1832)",Animalia,SPECIES
160943008,119444,Geopora sumneriana (Cooke ex W.Phillips) M.Torre,Fungi,SPECIES
160943016,119397,"Eunapius carteri (Bowerbank, 1863)",Animalia,SPECIES
10808078,119785,"Nothophaeocryptopus gaeumannii (T.Rohde) Videira, C.Nakash., U.Braun & Crous",Fungi,SPECIES
160943026,119859,"Pseudodactylogyrus anguillae (Yin & Sproston, 1948) Gusev, 1965",Animalia,SPECIES
160943028,119860,"Pseudodactylogyrus bini (Kikuchi, 1929)",Animalia,SPECIES
160943031,119620,Massaria anomia (Fr.) Petr.,Fungi,SPECIES
5892120,119341,"Girardia tigrina (Girard, 1850)",Animalia,SPECIES
9699540,119286,"Camarosporidiella elongata (Fr.) Wanas., Wijayaw. & K.D.Hyde",Fungi,SPECIES
160943040,119313,"Dendrocoelum romanodanubiale (Codreanu, 1949)",Animalia,SPECIES
160943045,119729,Ophiostoma novo-ulmi Brasier,Fungi,SPECIES
160943047,119730,Ophiostoma ulmi (Buisman) Nannf.,Fungi,SPECIES
160943051,119319,"Diadumene cincta Stephenson, 1925",Animalia,SPECIES
160943052,119370,Entoleuca mammata (Wahlenb.) J.D.Rogers & Y.M.Ju,Fungi,SPECIES
160943053,119318,"Diadumene cincta Stephenson, 1925",Animalia,SPECIES
160943057,119949,"Sirococcus tsugae Castl., D.F.Farr & Stanosz",Fungi,SPECIES
160943061,119674,"Nemopsis bachei L.Agassiz, 1849",Animalia,SPECIES
160943062,119323,Diaporthe oncostoma (Duby) Fuckel,Fungi,SPECIES
2266546,119440,"Calyptospadix cerulea Clarke, 1882",Animalia,SPECIES
160943066,119283,Cryphonectria parasitica (Murrill) M.E.Barr,Fungi,SPECIES
160943068,119252,"Cordylophora caspia (Pallas, 1771)",Animalia,SPECIES
160943076,119274,"Craspedacusta sowerbii Lankester, 1880",Animalia,SPECIES
8366457,119864,Coccinonectria pachysandricola (B.O.Dodge) L.Lombard & Crous,Fungi,SPECIES
160943082,119236,Claviceps purpurea (Fr.) Tul.,Fungi,SPECIES
160943086,119893,Riccia fluitans L.,Plantae,SPECIES
160943089,119510,"Hypania invalida (Grube, 1860)",Animalia,SPECIES
160943092,119511,"Hypania invalida (Grube, 1860)",Animalia,SPECIES
160943094,120042,Trochila laurocerasi (Desm.) Fr.,Fungi,SPECIES
160943096,119598,Lunularia cruciata (L.) Dumort. ex Lindb.,Plantae,SPECIES
160943100,119883,Rhabdocline pseudotsugae Syd.,Fungi,SPECIES
160943101,119418,"Ficopomatus enigmaticus (Fauvel, 1923)",Animalia,SPECIES
160943106,119509,"Hymenoscyphus fraxineus (T.Kowalski) Baral, Queloz & Hosoya",Fungi,SPECIES
160943108,119591,Lophocolea semiteres (Lehm.) Mitt.,Plantae,SPECIES
160943109,119110,Ascotremella faginea (Peck) Seaver,Fungi,SPECIES
160943110,119615,"Marenzelleria neglecta Sikorski & Bick, 2004",Animalia,SPECIES
160943112,119617,"Marenzelleria viridis (Verrill, 1873)",Animalia,SPECIES
160943115,119616,"Marenzelleria neglecta Sikorski & Bick, 2004",Animalia,SPECIES
160943118,119618,"Marenzelleria wireni Augener, 1913",Animalia,SPECIES
160943121,119139,"Boccardiella ligerica (Ferronnière, 1898)",Animalia,SPECIES
160943123,119241,Codium fragile (Suringar) Har.,Plantae,SPECIES
160943125,119200,Cerinomyces pallidus G.W.Martin,Fungi,SPECIES
7230558,119242,Codium fragile subsp. fragile,Plantae,SUBSPECIES
160943132,119480,"Helobdella punctatolineata Moore, 1939",Animalia,SPECIES
160943138,119809,"Piscicola haranti Jarry, 1960",Animalia,SPECIES
160943140,119824,Polyporus rhizophilus (Pat.) Sacc.,Fungi,SPECIES
160943141,119182,"Caspiobdella fadejewi (Epshtein, 1961)",Animalia,SPECIES
160943142,119743,Orthodontium lineare Schwägr.,Plantae,SPECIES
160943144,119183,"Caspiobdella fadejewi (Epshtein, 1961)",Animalia,SPECIES
5280189,119568,Chenia leptophylla (Müll.Hal.) R.H.Zander,Plantae,SPECIES
160943153,120098,"Xironogiton victoriensis Gelder & Hall, 1990",Animalia,SPECIES
8112550,119325,Trichostomopsis umbrosa (Müll.Hal.) H.Rob.,Plantae,SPECIES
160943156,119170,"Cambarincola mesochoreus Hoffman, 1963",Animalia,SPECIES
5238654,119876,Ramaria flava (Schaeff.) Quél.,Fungi,SPECIES
160943161,119878,Ramaria rubripermanens Marr & D.E.Stuntz,Fungi,SPECIES
160943163,119172,Campylopus introflexus (Hedw.) Brid.,Plantae,SPECIES
160943165,119145,"Branchiura sowerbyi Beddard, 1892",Animalia,SPECIES
160943171,119791,Phallogaster saccatus Morgan,Fungi,SPECIES
160943173,119128,"Barbronia weberi (Blanchard, 1897)",Animalia,SPECIES
160943178,119833,Porphyra yezoensis,Plantae,SPECIES
160943179,119442,Geastrum smardae V.J.Stanĕk,Fungi,SPECIES
160943181,119441,Geastrum corollinum (Batsch) Hollós,Fungi,SPECIES
4346612,119076,"Anguillicola crassus Kuwahara, Niimi & Itagaki, 1974",Animalia,SPECIES
160943190,119659,Mutinus ravenelii (Berk.) E.Fisch.,Fungi,SPECIES
160943191,119244,Compsopogon coeruleus (Balb. ex C.Agardh) Mont.,Plantae,SPECIES
160943193,119658,Mutinus elegans (Mont.) E.Fisch.,Fungi,SPECIES
160943196,119235,Clathrus archeri (Berk.) Dring,Fungi,SPECIES
160943203,119454,Gracilaria vermiculophylla (Ohmi) Papenfuss,Plantae,SPECIES
160943204,119657,"Musculium transversum (Say, 1829)",Animalia,SPECIES
160943205,120049,Typhula spathulata (Corner) Berthier,Fungi,SPECIES
160943211,120091,Volvariella volvacea (Bull.) Singer,Fungi,SPECIES
160943212,119311,Dasya baillouviana (Gmelin) Mont.,Plantae,SPECIES
8485639,119368,"Ensis leei M.Huber, 2015",Animalia,SPECIES
160943219,119369,"Ensis directus (Conrad, 1844)",Animalia,SPECIES
160943220,119143,Bonnemaisonia hamifera Hariot,Plantae,SPECIES
2533993,119987,Leratiomyces percevalii (Berk. & Broome) Bridge & Spooner,Fungi,SPECIES
160943227,119784,"Petricolaria pholadiformis (Lamarck, 1818)",Animalia,SPECIES
