taxonID,taxonKey,scientificName,action,acceptedKey,acceptedName
50258,149687642,"Sinophysis canaliculata J.-P.Quod, L.Ten-Hage, J.Turquet, G.Mascarell & Couté",filtered_on_establishmentMeans,3205259,"Sinophysis canaliculata J.-P.Quod, L.Ten-Hage, J.Turquet, G.Mascarell & Couté, 1999"
50138,149687646,"Paraleucilla magna Klautau, Monteiro & Borojevic, 2004",filtered_on_establishmentMeans,2237923,"Paraleucilla magna Klautau, Monteiro & Borojevic, 2004"
50201,149687647,Prorocentrum levis M.A.Faust & al.,filtered_on_establishmentMeans,7740521,Prorocentrum levis
50200,149687649,Prorocentrum emarginatum Fukuyo,filtered_on_establishmentMeans,3207907,Prorocentrum emarginatum Fukuyo
49949,149687653,"Glyphidohaptor plectocirra (Paperna, 1972) Kritsky, Galli & Yang, 2007",filtered_on_establishmentMeans,8236575,"Glyphidohaptor plectocirra (Paperna, 1972) Kritsky, Galli & Yang, 2007"
50199,149687654,"Prorocentrum borbonicum L.Ten-Hage, J.Turquet, J.-P.Quod, S.Puiseux-Dao & A.CoutÃ©, 2000",filtered_on_establishmentMeans,8416777,"Prorocentrum borbonicum L.Ten-Hage, J.Turquet, J.-P.Quod, S.Puiseux-Dao & A.Couté, 2000"
50291,149687663,"Synaptula reciprocans (ForsskÃ¥l, 1775)",filtered_on_establishmentMeans,4341995,"Synaptula reciprocans (Forsskål, 1775)"
50207,149687664,"Pseudochattonella verruculosa (Y.Hara & Chihara) Hosoi-Tanabe, D.Honda, S.Fukaya, Y.Inagaki & Y.Sako",filtered_on_establishmentMeans,5824749,"Pseudochattonella verruculosa (Y.Hara & Chihara) Hosoi-Tanabe, D.Honda, S.Fukaya, Y.Inagaki & Y.Sako"
49876,149687671,"Diadema setosum (Leske, 1778)",filtered_on_establishmentMeans,5721108,"Diadema setosum (Leske, 1778)"
50287,149687672,"Stypopodium schimperi (Kützing) M.Verlaque & Boudouresque, 1991",filtered_on_establishmentMeans,3200580,Stypopodium schimperi (Kützing) Verlaque & Boudouresque
50126,149687673,"Padina boryana Thivy, 1966",filtered_on_establishmentMeans,3200174,"Padina boryana Thivy, 1966"
49854,149687680,Cutleria multifida (Turner) Grev.,filtered_on_establishmentMeans,5422862,Cutleria multifida (Turner) Grev.
50250,149687681,"Sertularia marginata (Kirchenpauer, 1864)",filtered_on_establishmentMeans,4282894,"Tridentata marginata (Kirchenpauer, 1864)"
50244,149687684,Scytosiphon dotyi Wynne,filtered_on_establishmentMeans,5422829,"Scytosiphon dotyi M.J.Wynne, 1969"
49832,149687687,Colpomenia peregrina Sauv.,filtered_on_establishmentMeans,3197970,Colpomenia peregrina Sauv.
50094,149687689,"Oculina patagonica de Angelis, 1908",filtered_on_establishmentMeans,5184825,"Oculina patagonica de Angelis D'Ossat, 1908"
50151,149687697,"Pelagia benovici Piraino, Aglieri, Scorrano & Boero, 2014",filtered_on_establishmentMeans,9237565,"Mawia benovici (Piraino, Aglieri, Scorrano & Boero, 2014)"
50279,149687701,"Spiroloculina antillarum d'Orbigny, 1839",filtered_on_establishmentMeans,8294562,"Spiroloculina antillarum d'Orbigny, 1839"
50226,149687702,"Rhopilema nomadica Galil, 1990",filtered_on_establishmentMeans,2264597,"Rhopilema nomadica Galil, Spanier & Ferguson, 1990"
