taxonKey,nubKey,countryCode,occurrenceStatus,establishmentMeans,degreeOfEstablishment,pathway,eventDate,source
148789227,2650103,HU,present,introduced,,,,
148789229,4410669,HU,present,introduced,,,,
148789230,2650107,HU,present,introduced,,,,
11070196,2766009,HU,present,introduced,,,,
148789241,2870583,HU,present,introduced,,,,
148789242,2266009,HU,present,introduced,invasive,,,
148789243,2867614,HU,present,introduced,,,,
148789248,2865526,HU,present,introduced,,,,
4346612,5890148,HU,present,introduced,invasive,,,
148789252,5329212,HU,present,introduced,,,,
148789254,2865448,HU,present,introduced,,,,
148789258,2702084,HU,present,introduced,,,,
2716226,8087010,HU,present,introduced,,,,
148789263,2291444,HU,present,introduced,invasive,,,
148789265,5290126,HU,present,introduced,,,,
2705090,4134741,HU,present,introduced,,,,
148789270,5192470,HU,present,introduced,invasive,,,
148789272,5777912,HU,present,introduced,invasive,,,
148789273,2705185,HU,present,introduced,,,,
148789275,2705144,HU,present,introduced,,,,
148789276,4362965,HU,present,introduced,invasive,,,
148789278,2705162,HU,present,introduced,,,,
148789279,9520065,HU,present,introduced,invasive,,,
148789280,2705953,HU,present,introduced,,,,
148789282,2705282,HU,present,introduced,,,,
148789284,5189806,HU,present,introduced,invasive,,,
148789287,5858758,HU,present,introduced,,,,
148789293,2986111,HU,present,introduced,,,,
2287073,4371624,HU,present,introduced,invasive,,,
148789298,5372401,HU,present,introduced,invasive,,,
148789300,2287072,HU,present,introduced,invasive,,,
148789301,3039203,HU,present,introduced,,,,
148789302,3039203,HU,present,introduced,invasive,,,
148789306,8427624,HU,present,introduced,,,,
148789307,2891677,HU,present,introduced,,,,
148789308,2891642,HU,present,introduced,,,,
148789312,3642949,HU,present,introduced,,,,
148789313,3034825,HU,present,introduced,,,,
148789314,7978544,HU,present,introduced,,,,
148789315,5189032,HU,present,introduced,invasive,,,
148789316,8190231,HU,present,introduced,invasive,,,
148789319,2891770,HU,present,introduced,,,,
148789321,2891782,HU,present,introduced,,,,
148789325,3188924,HU,present,introduced,,,,
148789326,9188840,HU,present,introduced,,,,
148789327,4559541,HU,present,introduced,invasive,,,
148789330,5331404,HU,present,introduced,,,,
4559541,4592908,HU,present,introduced,invasive,,,
148789335,3610757,HU,present,introduced,invasive,,,
148789338,5361877,HU,present,introduced,,,,
5365717,3031919,HU,present,introduced,,,,
