taxonID,taxonKey,scientificName,action,acceptedKey,acceptedName
42733,148789227,Azolla Lamarck,scientificName_replaced_by_backbone_name,2650103,Azolla Lam.
42820,148789237,Monochoria korsakowii Regel & Maack,merged_with_accepted,11070196,Pontederia korsakowii (Regel & Maack) M.Pell. & C.N.Horn
42728,148789250,"Anguillicoloides crassus (Kuwahara, Niimi & Itagaki, 1974) Moravec & Taraschewski, 1988",merged_with_accepted,4346612,"Anguillicola crassus Kuwahara, Niimi & Itagaki, 1974"
42778,148789252,Elodea nuttallii St.John,scientificName_replaced_by_backbone_name,5329212,Elodea nuttallii (Planch.) H.St.John
42763,148789262,Cyperus esculentus var. leptostachyus Boeckeler,merged_with_accepted,2716226,Cyperus esculentus L.
42844,148789269,Panicum miliaceum subsp. ruderale (Kitag.) Tzvelev,merged_with_accepted,2705090,Panicum miliaceum L.
42862,148789270,"Potamopyrgus antipodarum (Gray, 1843)",scientificName_replaced_by_backbone_name,5192470,"Potamopyrgus antipodarum (J.E.Gray, 1843)"
42885,148789273,Sorghum halepense Pers.,scientificName_replaced_by_backbone_name,2705185,Sorghum halepense (L.) Pers.
42818,148789276,"Melanoides tuberculata (O.F.MÃ¼ller, 1774)",scientificName_replaced_by_backbone_name,4362965,"Melanoides tuberculata (O.F.Müller, 1774)"
42758,148789287,"Cornu aspersum (O.F.MÃ¼ller, 1774)",scientificName_replaced_by_backbone_name,5858758,"Cornu aspersum (O.F.Müller, 1774)"
42769,148789295,"Dreissena rostriformis bugensis Andrusov, 1897",merged_with_accepted,2287073,"Dreissena bugensis (Andrusov, 1897)"
42852,148789301,Parthenocissus inserta (A.Kerner) Fritsch,scientificName_replaced_by_backbone_name,3039203,Parthenocissus inserta (A.Kern.) Fritsch
42851,148789302,Parthenocissus inserta (A.Kerner) Fritsch,scientificName_replaced_by_backbone_name,3039203,Parthenocissus inserta (A.Kern.) Fritsch
42801,148789314,Hydrocotyle ranunculoides L.f.,scientificName_replaced_by_backbone_name,7978544,Hydrocotyle ranunculoides L.fil.
42754,148789315,"Corbicula fluminalis (O.F.MÃ¼ller, 1774)",scientificName_replaced_by_backbone_name,5189032,"Corbicula fluminalis (O.F.Müller, 1774)"
42755,148789316,"Corbicula fluminea (O.F.MÃ¼ller, 1774)",scientificName_replaced_by_backbone_name,8190231,"Corbicula fluminea (O.F.Müller, 1774)"
42772,148789330,Echinocystis lobata Torr. & A.Gray,scientificName_replaced_by_backbone_name,5331404,Echinocystis lobata (Michx.) Torr. & A.Gray
42729,148789333,"Anodonta woodiana (I.Lea, 1834)",merged_with_accepted,4559541,"Sinanodonta woodiana (I.Lea, 1834)"
42770,148789343,Duchesnea indica (Andr.) Focke,merged_with_accepted,5365717,Potentilla indica (Andrews) Th.Wolf
42840,148789353,"Oxyura jamaicensis (Gmelin, 1789)",scientificName_replaced_by_backbone_name,2498305,"Oxyura jamaicensis (J.F.Gmelin, 1789)"
42752,148789361,"Columba livia Gmelin, 1789",scientificName_replaced_by_backbone_name,2495414,"Columba livia J.F.Gmelin, 1789"
42800,148789362,Humulus japonicus Sieb. & Zucc.,merged_with_accepted,2984537,Humulus scandens (Lour.) Merr.
42825,148789383,"Neovison vison (Schreber, 1777)",merged_with_accepted,5218823,"Mustela vison Schreber, 1777"
42793,148789407,"Gasterosteus gymnurus Cuvier, 1829",merged_with_accepted,4286327,"Gasterosteus aculeatus Linnaeus, 1758"
42893,148789417,Symphyotrichum salignum (Willd.) G.L.Nesom,scientificName_replaced_by_backbone_name,3151811,Symphyotrichum ×salignum (Willd.) G.L.Nesom
42807,148789425,Iva xanthifolia Nutt.,merged_with_accepted,3141890,Cyclachaena xanthiifolia (Nutt.) Fresen.
42904,148789428,Xanthium saccharatum Wallr.,merged_with_accepted,11794300,Xanthium orientale var. saccharatum (Wallr.) M.Hassl.
42902,148789430,Xanthium albinum subsp. riparium (Celak.) Widd. & Wagenitz,merged_with_accepted,6306076,Xanthium orientale var. riparium (Celak.) Adema & M.T.Jansen
42903,148789433,Xanthium orientale subsp. italicum (Moretti) Greuter,merged_with_accepted,11519882,Xanthium orientale var. italicum (Moretti) M.Hassl.
42906,148789435,Xanthium strumarium Lour.,merged_with_accepted,9052721,"Xanthium strumarium Lour., 1790"
42819,148789438,"Micropterus salmoides (LacepÃ¨de, 1802)",scientificName_replaced_by_backbone_name,2394563,"Micropterus salmoides (Lacepède, 1802)"
42857,148789448,"Ponticola kessleri (GÃ¼nther, 1861)",scientificName_replaced_by_backbone_name,4285968,"Ponticola kessleri (Günther, 1861)"
42780,148789449,Erechtites hieracifolia (L.) Raf.,merged_with_accepted,3132457,Erechtites hieraciifolius (L.) Raf. ex DC.
42781,148789453,Erigeron annuus Pers.,scientificName_replaced_by_backbone_name,3117449,Erigeron annuus (L.) Pers.
42812,148789465,"Lasius neglectus van Loon, Boomsma & AndrÃ¡sfalvy, 1990",scientificName_replaced_by_backbone_name,7358948,"Lasius neglectus Van Loon, Boomsma & Andrasfalvy, 1990"
42872,148789475,Reynoutria bohemica Chrtek & ChrtkovÃ¡,scientificName_replaced_by_backbone_name,4038485,Reynoutria ×bohemica Chrtek & Chrtková
42871,148789477,Reynoutria bohemica Chrtek & ChrtkovÃ¡,scientificName_replaced_by_backbone_name,4038485,Reynoutria ×bohemica Chrtek & Chrtková
42874,148789478,Reynoutria sachalinensis Nakai,scientificName_replaced_by_backbone_name,2889088,Reynoutria sachalinensis (F.Schmidt) Nakai
42875,148789481,Reynoutria sachalinensis Nakai,scientificName_replaced_by_backbone_name,2889088,Reynoutria sachalinensis (F.Schmidt) Nakai
42855,148789486,Phytolacca esculenta Van Houtte,merged_with_accepted,8359411,Phytolacca acinosa var. esculenta (Van Houtte) Maxim.
42771,148789492,Dysphania aristata (L.) Mosyakin & Clemants,merged_with_accepted,3083888,Teloxys aristata (L.) Moq.
42834,148789493,"Orconectes limosus (Rafinesque, 1817)",merged_with_accepted,8909595,"Faxonius limosus (Rafinesque, 1817)"
42719,148789500,Ailanthus altissima Swingle,scientificName_replaced_by_backbone_name,3190653,Ailanthus altissima (Mill.) Swingle
42887,148789531,"Stenogammarus compressus (Sars G.O., 1894)",scientificName_replaced_by_backbone_name,4417065,"Stenogammarus compressus (G.O.Sars, 1894)"
42888,148789532,"Stenogammarus macrurus (Sars, 1894)",scientificName_replaced_by_backbone_name,4417063,"Stenogammarus macrurus (G.O.Sars, 1894)"
42890,148789534,"Stenogammarus similis (Sars, 1894)",scientificName_replaced_by_backbone_name,4417067,"Stenogammarus similis (G.O.Sars, 1894)"
42829,148789541,"Obesogammarus crassus (Sars G.O., 1894)",scientificName_replaced_by_backbone_name,4315742,"Obesogammarus crassus (G.O.Sars, 1894)"
42830,148789543,"Obesogammarus obesus (Sars G.O., 1894)",scientificName_replaced_by_backbone_name,4417156,"Obesogammarus obesus (G.O.Sars, 1894)"
42785,148789544,"Euxinia weidemanni (G.O.Sars, 1896)",merged_with_accepted,10937174,"Pontogammarus weidemanni (G.O.Sars, 1896)"
42784,148789545,"Euxinia sarsi (Sowinsky, 1898)",merged_with_accepted,11101635,"Pontogammarus sarsi (Sowinsky, 1898)"
42880,148789559,"Shablogammarus chablensis (Carausu, 1943)",merged_with_accepted,4417169,"Shablogammarus shablensis (Carausu, 1943)"
42881,148789560,"Shablogammarus subnudus (G.O.Sars, 1896)",merged_with_accepted,12247357,"Obesogammarus subnudus (G.O.Sars, 1896)"
42773,148789566,"Echinogammarus ischnus (Stebbing, 1899)",merged_with_accepted,4315713,"Chaetogammarus ischnus (Stebbing, 1899)"
42774,148789567,"Echinogammarus trichiatus (Martynov, 1932)",merged_with_accepted,4417132,"Chaetogammarus trichiatus Martynov, 1932"
42744,148789569,"Chaetogammarus warpachowskyi Sars, 1897",scientificName_replaced_by_backbone_name,4315708,"Chaetogammarus warpachowskyi (G.O.Sars, 1894)"
