taxonKey,nubKey,taxonID,scientificName,kingdom,taxonRank
148789227,2650103,42733,Azolla Lam.,Plantae,GENUS
148789229,4410669,42817,"Lumbricus rubellus Hoffmeister, 1843",Animalia,SPECIES
148789230,2650107,42732,Azolla filiculoides Lam.,Plantae,SPECIES
11070196,2766009,42820,Pontederia korsakowii (Regel & Maack) M.Pell. & C.N.Horn,Plantae,SPECIES
148789241,2870583,42856,Pistia stratiotes L.,Plantae,SPECIES
148789242,2266009,42756,"Cordylophora caspia (Pallas, 1771)",Animalia,SPECIES
148789243,2867614,42813,Lemna minuta Kunth,Plantae,SPECIES
148789248,2865526,42899,Vallisneria spiralis L.,Plantae,SPECIES
4346612,5890148,42728,"Anguillicola crassus Kuwahara, Niimi & Itagaki, 1974",Animalia,SPECIES
148789252,5329212,42778,Elodea nuttallii (Planch.) H.St.John,Plantae,SPECIES
148789254,2865448,42777,Elodea canadensis Michx.,Plantae,SPECIES
148789258,2702084,42809,Juncus tenuis Willd.,Plantae,SPECIES
2716226,8087010,42763,Cyperus esculentus L.,Plantae,SPECIES
148789263,2291444,42894,"Theodoxus fluviatilis (Linnaeus, 1758)",Animalia,SPECIES
148789265,5290126,42896,Tragus racemosus (L.) All.,Plantae,SPECIES
2705090,4134741,42844,Panicum miliaceum L.,Plantae,SPECIES
148789270,5192470,42862,"Potamopyrgus antipodarum (J.E.Gray, 1843)",Animalia,SPECIES
148789272,5777912,42816,"Lithoglyphus naticoides (C.Pfeiffer, 1828)",Animalia,SPECIES
148789273,2705185,42885,Sorghum halepense (L.) Pers.,Plantae,SPECIES
148789275,2705144,42843,Panicum dichotomiflorum Michx.,Plantae,SPECIES
148789276,4362965,42818,"Melanoides tuberculata (O.F.Müller, 1774)",Animalia,SPECIES
148789278,2705162,42842,Panicum capillare L.,Plantae,SPECIES
148789279,9520065,42787,"Ferrissia californica (Rowell, 1863)",Animalia,SPECIES
148789280,2705953,42776,Eleusine indica (L.) Gaertn.,Plantae,SPECIES
148789282,2705282,42731,Avena L.,Plantae,GENUS
148789284,5189806,42853,"Physella acuta (Draparnaud, 1805)",Animalia,SPECIES
148789287,5858758,42758,"Cornu aspersum (O.F.Müller, 1774)",Animalia,SPECIES
148789293,2986111,42876,Ribes aureum Pursh,Plantae,SPECIES
2287073,4371624,42769,"Dreissena bugensis (Andrusov, 1897)",Animalia,SPECIES
148789298,5372401,42901,Vitis vulpina L.,Plantae,SPECIES
148789300,2287072,42768,"Dreissena polymorpha (Pallas, 1771)",Animalia,SPECIES
148789301,3039203,42852,Parthenocissus inserta (A.Kern.) Fritsch,Plantae,SPECIES
148789302,3039203,42851,Parthenocissus inserta (A.Kern.) Fritsch,Plantae,SPECIES
148789306,8427624,42837,Oxalis corniculata L.,Plantae,SPECIES
148789307,2891677,42838,Oxalis dillenii Jacq.,Plantae,SPECIES
148789308,2891642,42839,Oxalis L.,Plantae,GENUS
148789312,3642949,42799,Heracleum sosnowskyi Manden.,Plantae,SPECIES
148789313,3034825,42798,Heracleum mantegazzianum Sommier & Levier,Plantae,SPECIES
148789314,7978544,42801,Hydrocotyle ranunculoides L.fil.,Plantae,SPECIES
148789315,5189032,42754,"Corbicula fluminalis (O.F.Müller, 1774)",Animalia,SPECIES
148789316,8190231,42755,"Corbicula fluminea (O.F.Müller, 1774)",Animalia,SPECIES
148789319,2891770,42804,Impatiens glandulifera Royle,Plantae,SPECIES
148789321,2891782,42805,Impatiens parviflora DC.,Plantae,SPECIES
148789325,3188924,42831,Oenothera biennis L.,Plantae,SPECIES
148789326,9188840,42779,Epilobium ciliatum Raf.,Plantae,SPECIES
148789327,4559541,42882,"Sinanodonta woodiana (I.Lea, 1834)",Animalia,SPECIES
148789330,5331404,42772,Echinocystis lobata (Michx.) Torr. & A.Gray,Plantae,SPECIES
4559541,4592908,42729,"Sinanodonta woodiana (I.Lea, 1834)",Animalia,SPECIES
148789335,3610757,42761,Cuscuta campestris Yunck.,Plantae,SPECIES
148789338,5361877,42897,Ulmus pumila L.,Plantae,SPECIES
5365717,3031919,42770,Potentilla indica (Andrews) Th.Wolf,Plantae,SPECIES
148789346,2443002,42895,"Trachemys scripta (Thunberg In Schoepff, 1792)",Animalia,SPECIES
148789347,3021850,42865,Prunus serotina Ehrh.,Plantae,SPECIES
148789352,3039269,42775,Elaeagnus angustifolia L.,Plantae,SPECIES
148789353,2498305,42840,"Oxyura jamaicensis (J.F.Gmelin, 1789)",Animalia,SPECIES
148789358,2482499,42759,"Corvus splendens Vieillot, 1817",Animalia,SPECIES
148789361,2495414,42752,"Columba livia J.F.Gmelin, 1789",Animalia,SPECIES
2984537,2984536,42800,Humulus scandens (Lour.) Merr.,Plantae,SPECIES
