taxonKey,nubKey,countryCode,occurrenceStatus,establishmentMeans,degreeOfEstablishment,pathway,eventDate,source
196380575,1505543,IS,present,introduced,,,,
196380580,3222886,IS,present,introduced,,,,
196380586,4517947,IS,present,introduced,,,,
196380590,1541262,IS,present,introduced,,,,
196380591,3194420,IS,present,introduced,,,,
196380592,1536675,IS,present,introduced,,,,
196380596,1502691,IS,present,introduced,,,,
196380598,1503644,IS,present,introduced,,,,
196380604,2070578,IS,present,introduced,,,,
196380606,2076533,IS,present,introduced,,,,
196380607,8059383,IS,present,introduced,,,,
196380610,2016038,IS,present,introduced,,,,
196380616,1956599,IS,present,introduced,,,,
196380617,3196437,IS,present,introduced,,,,
196380618,1972449,IS,present,introduced,,,,
196380621,1796169,IS,present,introduced,,,,
196380623,7438067,IS,present,introduced,,,,
196380627,1856686,IS,present,introduced,,,,
196380631,1731858,IS,present,introduced,,,,
196380635,4530214,IS,present,introduced,,,,
196380636,5239900,IS,present,introduced,,,,
196380638,5239860,IS,present,introduced,,,,
196380640,5239864,IS,present,introduced,,,,
196380641,1035931,IS,present,introduced,,,,
196380643,8146046,IS,present,introduced,,,,
196380644,4473874,IS,present,introduced,,,,
196380645,7777157,IS,present,introduced,,,,
196380652,1036917,IS,present,introduced,,,,
196380654,2525027,IS,present,introduced,,,,
196380660,1195043,IS,present,introduced,,,,
196380661,1194979,IS,present,introduced,,,,
196380667,4459693,IS,present,introduced,,,,
196380671,5285256,IS,present,introduced,,,,
196380672,1248774,IS,present,introduced,,,,
196380673,5284917,IS,present,introduced,,,,
196380675,5284884,IS,present,introduced,,,,
196380676,1340405,IS,present,introduced,,,,
196380677,5285750,IS,present,introduced,,,,
196380678,1340513,IS,present,introduced,,,,
196380679,5285332,IS,present,introduced,,,,
196380680,1340542,IS,present,introduced,,,,
196380681,1340298,IS,present,introduced,invasive,,,
196380682,2686276,IS,present,introduced,,,,
196380684,5284827,IS,present,introduced,,,,
196380685,5035785,IS,present,introduced,,,,
196380686,5285385,IS,present,introduced,,,,
196380687,1326634,IS,present,introduced,,,,
196380688,5285637,IS,present,introduced,,,,
196380690,5284745,IS,present,introduced,,,,
196380691,1311676,IS,present,introduced,,,,
196380692,5285134,IS,present,introduced,,,,
196380693,1311671,IS,present,introduced,,,,
196380694,2685313,IS,present,introduced,,,,
196380695,1311649,IS,present,introduced,,,,
196380697,1311831,IS,present,introduced,,,,
196380701,1377774,IS,present,introduced,,,,
196380702,2702789,IS,present,introduced,,,,
196380704,2703746,IS,present,introduced,,,,
196380705,2703670,IS,present,introduced,,,,
196380706,1249702,IS,present,introduced,,,,
196380707,2706414,IS,present,introduced,,,,
196380709,5290081,IS,present,introduced,,,,
196380711,2703705,IS,present,introduced,,,,
196380712,1419845,IS,present,introduced,,,,
196380713,6431455,IS,present,introduced,,,,
196380719,2706066,IS,present,introduced,,,,
196380720,2208749,IS,present,introduced,,,,
196380721,2706541,IS,present,introduced,,,,
196380723,5289744,IS,present,introduced,,,,
196380725,8332019,IS,present,introduced,,,,
196380726,2222188,IS,present,introduced,,,,
196380727,9014945,IS,present,introduced,,,,
196380729,2706236,IS,present,introduced,,,,
196380730,2222075,IS,present,introduced,,,,
196380735,2706241,IS,present,introduced,,,,
196380737,1017419,IS,present,introduced,,,,
196380738,7226925,IS,present,introduced,,,,
196380740,2703717,IS,present,introduced,,,,
