taxonKey,nubKey,taxonID,scientificName,kingdom,taxonRank
196380575,1505543,184155,"Tipula paludosa Meigen, 1830",Animalia,SPECIES
196380580,3222886,183756,"Aeromonas salmonicida (Lehmann & Neumann, 1896) Griffin et al., 1953",Bacteria,SPECIES
5979639,1570910,183992,"Meiosimyza rorida (Fallén, 1820)",Animalia,SPECIES
1608745,4517947,184151,"Sympycnus pulicarius (Fallén, 1823)",Animalia,SPECIES
196380590,1541262,183895,"Eristalis intricaria (Linnaeus, 1758)",Animalia,SPECIES
196380591,3194420,183939,"Heterosigma akashiwo (Hada) Hada ex Hara & Chihara, 1967",Chromista,SPECIES
196380592,1536675,184004,"Melangyna lasiophthalma (Zetterstedt, 1843)",Animalia,SPECIES
196380596,1502691,183823,"Calliphora vomitoria (Linnaeus, 1758)",Animalia,SPECIES
196380598,1503644,184066,"Pollenia rudis (Fabricius, 1794)",Animalia,SPECIES
196380601,8024245,184023,"Neodenticula seminae (R.Simonsen & T.Kanaya) F.Akiba & Y.Yanagisawa, 1986",Chromista,SPECIES
196380604,2070578,184170,"Uroleucon taraxaci (Kaltenbach, 1843)",Animalia,SPECIES
196380606,2076533,183888,"Elatobium abietinum (Walker, 1849)",Animalia,SPECIES
196380607,8059383,184140,"Stephanopyxis turris (Greville) Ralfs, 1861",Chromista,SPECIES
196380610,2016038,184045,"Philaenus spumarius (Linnaeus, 1758)",Animalia,SPECIES
196380616,1956599,183892,"Erannis defoliaria (Clerck, 1759)",Animalia,SPECIES
196380617,3196437,183912,Fucus serratus L.,Chromista,SPECIES
196380618,1972449,184028,"Operophtera brumata (Linnaeus, 1758)",Animalia,SPECIES
196380621,1796169,183780,"Apamea crenata (Hufnagel, 1766)",Animalia,SPECIES
196380623,7438067,183781,Apamea remissa (Hübner),Animalia,SPECIES
196380627,1856686,184021,"Nemapogon variatella (Clemens, 1859)",Animalia,SPECIES
196380631,1731858,183937,"Heringocrania unimaculella (Zetterstedt, 1840)",Animalia,SPECIES
196380635,4530214,184187,"Zeiraphera griseana (Hübner, 1796-1799)",Animalia,SPECIES
196380636,5239900,184144,Suillus flavidus (Fr.) J.Presl,Fungi,SPECIES
7623986,5239860,184142,Suillus bovinus (L.) Roussel,Fungi,SPECIES
196380640,5239864,184146,Suillus grevillei (Klotzsch) Singer,Fungi,SPECIES
196380641,1035931,183801,"Bembidion tetracolum Say, 1823",Animalia,SPECIES
5239864,5239866,184143,Suillus grevillei (Klotzsch) Singer,Fungi,SPECIES
196380643,8146046,184145,Suillus granulatus (L.) Roussel,Fungi,SPECIES
196380644,4473874,183966,"Leistus terminatus (Panzer, 1793)",Animalia,SPECIES
196380645,7777157,184147,Suillus luteus (L.) Roussel,Fungi,SPECIES
9043861,5239923,184148,Suillus variegatus (Sw.) Richon & Roze,Fungi,SPECIES
4476059,6097930,184158,"Epaphius secalis (Paykull, 1790)",Animalia,SPECIES
196380652,1036917,183775,"Anisodactylus binotatus (Fabricius, 1787)",Animalia,SPECIES
196380654,2525027,183931,Gomphidius glutinosus (Schaeff.) Fr.,Fungi,SPECIES
1232526,1234714,183799,"Exomias pellucidus (Boheman, 1834)",Animalia,SPECIES
196380660,1195043,184030,"Otiorhynchus ovatus (Linnaeus, 1758)",Animalia,SPECIES
196380661,1194979,184031,"Otiorhynchus singularis (Linnaeus, 1767)",Animalia,SPECIES
