taxonID,taxonKey,scientificName,action,acceptedKey,acceptedName
4929,134854668,Erwinia amylovora,scientificName_replaced_by_backbone_name,3222012,"Erwinia amylovora (Burrill, 1882) Winslow et al., 1920"
4810,134854673,Craspedacusta sowerbyi Lancaster,not_matched_with_backbone,,
5087,134854689,"Isochrysis galbana Parke, 1949",scientificName_replaced_by_backbone_name,3202307,Isochrysis galbana Parke
5098,134854708,Karenia mikimotoi (Miyake & Kominami ex Oda) G. Hansen & Ø. Moestrup,scientificName_replaced_by_backbone_name,7454879,Karenia mikimotoi (Miyake & Kominami ex Oda) G.Hansen & Moestrup
5441,134854710,"Potamothrix vejdovskyi (Hrab, 1941)",scientificName_replaced_by_backbone_name,2308605,"Potamothrix vejdovskyi (Hrabĕ, 1941)"
5449,134854719,"Pseudodactylogyrus anguillae (Yin & Sproston, 1948)",scientificName_replaced_by_backbone_name,4343706,"Pseudodactylogyrus anguillae (Yin & Sproston, 1948) Gusev, 1965"
5022,134854723,"Gyrodinium aureolum E.M.Hulburt, 1957",merged_with_accepted,7387168,"Gymnodinium aureolum (Hulburt) Hansen, 2000"
5046,134854756,Heterosigma akashiwo,scientificName_replaced_by_backbone_name,3194420,"Heterosigma akashiwo (Hada) Hada ex Hara & Chihara, 1967"
4860,134854774,"Dendrostrea frons (Linnaeus, 1758)",merged_with_accepted,2286095,"Dendostrea frons (Linnaeus, 1758)"
4811,134854777,"Crassostrea gigas (Thunberg, 1793)",merged_with_accepted,7820753,"Magallana gigas (Thunberg, 1793)"
5511,134854781,"Ruditapes philippinarum (Adams & Reeve, 1850)",scientificName_replaced_by_backbone_name,4372686,"Ruditapes philippinarum (A.Adams & Reeve, 1850)"
4775,134854786,"Corbicula fluminea (O.F. Müller, 1774)",scientificName_replaced_by_backbone_name,8190231,"Corbicula fluminea (O.F.Müller, 1774)"
5287,134854788,"Odontella sinensis (Greville) Grunow, 1884",merged_with_accepted,3193658,"Biddulphia sinensis Greville, 1866"
5709,134854798,"Undaria pinnatifida (Harvey) Suringar, 1873",scientificName_replaced_by_backbone_name,5422556,Undaria pinnatifida (Harv.) Suringar
5407,134854803,"Planorbarius corneus Linnaeus, 1758",filtered_on_establishmentMeans,2290946,"Planorbarius corneus (Linnaeus, 1758)"
5534,134854805,"Sargassum muticum (Yendo) Fensholt, 1955",scientificName_replaced_by_backbone_name,3197314,Sargassum muticum (Yendo) Fensholt
5376,134854809,"Physella gyrina Say, 1821",scientificName_replaced_by_backbone_name,5189789,"Physella gyrina (Say, 1821)"
4766,134854811,"Colpomenia peregrina Sauvageau, 1927",scientificName_replaced_by_backbone_name,3197970,Colpomenia peregrina Sauv.
4970,134854818,"Ferrissia wautieri Mirolli, 1960",merged_with_accepted,9520065,"Ferrissia californica (Rowell, 1863)"
5378,134854824,Phytophthora ramorum,scientificName_replaced_by_backbone_name,3203610,"Phytophthora ramorum Werres, De Cock & Man"
5439,134854829,"Potamopyrgus antipodarum (J.E. Gray, 1843)",scientificName_replaced_by_backbone_name,5192470,"Potamopyrgus antipodarum (J.E.Gray, 1843)"
5222,134854831,"Melanoides tuberculata Müller, 1774",scientificName_replaced_by_backbone_name,4362965,"Melanoides tuberculata (O.F.Müller, 1774)"
4591,134854832,"Aphanomyces astaci Schikora, 1906",scientificName_replaced_by_backbone_name,3202936,Aphanomyces astaci Schikora
4535,134854838,"Alexandrium tamarense (Lebour, 1925) Balech, 1995",scientificName_replaced_by_backbone_name,7632200,Alexandrium tamarense (Lebour) Balech
5636,134854845,"Synchytrium endobioticum (Schilb.) Percival, 1909",scientificName_replaced_by_backbone_name,5265718,Synchytrium endobioticum (Schilb.) Percival
5358,134854857,"Phaeocryptopus gaeumannii (T. Rohde) Petr., 1938",merged_with_accepted,10808078,"Nothophaeocryptopus gaeumannii (T.Rohde) Videira, C.Nakash., U.Braun & Crous"
5648,134854858,"Tandonia sowerbyi (A. Férussac, 1823)",scientificName_replaced_by_backbone_name,4598226,"Tandonia sowerbyi (A.Férussac, 1823)"
5307,134854863,"Ophiostoma novo-ulmi Brasier, 1991",scientificName_replaced_by_backbone_name,5254231,Ophiostoma novo-ulmi Brasier
5308,134854864,"Ophiostoma ulmi (Buisman) Nannf., 1934",scientificName_replaced_by_backbone_name,5254314,Ophiostoma ulmi (Buisman) Nannf.
5128,134854875,"Lehmannia valentiana (A. Férussac, 1822)",merged_with_accepted,8014163,"Ambigolimax valentianus (A.Férussac, 1821)"
4780,134854879,"Cornu aspersum (O. F. Müller, 1774)",scientificName_replaced_by_backbone_name,5858758,"Cornu aspersum (O.F.Müller, 1774)"
5662,134854880,"Theba pisana (Müller, 1774)",scientificName_replaced_by_backbone_name,2294277,"Theba pisana (O.F.Müller, 1774)"
5066,134854882,"Hygromia cinctella Draparnaud, 1801",scientificName_replaced_by_backbone_name,4565039,"Hygromia cinctella (Draparnaud, 1801)"
5502,134854883,Riccia rhenana Lorb.,filtered_on_establishmentMeans,5710068,Riccia rhenana Lorb.
4731,134854890,"Cernuella virgata (da Costa, 1778)",scientificName_replaced_by_backbone_name,9805907,"Cernuella virgata (Da Costa, 1778)"
4761,134854891,"Cochlicella acuta (Müller, 1774)",scientificName_replaced_by_backbone_name,4562917,"Cochlicella acuta (O.F.Müller, 1774)"
4706,134854896,"Candidula intersecta (Poiret, 1801)",merged_with_accepted,9890104,"Xeroplexa intersecta (Poiret, 1801)"
5391,134854897,Pinus nigra J.F. Arnold,scientificName_replaced_by_backbone_name,5284809,Pinus nigra J.F.Arnold
5380,134854899,Picea breweriana S. Watson,scientificName_replaced_by_backbone_name,5284955,Picea breweriana S.Watson
5379,134854900,Picea abies (L.) H. Karst.,scientificName_replaced_by_backbone_name,5284884,Picea abies (L.) H.Karst.
4606,134854906,"Arion occultus Anderson, 2004",scientificName_replaced_by_backbone_name,8735311,"Arion occultus R.Anderson, 2004"
4604,134854907,"Arion fasciatus (Nilsson, 1823) Nilsson, 1823",scientificName_replaced_by_backbone_name,2294102,"Arion fasciatus (Nilsson, 1823)"
5762,134854917,"Zonitoides arboreus (Say, 1816)",scientificName_replaced_by_backbone_name,2295425,"Zonitoides arboreus (Say, 1817)"
5708,134854918,"Ulva californica Wille, 1899",scientificName_replaced_by_backbone_name,5273393,Ulva californica Wille
4762,134854922,"Codium fragile (Suringar) Hariot, 1889",scientificName_replaced_by_backbone_name,5272096,Codium fragile (Suringar) Har.
4763,134854923,"Codium fragile subsp. atlanticum (A.D.Cotton) P.C.Silva, 1955",filtered_on_establishmentMeans,5272106,Codium fragile subsp. atlanticum (Cotton) P.C.Silva
5176,134854933,"Lophocolea bispinosa (Hook. f. & Taylor) Gottsche, Lindenb. & Nees",scientificName_replaced_by_backbone_name,7425480,"Lophocolea bispinosa (Hook.f. & Taylor) Gottsche, Lindenb. & Nees"
5033,134854934,"Helicodiscus parallelus (Say, 1821) Say, 1821",scientificName_replaced_by_backbone_name,2297289,"Helicodiscus parallelus (Say, 1821)"
5408,134854936,"Planorbella duryi (Wetherby, 1879) Wetherby, 1879",scientificName_replaced_by_backbone_name,5189745,"Planorbella duryi (Wetherby, 1879)"
