taxonKey,nubKey,taxonID,scientificName,kingdom,taxonRank
134854667,4283395,4863,"Diadumene lineata (Verrill, 1869)",Animalia,SPECIES
134854668,3222012,4929,"Erwinia amylovora (Burrill, 1882) Winslow et al., 1920",Bacteria,SPECIES
134854678,1005677,5753,"Watersipora subtorquata (d'Orbigny, 1852)",Animalia,SPECIES
134854681,4985072,5687,"Tricellaria inopinata d'Hondt & Occhipinti Ambrogi, 1985",Animalia,SPECIES
134854684,4984851,4681,"Bugula neritina (Linnaeus, 1758)",Animalia,SPECIES
134854685,7665662,4682,"Bugulina fulva (Ryland, 1960)",Animalia,SPECIES
134854686,7668385,4683,"Bugulina simplex (Hincks, 1886)",Animalia,SPECIES
134854689,3202307,5087,Isochrysis galbana Parke,Chromista,SPECIES
134854694,2325189,5655,"Terebella lapidaria Linnaeus, 1767",Animalia,SPECIES
134854698,2327735,4972,"Ficopomatus enigmaticus (Fauvel, 1923)",Animalia,SPECIES
134854702,5197206,4759,"Clymenella torquata (Leidy, 1855)",Animalia,SPECIES
134854708,7454879,5098,Karenia mikimotoi (Miyake & Kominami ex Oda) G.Hansen & Moestrup,Chromista,SPECIES
134854709,2308609,5440,"Potamothrix moldaviensis Vejdovský & Mrázek, 1903",Animalia,SPECIES
134854710,2308605,5441,"Potamothrix vejdovskyi (Hrabĕ, 1941)",Animalia,SPECIES
134854712,2308574,4668,"Branchiura sowerbyi Beddard, 1892",Animalia,SPECIES
134854719,4343706,5449,"Pseudodactylogyrus anguillae (Yin & Sproston, 1948) Gusev, 1965",Animalia,SPECIES
134854720,4343705,5450,"Pseudodactylogyrus bini (Kikuchi, 1929)",Animalia,SPECIES
7387168,4268023,5022,"Gymnodinium aureolum (Hulburt) Hansen, 2000",Chromista,SPECIES
134854725,5892120,5006,"Girardia tigrina (Girard, 1850)",Animalia,SPECIES
134854729,2502938,4655,"Bipalium kewense Moseley, 1878",Animalia,SPECIES
134854736,2502805,5102,"Kontikia ventrolineata (Dendy, 1892)",Animalia,SPECIES
134854738,6477009,5101,"Kontikia andersoni Jones, 1981",Animalia,SPECIES
134854739,7914141,5309,"Ophryoglena hemophaga Molloy, Lynn & Giamberini, 2005",Chromista,SPECIES
134854742,2502865,4632,"Australoplana sanguinea (Moseley, 1877)",Animalia,SPECIES
134854744,2502792,4615,"Arthurdendyus triangulatus (Dendy, 1895)",Animalia,SPECIES
134854746,7393181,4768,Conchophthirus acuminatus,Chromista,SPECIES
134854753,4559504,4600,"Argonemertes dendyi (Dakin, 1915)",Animalia,SPECIES
134854756,3194420,5046,"Heterosigma akashiwo (Hada) Hada ex Hara & Chihara, 1967",Chromista,SPECIES
134854760,4346612,4572,"Anguillicola crassus Kuwahara, Niimi & Itagaki, 1974",Animalia,SPECIES
134854766,2285356,5088,"Isognomon radiatus (Anton, 1838)",Animalia,SPECIES
134854770,9138018,5589,"Skeletonema subsalsum (Cleve-Euler) Bethge, 1928",Chromista,SPECIES
2286095,4373373,4860,"Dendostrea frons (Linnaeus, 1758)",Animalia,SPECIES
134854776,2286063,5316,"Ostrea equestris Say, 1834",Animalia,SPECIES
7820753,2286069,4811,"Magallana gigas (Thunberg, 1793)",Animalia,SPECIES
134854781,4372686,5511,"Ruditapes philippinarum (A.Adams & Reeve, 1850)",Animalia,SPECIES
134854783,2287072,4878,"Dreissena polymorpha (Pallas, 1771)",Animalia,SPECIES
134854786,8190231,4775,"Corbicula fluminea (O.F.Müller, 1774)",Animalia,SPECIES
3193658,5421668,5287,"Biddulphia sinensis Greville, 1866",Chromista,SPECIES
134854791,4357763,5024,"Haliotis discus Reeve, 1846",Animalia,SPECIES
134854794,5421557,4786,"Coscinodiscus wailesii Gran & Angst, 1931",Chromista,SPECIES
134854798,5422556,5709,Undaria pinnatifida (Harv.) Suringar,Chromista,SPECIES
134854799,2293076,5025,"Haliotis tuberculata Linnaeus, 1758",Animalia,SPECIES
134854805,3197314,5534,Sargassum muticum (Yendo) Fensholt,Chromista,SPECIES
134854807,5189806,5375,"Physella acuta (Draparnaud, 1805)",Animalia,SPECIES
134854809,5189789,5376,"Physella gyrina (Say, 1821)",Animalia,SPECIES
134854811,3197970,4766,Colpomenia peregrina Sauv.,Chromista,SPECIES
9520065,8075198,4970,"Ferrissia californica (Rowell, 1863)",Animalia,SPECIES
134854819,8050384,4664,"Bonamia ostreae Pichot, Comps, Tigé, Grizel & Rabouin, 1980",Protozoa,SPECIES
134854824,3203610,5378,"Phytophthora ramorum Werres, De Cock & Man",Chromista,SPECIES
134854829,5192470,5439,"Potamopyrgus antipodarum (J.E.Gray, 1843)",Animalia,SPECIES
134854831,4362965,5222,"Melanoides tuberculata (O.F.Müller, 1774)",Animalia,SPECIES
134854832,3202936,4591,Aphanomyces astaci Schikora,Chromista,SPECIES
134854838,7632200,4535,Alexandrium tamarense (Lebour) Balech,Chromista,SPECIES
134854840,5192789,4815,"Crepidula fornicata (Linnaeus, 1758)",Animalia,SPECIES
134854845,5265718,5636,Synchytrium endobioticum (Schilb.) Percival,Fungi,SPECIES
134854846,2301629,4696,"Calyptraea chinensis (Linnaeus, 1758)",Animalia,SPECIES
134854851,2299100,4730,"Cerithium litteratum (Born, 1778)",Animalia,SPECIES
134854856,4598225,5647,"Tandonia budapestensis (Hazay, 1880)",Animalia,SPECIES
10808078,2612582,5358,"Nothophaeocryptopus gaeumannii (T.Rohde) Videira, C.Nakash., U.Braun & Crous",Fungi,SPECIES
134854858,4598226,5648,"Tandonia sowerbyi (A.Férussac, 1823)",Animalia,SPECIES
134854863,5254231,5307,Ophiostoma novo-ulmi Brasier,Fungi,SPECIES
