taxonID,taxonKey,scientificName,action,acceptedKey,acceptedName
26094,148717622,"Oculina patagonica de Angelis, 1908",scientificName_replaced_by_backbone_name,5184825,"Oculina patagonica de Angelis D'Ossat, 1908"
26408,148717640,"Rhopilema nomadica Galil, 1990",scientificName_replaced_by_backbone_name,2264597,"Rhopilema nomadica Galil, Spanier & Ferguson, 1990"
26266,148717644,"Phyllorhiza punctata Lendenfeld, 1884",scientificName_replaced_by_backbone_name,2264530,"Phyllorhiza punctata von Lendenfeld, 1884"
26486,148717647,Scytosiphon dotyi Wynne,scientificName_replaced_by_backbone_name,5422829,"Scytosiphon dotyi M.J.Wynne, 1969"
26221,148717654,"Pelagia benovici Piraino, Aglieri, Scorrano & Boero, 2014",merged_with_accepted,9237565,"Mawia benovici (Piraino, Aglieri, Scorrano & Boero, 2014)"
25777,148717658,"Halothrix lumbricalis (KÃ¼tzing) Reinke, 1888",scientificName_replaced_by_backbone_name,3198401,"Halothrix lumbricalis (Kützing) Reinke, 1888"
25272,148717660,Botrytella parva,scientificName_replaced_by_backbone_name,3198843,Botrytella parva (Takamatsu) H.S.Kim
26484,148717668,"Scolionema suvaense (Agassiz & Mayer, 1899)",filtered_on_establishmentMeans,5185790,"Scolionema suvaense (Agassiz & Mayer, 1899)"
25758,148717670,"Gonionemus vertens A.Agassiz, 1862",filtered_on_establishmentMeans,2266754,"Gonionemus vertens A.Agassiz, 1862"
25465,148717672,Craspedacusta sowerbyi Lancaster,not_matched_with_backbone,,
26020,148717677,"Moerisia inkermanica Paltschikowa-Ostroumowa, 1925",filtered_on_establishmentMeans,2265573,"Moerisia inkermanica Paltschikowa-Ostroumowa, 1925"
25740,148717679,"Garveia franciscana (Torrey, 1902)",merged_with_accepted,2266546,"Calyptospadix cerulea Clarke, 1882"
25676,148717684,"Eudendrium merulum Watson, 1985",filtered_on_establishmentMeans,2266154,"Eudendrium merulum Watson, 1985"
25452,148717693,"Coryne eximia Allman, 1859",filtered_on_establishmentMeans,5185697,"Coryne eximia Allman, 1859"
25078,148717698,Alexandrium pacificum Litaker,scientificName_replaced_by_backbone_name,7705294,"Alexandrium pacificum R.W.Litaker, 2014"
25422,148717699,"Clytia hummelincki (Leloup, 1935)",merged_with_accepted,11553363,"Clytia brevithecata (Thornely, 1900)"
25424,148717704,"Clytia mccradyi (Brooks, 1888)",filtered_on_establishmentMeans,5186030,"Clytia mccradyi (Brooks, 1888)"
25413,148717706,"Cirrholovenia tetranema Kramp, 1959",filtered_on_establishmentMeans,2267186,"Cirrholovenia tetranema Kramp, 1959"
25144,148717712,"Amphogona pusilla Hartlaub, 1909",filtered_on_establishmentMeans,2269521,"Amphogona pusilla Hartlaub, 1909"
26677,148717720,Ulva ohnoi,scientificName_replaced_by_backbone_name,5273336,Ulva ohnoi M.Hiraoka & S.Shimada
26215,148717722,"Passalurus nonannulatus Skinker, 1931",scientificName_replaced_by_backbone_name,7026789,"Passalurus nonanulatus Skinker, 1931"
26655,148717728,Trichostrongylus affinis,not_matched_with_backbone,,
26678,148717729,"Ulvaria obscura (KÃ¼tzing) Gayral ex Bliding, 1969",scientificName_replaced_by_backbone_name,7716234,Ulvaria obscura (Kützing) Gayral ex Bliding
26578,148717738,Strongyloides callosciureus,not_matched_with_backbone,,
26579,148717739,Strongyloides robustus,not_matched_with_backbone,,
25339,148717742,"Caulerpa racemosa var. cylindracea (Sonder) Verlaque, Huisman & Boudouresque, 2003",merged_with_accepted,2643131,"Caulerpa cylindracea Sonder, 1845"
26155,148717744,Oscheius tipulae,scientificName_replaced_by_backbone_name,10542342,"Oscheius tipulae (Lam & Webster, 1971)"
