taxonKey,nubKey,taxonID,scientificName,kingdom,taxonRank
148717605,2237923,26199,"Paraleucilla magna Klautau, Monteiro & Borojevic, 2004",Animalia,SPECIES
148717606,3195298,25410,"Chrysonephos lewisii (W.R.Taylor) W.R.Taylor, 1952",Chromista,SPECIES
148717614,3193373,26527,"Skeletonema tropicum Cleve, 1900",Chromista,SPECIES
148717615,2501248,26018,"Mnemiopsis leidyi A.Agassiz, 1865",Animalia,SPECIES
148717622,5184825,26094,"Oculina patagonica de Angelis D'Ossat, 1908",Animalia,SPECIES
148717623,4377087,26368,"Pseudo-nitzschia multistriata (Takano) Takano, 1995",Chromista,SPECIES
148717627,4275372,25376,Chaetoceros bacteriastroides Karsten,Chromista,SPECIES
148717631,4283395,25553,"Diadumene lineata (Verrill, 1869)",Animalia,SPECIES
148717632,2257924,25552,"Diadumene cincta Stephenson, 1925",Animalia,SPECIES
148717636,5422556,26681,Undaria pinnatifida (Harv.) Suringar,Chromista,SPECIES
148717640,2264597,26408,"Rhopilema nomadica Galil, Spanier & Ferguson, 1990",Animalia,SPECIES
148717642,3200195,26181,Padina boergesenii Allender & Kraft,Chromista,SPECIES
148717644,2264530,26266,"Phyllorhiza punctata von Lendenfeld, 1884",Animalia,SPECIES
148717647,5422829,26486,"Scytosiphon dotyi M.J.Wynne, 1969",Chromista,SPECIES
148717650,3197970,25433,Colpomenia peregrina Sauv.,Chromista,SPECIES
9237565,7739497,26221,"Mawia benovici (Piraino, Aglieri, Scorrano & Boero, 2014)",Animalia,SPECIES
148717657,7627628,25905,Leathesia marina (Lyngb.) Decne.,Chromista,SPECIES
148717658,3198401,25777,"Halothrix lumbricalis (Kützing) Reinke, 1888",Chromista,SPECIES
148717659,5185431,25225,"Aurelia coerulea von Lendenfeld, 1884",Animalia,SPECIES
148717660,3198843,25272,Botrytella parva (Takamatsu) H.S.Kim,Chromista,SPECIES
148717661,5185429,25226,"Aurelia solida Browne, 1905",Animalia,SPECIES
148717666,3197314,26470,Sargassum muticum (Yendo) Fensholt,Chromista,SPECIES
148717671,3196524,25208,Ascophyllum nodosum (L.) Le Jol.,Chromista,SPECIES
2266546,2266521,25740,"Calyptospadix cerulea Clarke, 1882",Animalia,SPECIES
148717682,2266125,25675,"Eudendrium carneum Clarke, 1882",Animalia,SPECIES
148717685,3202936,25173,Aphanomyces astaci Schikora,Chromista,SPECIES
148717688,2266009,25443,"Cordylophora caspia (Pallas, 1771)",Animalia,SPECIES
148717694,3206034,26160,Ostreopsis ovata Fukuyo,Chromista,SPECIES
148717698,7705294,25078,"Alexandrium pacificum R.W.Litaker, 2014",Chromista,SPECIES
11553363,5186040,25422,"Clytia brevithecata (Thornely, 1900)",Animalia,SPECIES
148717703,5186058,25423,"Clytia linearis (Thorneley, 1900)",Animalia,SPECIES
148717709,2639786,26682,Uronema marinum Womersley,Plantae,SPECIES
148717720,5273336,26677,Ulva ohnoi M.Hiraoka & S.Shimada,Plantae,SPECIES
148717721,5273393,26676,Ulva californica Wille,Plantae,SPECIES
148717722,7026789,26215,"Passalurus nonanulatus Skinker, 1931",Animalia,SPECIES
148717725,5273420,26674,Ulva australis Aresch.,Plantae,SPECIES
148717729,7716234,26678,Ulvaria obscura (Kützing) Gayral ex Bliding,Plantae,SPECIES
148717731,4559202,26656,"Trichostrongylus calcaratus Ransom, 1911",Animalia,SPECIES
148717733,7230558,25426,Codium fragile subsp. fragile,Plantae,SUBSPECIES
148717734,4559186,26092,"Obeliscoides cuniculi (Graybill, 1923)",Animalia,SPECIES
2643131,2643128,25339,"Caulerpa cylindracea Sonder, 1845",Plantae,SPECIES
148717743,2643172,25340,Caulerpa taxifolia (M.Vahl) C.Agardh,Plantae,SPECIES
148717744,10542342,26155,"Oscheius tipulae (Lam & Webster, 1971)",Animalia,SPECIES
148717748,7024740,26002,"Meloidogyne graminicola Golden & Birchfield, 1965",Animalia,SPECIES
148717753,7713874,26384,"Pyropia yezoensis (Ueda) M.S.Hwang & H.G.Choi, 2011",Plantae,SPECIES
2284450,5890151,25153,"Anguillicola novaezelandiae Moravec & Tcharaschewsky, 1988",Animalia,SPECIES
4346612,5890148,25152,"Anguillicola crassus Kuwahara, Niimi & Itagaki, 1974",Animalia,SPECIES
148717762,5278569,26317,"Plocamium secundatum (Kütz.) Kütz., 1866",Plantae,SPECIES
148717769,2658889,25763,Grateloupia turuturu Yamada,Plantae,SPECIES
148717770,5193997,26300,"Piscicola geometra (Linnaeus, 1761)",Animalia,SPECIES
148717774,5278964,25760,Gracilaria vermiculophylla (Ohmi) Papenfuss,Plantae,SPECIES
148717776,2307727,26011,"Microscolex dubius (Fletcher, 1887)",Animalia,SPECIES
148717779,2307726,26012,"Microscolex phosphoreus (Dugès, 1837)",Animalia,SPECIES
148717781,2663587,25951,Lomentaria hakodatensis Yendo,Plantae,SPECIES
148717782,5815560,25606,"Eisenia fetida (Savigny, 1826)",Animalia,SPECIES
148717784,2663181,25271,"Botryocladia madagascariensis G.Feldmann, 1945",Plantae,SPECIES
5278525,2664088,25224,"Colaconema codicola (Børgesen) Stegenga, J.J.Bolton & R.J.Anderson",Plantae,SPECIES
