taxonID,taxonKey,scientificName,action,acceptedKey,acceptedName
166586,163302355,Prorocentrum minimum (Pavillard) J.Schiller,merged_with_accepted,8368630,Prorocentrum cordatum (Ostenf.) J.D.Dodge
166465,163302391,Microsphaera palczewskii Jacz.,merged_with_accepted,2578578,Erysiphe palczewskii (Jacz.) U.Braun & S.Takam.
166466,163302394,Microsphaera vanbruntiana W.R.Gerard,merged_with_accepted,3482288,Erysiphe vanbruntiana (W.R.Gerard) U.Braun & S.Takam.
166578,163302399,"Potamopyrgus antipodarum (Gray, 1843)",scientificName_replaced_by_backbone_name,5192470,"Potamopyrgus antipodarum (J.E.Gray, 1843)"
166473,163302405,Mutinus ravenelii (Berk. & M.A.Curtis) E.Fisch.,scientificName_replaced_by_backbone_name,5239466,Mutinus ravenelii (Berk.) E.Fisch.
166551,163302406,"Physella heterostropha (Say, 1817)",merged_with_accepted,5189806,"Physella acuta (Draparnaud, 1805)"
166453,163302410,"Melanoides tuberculata (O.F.MÃ¼ller, 1774)",scientificName_replaced_by_backbone_name,4362965,"Melanoides tuberculata (O.F.Müller, 1774)"
166343,163302416,"Helisoma duryi (Wetherby, 1879)",merged_with_accepted,5189745,"Planorbella duryi (Wetherby, 1879)"
166152,163302417,"Campylopus introflexus Bridel, 1819",scientificName_replaced_by_backbone_name,5281901,Campylopus introflexus (Hedw.) Brid.
166304,163302420,"Ferrissia clessiniana (Jickeli, 1882)",merged_with_accepted,9776227,"Pettancylus clessinianus (Jickeli, 1882)"
166517,163302432,"Oxychilus cellarius (O.F.MÃ¼ller, 1774)",scientificName_replaced_by_backbone_name,5190768,"Oxychilus cellarius (O.F.Müller, 1774)"
166252,163302443,"Deroceras reticulatum (O.F.MÃ¼ller, 1774)",scientificName_replaced_by_backbone_name,5781277,"Deroceras reticulatum (O.F.Müller, 1774)"
166085,163302453,"Arion lusitanicus J.Mabille, 1868",scientificName_replaced_by_backbone_name,5779455,"Arion lusitanicus Mabille, 1868"
166345,163302461,Hemerocallis fulva L.,scientificName_replaced_by_backbone_name,2781074,Hemerocallis fulva (L.) L.
166034,163302474,Allium montanum Rchb.,merged_with_accepted,7227615,Allium flavum subsp. flavum
166218,163302485,"Corophium curvispinum G.O.Sars, 1895",merged_with_accepted,4314683,"Chelicorophium curvispinum (G.O.Sars, 1895)"
166507,163302490,"Orconectes limosus (Rafinesque, 1817)",merged_with_accepted,8909595,"Faxonius limosus (Rafinesque, 1817)"
166100,163302499,"Astacus leptodactylus Eschscholtz, 1823",merged_with_accepted,8946295,"Pontastacus leptodactylus (Eschscholtz, 1823)"
166560,163302504,Poa crispa Thuill.,merged_with_accepted,8086756,Poa bulbosa L.
166117,163302509,"Balanus improvisus Darwin, 1854",merged_with_accepted,6467647,"Amphibalanus improvisus (Darwin, 1854)"
166526,163302513,Panicum miliaceum subsp. ruderale (Kitag.) Tzvelev,merged_with_accepted,2705090,Panicum miliaceum L.
166354,163302517,Hordeum leporinum Link,merged_with_accepted,4270548,Hordeum murinum subsp. leporinum (Link) Arcang.
166422,163302523,"Lymantria dispar (Linnaeus, 1758)",scientificName_replaced_by_backbone_name,1820406,"Lymantria dispar Linnaeus, 1758"
166697,163302526,Sorghum saccharatum (L.) Moench,merged_with_accepted,2705181,Sorghum bicolor (L.) Moench
166150,163302527,"Cameraria ohridella Deschka & Dimic, 1986",scientificName_replaced_by_backbone_name,1749449,"Cameraria ohridella Deschka & Dimić, 1986"
166594,163302530,Puccinellia gigantea Grossheim.,scientificName_replaced_by_backbone_name,4148420,Puccinellia gigantea (Grossh.) Grossh.
166795,163302532,Zizania latifolia Turcz. ex Stapf,merged_with_accepted,2703231,Zizania latifolia (Griseb.) Stapf
166028,163302539,Agropyron pectinatum (M.Bieb.) P.Beauv.,merged_with_accepted,2705196,Agropyron cristatum (L.) Gaertn.
166065,163302543,Anisantha sterilis (L.) Nevski,merged_with_accepted,2703647,Bromus sterilis L.
166687,163302544,"Sitophilus granarius (Linnaeus & C., 1758)",scientificName_replaced_by_backbone_name,1170174,"Sitophilus granarius (C.Linnaeus, 1758)"
166688,163302546,"Sitophilus oryzae Schoenherr, 1838",not_matched_with_backbone,,"Sitophilus oryzae Schoenherr, 1838"
166689,163302547,"Sitophilus zeamais Motschulsky, 1855",scientificName_replaced_by_backbone_name,4291553,"Sitophilus zeamais Motschulsky & V.de, 1855"
166066,163302548,Anisantha tectorum (L.) Nevski,merged_with_accepted,2703746,Bromus tectorum L.
166725,163302551,Tenebroides mauritanicus (Linnaeus),scientificName_replaced_by_backbone_name,1161887,"Tenebroides mauritanicus (Linnaeus, 1758)"
166064,163302552,Anisantha rubens (L.) Nevski,merged_with_accepted,2703740,Bromus rubens L.
166789,163302554,Vulpia myuros (L.) C.C.Gmel.,merged_with_accepted,2702727,Festuca myuros L.
