taxonKey,taxonID,scientificName,kingdom,taxonRank
163302354,166438,"Marenzelleria viridis (Verrill, 1873)",Animalia,SPECIES
8368630,166586,Prorocentrum cordatum (Ostenf.) J.D.Dodge,Chromista,SPECIES
163302356,166437,"Marenzelleria viridis (Verrill, 1873)",Animalia,SPECIES
163302358,166436,"Marenzelleria neglecta Sikorski & Bick, 2004",Animalia,SPECIES
163302365,166591,Pseudoperonospora cubensis (Berk. & M.A.Curtis) Rostovzev,Chromista,SPECIES
163302367,166555,"Phytophthora ramorum Werres, De Cock & Man",Chromista,SPECIES
163302368,166212,"Cordylophora caspia (Pallas, 1771)",Animalia,SPECIES
163302369,166554,Phytophthora infestans (Mont.) de Bary,Chromista,SPECIES
163302370,166211,"Cordylophora caspia (Pallas, 1771)",Animalia,SPECIES
163302380,166718,Synchytrium endobioticum (Schilb.) Percival,Fungi,SPECIES
163302381,166474,"Mya arenaria Linnaeus, 1758",Animalia,SPECIES
163302386,166265,"Dreissena polymorpha (Pallas, 1771)",Animalia,SPECIES
2578578,166465,Erysiphe palczewskii (Jacz.) U.Braun & S.Takam.,Fungi,SPECIES
163302392,166592,"Pseudosuccinea columella (Say, 1817)",Animalia,SPECIES
3482288,166466,Erysiphe vanbruntiana (W.R.Gerard) U.Braun & S.Takam.,Fungi,SPECIES
163302396,166464,Microsphaera jaczewskii U.Braun,Fungi,SPECIES
163302399,166578,"Potamopyrgus antipodarum (J.E.Gray, 1843)",Animalia,SPECIES
163302404,166550,"Physella acuta (Draparnaud, 1805)",Animalia,SPECIES
163302405,166473,Mutinus ravenelii (Berk.) E.Fisch.,Fungi,SPECIES
5189806,166551,"Physella acuta (Draparnaud, 1805)",Animalia,SPECIES
163302410,166453,"Melanoides tuberculata (O.F.Müller, 1774)",Animalia,SPECIES
5189745,166343,"Planorbella duryi (Wetherby, 1879)",Animalia,SPECIES
163302417,166152,Campylopus introflexus (Hedw.) Brid.,Plantae,SPECIES
9776227,166304,"Pettancylus clessinianus (Jickeli, 1882)",Animalia,SPECIES
163302426,166793,"Xerolenta obvia (Menke, 1828)",Animalia,SPECIES
163302427,166272,Elodea canadensis Michx.,Plantae,SPECIES
163302430,166518,"Oxychilus draparnaudi (H.Beck, 1837)",Animalia,SPECIES
163302432,166517,"Oxychilus cellarius (O.F.Müller, 1774)",Animalia,SPECIES
163302433,166205,Commelina communis L.,Plantae,SPECIES
163302436,166406,"Limacus flavus (Linnaeus, 1758)",Animalia,SPECIES
163302438,166407,"Limax maximus Linnaeus, 1758",Animalia,SPECIES
163302440,166757,Tulipa sylvestris L.,Plantae,SPECIES
163302441,166375,"Krynickillus melanocephalus Kaleniczenko, 1851",Animalia,SPECIES
163302442,166405,Lilium martagon L.,Plantae,SPECIES
163302443,166252,"Deroceras reticulatum (O.F.Müller, 1774)",Animalia,SPECIES
163302444,166312,Fritillaria meleagris L.,Plantae,SPECIES
163302446,166344,"Helix pomatia Linnaeus, 1758",Animalia,SPECIES
163302448,166170,"Cepaea nemoralis (Linnaeus, 1758)",Animalia,SPECIES
163302449,166203,Colchicum autumnale L.,Plantae,SPECIES
163302450,166082,"Arianta arbustorum (Linnaeus, 1758)",Animalia,SPECIES
163302453,166085,"Arion lusitanicus Mabille, 1868",Animalia,SPECIES
163302455,166084,"Arion distinctus Mabille, 1868",Animalia,SPECIES
163302456,166686,Sisyrinchium montanum Greene,Plantae,SPECIES
163302461,166345,Hemerocallis fulva (L.) L.,Plantae,SPECIES
163302465,166508,Ornithogalum umbellatum L.,Plantae,SPECIES
163302466,166063,"Anguillicola crassus Kuwahara, Niimi & Itagaki, 1974",Animalia,SPECIES
163302467,166099,Asparagus officinalis L.,Plantae,SPECIES
7227615,166034,Allium flavum subsp. flavum,Plantae,SUBSPECIES
163302475,166176,"Cercopagis pengoi (Ostroumov, 1891)",Animalia,SPECIES
163302476,166033,Allium angulosum L.,Plantae,SPECIES
163302482,166021,Acorus calamus L.,Plantae,SPECIES
4314683,166218,"Chelicorophium curvispinum (G.O.Sars, 1895)",Animalia,SPECIES
8909595,166507,"Faxonius limosus (Rafinesque, 1817)",Animalia,SPECIES
163302491,166417,Luzula luzuloides (Lam.) Dandy & Wilmott,Plantae,SPECIES
163302493,166372,Juncus tenuis Willd.,Plantae,SPECIES
163302494,166281,"Eriocheir sinensis H.Milne Edwards, 1853",Animalia,SPECIES
8946295,166100,"Pontastacus leptodactylus (Eschscholtz, 1823)",Animalia,SPECIES
163302500,166561,Poa supina Schrad.,Plantae,SPECIES
163302501,166521,"Pacifastacus leniusculus (Dana, 1852)",Animalia,SPECIES
8086756,166560,Poa bulbosa L.,Plantae,SPECIES
163302508,166559,Poa chaixii Vill.,Plantae,SPECIES
6467647,166117,"Amphibalanus improvisus (Darwin, 1854)",Animalia,SPECIES
2705090,166526,Panicum miliaceum L.,Plantae,SPECIES
163302516,166005,"Acartia tonsa Dana, 1849",Animalia,SPECIES
4270548,166354,Hordeum murinum subsp. leporinum (Link) Arcang.,Plantae,SUBSPECIES
163302522,166709,Stipa capillata L.,Plantae,SPECIES
163302523,166422,"Lymantria dispar Linnaeus, 1758",Animalia,SPECIES
2705181,166697,Sorghum bicolor (L.) Moench,Plantae,SPECIES
163302527,166150,"Cameraria ohridella Deschka & Dimić, 1986",Animalia,SPECIES
163302530,166594,Puccinellia gigantea (Grossh.) Grossh.,Plantae,SPECIES
2703231,166795,Zizania latifolia (Griseb.) Stapf,Plantae,SPECIES
163302533,166536,"Periplaneta americana (Linnaeus, 1758)",Animalia,SPECIES
163302534,166794,Zizania aquatica L.,Plantae,SPECIES
163302535,166127,"Blatta orientalis Linnaeus, 1758",Animalia,SPECIES
163302538,166128,"Blattella germanica (Linnaeus, 1767)",Animalia,SPECIES
2705196,166028,Agropyron cristatum (L.) Gaertn.,Plantae,SPECIES
2703647,166065,Bromus sterilis L.,Plantae,SPECIES
163302544,166687,"Sitophilus granarius (C.Linnaeus, 1758)",Animalia,SPECIES
163302547,166689,"Sitophilus zeamais Motschulsky & V.de, 1855",Animalia,SPECIES
2703746,166066,Bromus tectorum L.,Plantae,SPECIES
163302551,166725,"Tenebroides mauritanicus (Linnaeus, 1758)",Animalia,SPECIES
2703740,166064,Bromus rubens L.,Plantae,SPECIES
2702727,166789,Festuca myuros L.,Plantae,SPECIES
163302555,166611,"Rhyzopertha dominica (Fabricius, 1792)",Animalia,SPECIES
9382716,166232,Sporobolus schoenoides (L.) P.M.Peterson,Plantae,SPECIES
163302559,166511,"Oryzaephilus mercator (Fauvel, 1889)",Animalia,SPECIES
163302560,166512,"Oryzaephilus surinamensis (Linnaeus, 1758)",Animalia,SPECIES
163302563,166278,Eragrostis minor Host,Plantae,SPECIES
163302565,166477,"Mycetophagus tschitscherini Reitter, 1897",Animalia,SPECIES
163302568,166121,Beckmannia eruciformis (L.) Host,Plantae,SPECIES
1095800,166593,"Ptinus latro Fabricius, 1775",Animalia,SPECIES
163302571,166488,"Niptus hololeucus (Faldermann, 1835)",Animalia,SPECIES
7647071,166134,Bromus erectus Huds.,Plantae,SPECIES
163302575,166707,"Stegobium paniceum (Linnaeus, 1758)",Animalia,SPECIES
163302576,166382,"Lasioderma serricorne Fabricius, 1792",Animalia,SPECIES
2703682,166136,Bromus briziformis Fisch. & C.A.Mey.,Plantae,SPECIES
163302580,166338,"Harmonia axyridis (Pallas, 1773)",Animalia,SPECIES
4109815,166135,Bromus riparius Rehmann,Plantae,SPECIES
7226794,166138,Bromus japonicus subsp. japonicus,Plantae,SUBSPECIES
7467841,166710,"Stromatium auratum (Böber, 1793)",Animalia,SPECIES
163302587,166696,Sorghum halepense (L.) Pers.,Plantae,SPECIES
163302588,166667,Setaria verticillata (L.) P.Beauv.,Plantae,SPECIES
163302589,166469,"Monochamus saltuarius Gebler, 1830",Animalia,SPECIES
163302590,166666,Setaria italica (L.) P.Beauv.,Plantae,SPECIES
163302591,166482,"Nathrius brevipennis (Mulsant, 1839)",Animalia,SPECIES
4121049,166658,Secale strictum (C.Presl) C.Presl,Plantae,SPECIES
163302593,166491,"Oberea pupillata (Gyllenhal, 1817)",Animalia,SPECIES
163302594,166331,"Gracilia minuta (Fabricius, 1781)",Animalia,SPECIES
163302595,166023,Aegilops cylindrica Host,Plantae,SPECIES
163302597,166024,Aegilops tauschii Coss.,Plantae,SPECIES
163302598,166210,"Coraebus elatus (Fabricius, 1787)",Animalia,SPECIES
163302599,166027,Agropyron fragile (Roth) P.Candargy,Plantae,SPECIES
163302601,166026,Agropyron desertorum (Fisch. ex Link) Schult.,Plantae,SPECIES
163302603,166029,Aira caryophyllea L.,Plantae,SPECIES
163302604,166368,"Ips amitinus Wood & Bright, 1992",Animalia,SPECIES
163302605,166035,Alopecurus myosuroides Huds.,Plantae,SPECIES
163302606,166608,"Rhinocyllus conicus (J.A.Froelich, 1792)",Animalia,SPECIES
163302607,166072,Anthoxanthum aristatum Boiss.,Plantae,SPECIES
163302608,166513,"Otiorhynchus smreczynskii Cmoluch, 1968",Animalia,SPECIES
163302609,166141,Bromus squarrosus L.,Plantae,SPECIES
163302610,166251,"Dermestes undulatus Brahms, 1790",Animalia,SPECIES
163302611,166139,Bromus oxyodon Schrenk,Plantae,SPECIES
163302612,166248,"Dermestes ater DeGeer, 1774",Animalia,SPECIES
163302613,166140,Bromus racemosus L.,Plantae,SPECIES
163302614,166249,"Dermestes bicolor Fabricius, 1781",Animalia,SPECIES
163302615,166137,Bromus commutatus Schrad.,Plantae,SPECIES
163302616,166250,"Dermestes frischi Kugelman, 1792",Animalia,SPECIES
163302617,166242,Cynodon dactylon (L.) Pers.,Plantae,SPECIES
163302619,166279,Eremopyrum triticeum (Gaertn.) Nevski,Plantae,SPECIES
163302620,166238,"Cybister lateralimarginalis (De Geer, 1774)",Animalia,SPECIES
163302621,166277,Eragrostis cilianensis (All.) Vignolo ex Janch.,Plantae,SPECIES
163302623,166258,Digitaria ischaemum (Schreb.) Muhl.,Plantae,SPECIES
163302625,166259,Digitaria sanguinalis (L.) Scop.,Plantae,SPECIES
4989835,166234,"Cryptolestes ferrugineus (Stephens, 1831)",Animalia,SPECIES
163302627,166274,Elymus dahuricus Turcz. ex Griseb.,Plantae,SPECIES
163302628,166235,"Cryptolestes turcicus (Grouvelle, 1876)",Animalia,SPECIES
163302629,166275,Elymus sibiricus L.,Plantae,SPECIES
163302630,166233,"Cryptolestes ferrugineus (Stephens, 1831)",Animalia,SPECIES
163302632,166355,Hordeum secalinum Schreb.,Plantae,SPECIES
163302633,166352,Hordeum distichon L.,Plantae,SPECIES
163302634,166162,"Carpophilus hemipterus (Linnaeus, 1758)",Animalia,SPECIES
8332019,166356,Hordeum distichon L.,Plantae,SPECIES
163302637,166158,"Carcinops pumilio (Erichson, 1834)",Animalia,SPECIES
163302638,166353,Hordeum jubatum L.,Plantae,SPECIES
163302639,166357,Hordeum vulgare L.,Plantae,SPECIES
163302641,166411,Lolium multiflorum Lam.,Plantae,SPECIES
163302642,166535,"Perigona nigriceps (Dejean, 1831)",Animalia,SPECIES
