taxonKey,nubKey,taxonID,scientificName,kingdom,taxonRank
160879630,7540164,90509,"Arion vulgaris Moquin-Tandon, 1855",Animalia,SPECIES
160879635,2469188,90586,"Podarcis muralis (Laurenti, 1768)",Animalia,SPECIES
160879639,2426661,90580,"Pelophylax ridibundus (Pallas, 1771)",Animalia,SPECIES
160879643,5218786,90590,"Procyon lotor (Linnaeus, 1758)",Animalia,SPECIES
160879646,5219858,90574,"Ondatra zibethicus (Linnaeus, 1766)",Animalia,SPECIES
160879650,5204019,90573,"Oncorhynchus mykiss (Walbaum, 1792)",Animalia,SPECIES
160879653,2366634,90522,"Carassius gibelio (Bloch, 1782)",Animalia,SPECIES
160879654,9209900,90521,Carassius auratus var. auratus,Animalia,VARIETY
160879658,9752149,90582,"Phasianus colchicus Linnaeus, 1758",Animalia,SPECIES
160879661,9310871,90528,Columba livia f. domestica,Animalia,FORM
160879664,2498015,90610,"Tadorna ferruginea (Pallas, 1764)",Animalia,SPECIES
160879665,2498343,90532,"Cygnus olor (J.F.Gmelin, 1789)",Animalia,SPECIES
160879666,2498388,90503,"Aix galericulata (Linnaeus, 1758)",Animalia,SPECIES
160879667,2498252,90504,"Alopochen aegyptiaca (Linnaeus, 1766)",Animalia,SPECIES
160879672,2188249,90613,"Varroa destructor Anderson & Trueman, 2000",Animalia,SPECIES
160879676,4485843,90549,"Halyomorpha halys (Stål, 1855)",Animalia,SPECIES
160879679,4989904,90550,"Harmonia axyridis (Pallas, 1773)",Animalia,SPECIES
160879682,1749449,90519,"Cameraria ohridella Deschka & Dimić, 1986",Animalia,SPECIES
160879685,5073820,90535,"Drosophila suzukii (Matsumura, 1931)",Animalia,SPECIES
160879687,7346173,90501,Aedes japonicus japonicus,Animalia,SUBSPECIES
160879688,1651430,90500,"Aedes albopictus (Skuse, 1894)",Animalia,SPECIES
160879694,8313437,90556,"Hymenoscyphus fraxineus (T.Kowalski) Baral, Queloz & Hosoya",Fungi,SPECIES
7898828,7898828,90608,Stropharia rugosoannulata Farlow,Fungi,SPECIES
160879701,2535598,90565,Leucocoprinus birnbaumii (Corda) Singer,Fungi,SPECIES
