taxonID,taxonKey,scientificName,action,acceptedKey,acceptedName
122942,196392261,Prorocentrum minimum (Pavillard) J.Schiller,merged_with_accepted,8368630,Prorocentrum cordatum (Ostenf.) J.D.Dodge
122500,196392298,Abies balsamea Mill.,scientificName_replaced_by_backbone_name,2685383,Abies balsamea (L.) Mill.
122655,196392305,"Corophium curvispinum G.O.Sars, 1895",merged_with_accepted,4314683,"Chelicorophium curvispinum (G.O.Sars, 1895)"
123062,196392306,Tsuga canadensis CarriÃ¨re,scientificName_replaced_by_backbone_name,2687182,Tsuga canadensis (L.) Carrière
122626,196392310,"Chaetogammarus warpachowskyi Sars, 1897",scientificName_replaced_by_backbone_name,4315708,"Chaetogammarus warpachowskyi (G.O.Sars, 1894)"
122865,196392321,"Obesogammarus crassus (Sars G.O., 1894)",scientificName_replaced_by_backbone_name,4315742,"Obesogammarus crassus (G.O.Sars, 1894)"
122876,196392343,"Orconectes limosus (Rafinesque, 1817)",merged_with_accepted,8909595,"Faxonius limosus (Rafinesque, 1817)"
122762,196392346,Hordeum leporinum Link,merged_with_accepted,4270548,Hordeum murinum subsp. leporinum (Link) Arcang.
122760,196392348,Hordeum glaucum Steud.,merged_with_accepted,4115425,Hordeum murinum subsp. glaucum (Steud.) Tzvelev
122584,196392350,Beckmannia syzigachne Fernald,scientificName_replaced_by_backbone_name,5290059,Beckmannia syzigachne (Steud.) Fernald
122703,196392351,Eragrostis pilosa P.Beauv.,scientificName_replaced_by_backbone_name,2705400,Eragrostis pilosa (L.) P.Beauv.
123032,196392353,Sorghum halepense Pers.,scientificName_replaced_by_backbone_name,2705185,Sorghum halepense (L.) Pers.
123011,196392358,Setaria italica P.Beauv.,scientificName_replaced_by_backbone_name,5289698,Setaria italica (L.) P.Beauv.
122582,196392361,"Balanus improvisus Darwin, 1854",merged_with_accepted,6467647,"Amphibalanus improvisus (Darwin, 1854)"
122680,196392362,Digitaria pectiniformis (Henrard) Tzvelev,merged_with_accepted,5289972,Digitaria sanguinalis (L.) Scop.
122542,196392373,Anisantha sterilis (L.) Nevski,merged_with_accepted,2703647,Bromus sterilis L.
122662,196392384,Craspedacusta sowerbyi Lancaster,not_matched_with_backbone,,
122618,196392388,Ceratochloa carinata (Hook. & Arn.) Tutin,merged_with_accepted,2703712,Bromus carinatus Hook. & Arn.
123085,196392389,Zizania latifolia Turcz. ex Stapf,scientificName_replaced_by_backbone_name,2703231,Zizania latifolia (Griseb.) Stapf
122619,196392395,Ceratochloa cathartica (Vahl) Herter,merged_with_accepted,2703723,Bromus catharticus Vahl
122541,196392399,Anisantha diandra (Roth) Tutin ex Tzvelev,merged_with_accepted,2703760,Bromus diandrus Roth
122518,196392408,Agropyron pectinatum (M.Bieb.) P.Beauv.,merged_with_accepted,2705196,Agropyron cristatum (L.) Gaertn.
122666,196392409,"Cygnus bewickii Yarrell, 1830",merged_with_accepted,6178421,"Cygnus columbianus bewickii Yarrell, 1830"
122543,196392415,Anisantha tectorum (L.) Nevski,merged_with_accepted,2703746,Bromus tectorum L.
123081,196392416,Vulpia myuros (L.) C.C.Gmel.,merged_with_accepted,2702727,Festuca myuros L.
122594,196392422,Bromus japonicus Thunb.,merged_with_accepted,7226794,Bromus japonicus subsp. japonicus
122889,196392425,Panicum barbipulvinatum Nash ex Rydb.,merged_with_accepted,2705162,Panicum capillare L.
122923,196392433,Polypogon monspeliensis Desf.,scientificName_replaced_by_backbone_name,5289917,Polypogon monspeliensis (L.) Desf.
122999,196392455,Scilla siberica Haw.,merged_with_accepted,8080743,Scilla siberica Andrews
122779,196392464,Iris germanica L.,scientificName_replaced_by_backbone_name,5298069,Iris ×germanica L.
122856,196392472,"Neovison vison (Schreber, 1777)",merged_with_accepted,5218823,"Mustela vison Schreber, 1777"
122752,196392476,Hemerocallis fulva L.,scientificName_replaced_by_backbone_name,2781074,Hemerocallis fulva (L.) L.
122866,196392487,Oenothera ammophila Focke,scientificName_replaced_by_backbone_name,7322516,Oenothera ×ammophila Focke
122869,196392492,Oenothera rubricaulis Klebahn,scientificName_replaced_by_backbone_name,7322529,Oenothera ×rubricaulis Kleb.
122700,196392495,Epilobium adenocaulon Hausskn.,merged_with_accepted,7095758,Epilobium ciliatum subsp. ciliatum
122642,196392506,Citrullus lanatus (Thunb.) Matsumura & Nakai,scientificName_replaced_by_backbone_name,2874621,Citrullus lanatus (Thunb.) Matsum. & Nakai
122693,196392508,Echinocystis lobata Torr. & A.Gray,scientificName_replaced_by_backbone_name,5331404,Echinocystis lobata (Michx.) Torr. & A.Gray
123067,196392514,Vaccinium macrocarpum Aiton,scientificName_replaced_by_backbone_name,2882841,Vaccinium macrocarpon Aiton
122896,196392520,"Percottus glehni Dybowski, 1877",merged_with_accepted,2390064,"Perccottus glenii Dybowski, 1877"
122610,196392534,Catostomus catostomus catostomus,merged_with_accepted,4286868,"Catostomus catostomus (Forster, 1773)"
123006,196392537,Sedum spurium Bieb.,merged_with_accepted,11162940,Phedimus spurius subsp. spurius
123003,196392542,Sedum hybridum L.,merged_with_accepted,4201695,Phedimus hybridus (L.) 't Hart
122765,196392543,Hylotelephium sieboldii (Sweetex Hook.) H.Ohba,scientificName_replaced_by_backbone_name,7172849,Hylotelephium sieboldii (Regel) H.Ohba
122553,196392546,"Aristichthys nobilis (Richardson, 1845)",merged_with_accepted,2362486,"Hypophthalmichthys nobilis (Richardson, 1845)"
123007,196392547,Sedum stoloniferum S.G.Gmel.,merged_with_accepted,7768495,Phedimus stolonifer (S.G.Gmel.) 't Hart
123004,196392551,Sedum pallidum Ten.,merged_with_accepted,5361982,Sedum hispanicum L.
123005,196392559,Sedum rupestre L.,merged_with_accepted,7334609,Petrosedum rupestre subsp. rupestre
122997,196392563,Saxifraga urbium D.A.Webb,scientificName_replaced_by_backbone_name,3754353,Saxifraga ×urbium D.A.Webb
122585,196392565,Bergenia crassifolia Fritsch,scientificName_replaced_by_backbone_name,5567694,Bergenia crassifolia (L.) Fritsch
123043,196392578,Symphytum uplandicum Nyman,scientificName_replaced_by_backbone_name,2926068,Symphytum ×uplandicum Nyman
122596,196392580,Brunnera macrophylla I.M.Johnst.,scientificName_replaced_by_backbone_name,2926045,Brunnera macrophylla (Adams) I.M.Johnst.
122538,196392583,Amsinckia micrantha Suksdorf,merged_with_accepted,2925870,Amsinckia menziesii (Lehm.) A.Nelson & J.F.Macbr.
122863,196392587,Nonea pulla DC.,scientificName_replaced_by_backbone_name,7294644,Nonea pulla (L.) DC.
122932,196392593,"Potamopyrgus antipodarum (Gray, 1843)",scientificName_replaced_by_backbone_name,5192470,"Potamopyrgus antipodarum (J.E.Gray, 1843)"
122933,196392595,"Potamopyrgus jenkinsi (E.A.Smith, 1889)",merged_with_accepted,5192470,"Potamopyrgus antipodarum (J.E.Gray, 1843)"
122552,196392596,Argusia sibirica (L.) Dandy,merged_with_accepted,2925916,Tournefortia sibirica L.
122911,196392613,Physalis alkekengi L.,merged_with_accepted,3797084,Alkekengi officinarum Moench
123025,196392617,Solanum cornutum Lam.,merged_with_accepted,2929800,Solanum angustifolium Houst. ex Mill.
122826,196392620,Lycopersicum esculentum Mill.,scientificName_replaced_by_backbone_name,3801770,Lycopersicum esculentum Mill
122672,196392622,Datura tatula L.,merged_with_accepted,2928753,Datura stramonium var. tatula (L.) Torr.
122777,196392626,Ipomoea hederacea var. hederacea,merged_with_accepted,2928534,Ipomoea nil (L.) Roth
122734,196392638,Glebionis segetum Fourr.,scientificName_replaced_by_backbone_name,3141101,Glebionis segetum (L.) Fourr.
122641,196392639,Chrysanthemum segetum L.,merged_with_accepted,3141101,Glebionis segetum (L.) Fourr.
123048,196392640,Tanacetum parthenium Sch.Bip.,scientificName_replaced_by_backbone_name,3118430,Tanacetum parthenium (L.) Sch.Bip.
123047,196392642,Tanacetum corymbosum Sch.Bip.,scientificName_replaced_by_backbone_name,3118216,Tanacetum corymbosum (L.) Sch.Bip.
122749,196392644,Heliopsis scabra Dun.,merged_with_accepted,5702122,Heliopsis helianthoides var. scabra (Dunal) Fernald
122572,196392649,Aster novae-angliae L.,merged_with_accepted,3151618,Symphyotrichum novae-angliae (L.) G.L.Nesom
123039,196392651,Stenactis annua (L.) Nees,merged_with_accepted,3117449,Erigeron annuus (L.) Pers.
122902,196392652,Phalacroloma annuum (L.) Dumort.,merged_with_accepted,3117449,Erigeron annuus (L.) Pers.
122751,196392657,Helminthotheca echioides (L.) Holub,scientificName_replaced_by_backbone_name,3141855,Helminthotheca echioides (L) Holub
122612,196392659,Centaurea iberica Trevir. ex Spreng.,scientificName_replaced_by_backbone_name,3129000,Centaurea iberica Trevis. ex Spreng.
122573,196392661,Aster novi-belgii L.,merged_with_accepted,3151558,Symphyotrichum novi-belgii (L.) G.L.Nesom
123086,196392664,Zoegea baldschuanica C.Winkl.,merged_with_accepted,7336866,Zoegea crinita Boiss.
122724,196392665,Galatella punctata Nees,merged_with_accepted,7066336,Galatella sedifolia subsp. sedifolia
122566,196392669,Artemisia purshiana Besser,merged_with_accepted,7337422,Artemisia borealis subsp. borealis
122723,196392675,Galatella dracunculoides (Lam.) Nees,merged_with_accepted,4230852,Galatella sedifolia subsp. dracunculoides (Lam.) Greuter
122744,196392676,Helianthus lenticularis Hort.,scientificName_replaced_by_backbone_name,9320150,"Helianthus lenticularis Hort., 1894"
122560,196392679,Artemisia codonocephala Diels,merged_with_accepted,8271521,Artemisia umbrosa Turcz. ex DC.
123040,196392682,Stenactis septentrionalis (Fern. & Wieg.) Holub,merged_with_accepted,3117449,Erigeron annuus (L.) Pers.
122903,196392683,Phalacroloma septentrionale (Fern. & Wieg.) Tzvel.,merged_with_accepted,3117449,Erigeron annuus (L.) Pers.
122746,196392685,Helianthus rigidus (Cass.) Desf.,merged_with_accepted,7223475,Helianthus pauciflorus subsp. pauciflorus
122514,196392687,Acroptilon repens (L.) DC.,merged_with_accepted,10676000,Leuzea repens (L.) D.J.N.Hind
122788,196392691,Lactuca tatarica C.A.Mey.,scientificName_replaced_by_backbone_name,9123250,Lactuca tatarica (L.) C.A.Mey.
123049,196392695,Telekia speciosa Baumg.,scientificName_replaced_by_backbone_name,5389173,Telekia speciosa (Schreb.) Baumg.
123055,196392696,Tragopogon dubius subsp. major (Jacq.) Vollmann,merged_with_accepted,7262098,Tragopogon dubius subsp. dubius
122780,196392705,Iva xanthifolia Nutt.,merged_with_accepted,3141890,Cyclachaena xanthiifolia (Nutt.) Fresen.
122562,196392707,Artemisia dubia L. ex B.D.Jacks.,scientificName_replaced_by_backbone_name,3121526,"Artemisia dubia L. ex B.D.Jacks., 1912"
122647,196392709,Conyza canadensis (L.) Cronq.,merged_with_accepted,3146791,Erigeron canadensis L.
122837,196392711,Matricaria matricarioides (Less.) Porter,merged_with_accepted,3103791,Matricaria discoidea DC.
123029,196392717,Solidago serotinoides A. & D.LÃ¶ve,not_matched_with_backbone,,
122575,196392718,Aster versicolor hort. ex Steud.,scientificName_replaced_by_backbone_name,7615857,"Aster versicolor hort. ex Steud., 1840"
123045,196392723,Tagetes patula L.,merged_with_accepted,3088488,Tagetes erecta L.
123082,196392725,Xanthium albinum (Widder) Scholz & Sukopp,merged_with_accepted,4225554,Xanthium orientale var. albinum (Widder) Adema & M.T.Jansen
122733,196392727,Glebionis coronaria (L.) Cass. ex Spach,merged_with_accepted,7627205,Glebionis coronaria (L.) Tzvelev
122640,196392728,Chrysanthemum coronarium L.,merged_with_accepted,7627205,Glebionis coronaria (L.) Tzvelev
122568,196392729,Artemisia selengensis Turcz. ex Bess.,scientificName_replaced_by_backbone_name,3120791,Artemisia selengensis Turcz. ex Besser
122851,196392740,Myrrhis odorata Scop.,scientificName_replaced_by_backbone_name,3034681,Myrrhis odorata (L.) Scop.
123009,196392745,Seseli tortuosum Sibth. & Sm.,merged_with_accepted,8166287,Johrenia distans (Griseb.) Halácsy
122536,196392751,Ammi visnaga (L.) Lam.,merged_with_accepted,5371753,Visnaga daucoides Gaertn.
122547,196392754,Anthriscus cerefolium Hoffm.,scientificName_replaced_by_backbone_name,5371746,Anthriscus cerefolium (L.) Hoffm.
122960,196392758,Reynoutria sachalinensis Nakai,scientificName_replaced_by_backbone_name,2889088,Reynoutria sachalinensis (F.Schmidt) Nakai
