taxonKey,nubKey,taxonID,scientificName,kingdom,taxonRank
196392260,2234642,122620,"Cercopagis pengoi (Ostroumov, 1891)",Animalia,SPECIES
8368630,8166987,122942,Prorocentrum cordatum (Ostenf.) J.D.Dodge,Chromista,SPECIES
196392263,8368630,122941,Prorocentrum cordatum (Ostenf.) J.D.Dodge,Chromista,SPECIES
196392268,2114446,122503,"Acartia tonsa Dana, 1849",Animalia,SPECIES
196392273,4275413,122624,Chaetoceros lorenzianus Grunow,Chromista,SPECIES
196392275,1095976,123061,"Trogoderma versicolor (Creutzer, 1799)",Animalia,SPECIES
196392278,1047536,122802,"Leptinotarsa decemlineata (Say, 1824)",Animalia,SPECIES
196392280,1047525,122502,"Acanthoscelides obtectus (Say, 1831)",Animalia,SPECIES
196392284,1188893,122738,"Gronops inaequalis Boheman, 1842",Animalia,SPECIES
196392287,1044111,122609,"Carpophilus hemipterus (Linnaeus, 1758)",Animalia,SPECIES
196392288,5270682,122628,Chara connivens Salzmann ex A.Braun,Plantae,SPECIES
196392291,4455268,122522,"Alphitophagus bifasciatus (Say, 1824)",Animalia,SPECIES
196392293,5878296,123056,"Tribolium destructor Uyttenboogaart, 1934",Animalia,SPECIES
196392295,1045875,122521,"Alphitobius diaperinus (Panzer, 1797)",Animalia,SPECIES
196392298,2685383,122500,Abies balsamea (L.) Mill.,Plantae,SPECIES
196392300,5284745,122915,Picea glauca (Moench) Voss,Plantae,SPECIES
196392302,2686212,122789,Larix decidua Mill.,Plantae,SPECIES
196392303,4314683,122629,"Chelicorophium curvispinum (G.O.Sars, 1895)",Animalia,SPECIES
196392304,5285533,122917,Pinus banksiana Lamb.,Plantae,SPECIES
4314683,4314673,122655,"Chelicorophium curvispinum (G.O.Sars, 1895)",Animalia,SPECIES
196392306,2687182,123062,Tsuga canadensis (L.) Carrière,Plantae,SPECIES
196392307,2685796,122944,Pseudotsuga menziesii (Mirb.) Franco,Plantae,SPECIES
196392309,5284809,122919,Pinus nigra J.F.Arnold,Plantae,SPECIES
196392310,4315708,122626,"Chaetogammarus warpachowskyi (G.O.Sars, 1894)",Animalia,SPECIES
196392311,5285385,122918,Pinus mugo Turra,Plantae,SPECIES
196392312,2219863,122727,"Gammarus tigrinus Sexton, 1939",Animalia,SPECIES
