taxonKey,nubKey,countryCode,occurrenceStatus,establishmentMeans,degreeOfEstablishment,pathway,eventDate,source
163299511,1003567,LU,present,introduced,,,,
163299517,8313437,LU,present,introduced,,,,
163299519,5192470,LU,present,introduced,,,,
163299527,5284809,LU,present,introduced,,,,
163299531,2287072,LU,present,introduced,,,,
163299535,4097481,LU,present,introduced,invasive?,,,
163299536,8190231,LU,present,introduced,,,,
163299537,2867614,LU,present,introduced,,,,
163299542,2865448,LU,present,introduced,invasive,,,
163299544,5329212,LU,present,introduced,invasive,,,
163299545,7062200,LU,present,introduced,,,,
163299546,6157026,LU,present,introduced,,,,
163299553,5218786,LU,present,introduced,,,,
163299555,2650107,LU,present,introduced,,,,
163299558,2441110,LU,present,introduced,,,,
163299562,5220136,LU,present,introduced,,,,
163299563,2440954,LU,present,introduced,,,,
163299564,8190077,LU,present,introduced,invasive,,,
163299569,5219858,LU,present,introduced,,,,
163299570,2880539,LU,present,introduced,,,,
163299573,2439838,LU,present,introduced,,,,
163299579,3039203,LU,present,introduced,,,,
163299580,2351271,LU,present,introduced,,,,
163299581,3039194,LU,present,introduced,,,,
163299582,5204019,LU,present,introduced,,,,
163299587,2382155,LU,present,introduced,,,,
163299588,5352251,LU,present,introduced,invasive,,,
163299590,2964355,LU,present,introduced,,,,
4285968,2379062,LU,present,introduced,,,,
163299595,2379089,LU,present,introduced,,,,
163299596,5361785,LU,present,introduced,invasive?,,,
163299599,2394486,LU,present,introduced,,,,
163299602,2891770,LU,present,introduced,invasive,,,
163299604,2891782,LU,present,introduced,invasive,,,
163299605,2362868,LU,present,introduced,,,,
163299606,2366634,LU,present,introduced,,,,
163299607,2891783,LU,present,introduced,,,,
163299612,3034825,LU,present,introduced,invasive,,,
163299613,2340989,LU,present,introduced,,,,
163299619,9188840,LU,present,introduced,invasive?,,,
163299620,5232437,LU,present,introduced,,,,
163299622,2498252,LU,present,introduced,,,,
163299625,3082244,LU,present,introduced,,,,
8909595,2227000,LU,present,introduced,,,,
2889088,5334293,LU,present,introduced,invasive?,,,
163299636,2226990,LU,present,introduced,,,,
4038485,5652296,LU,present,introduced,invasive?,,,
163299640,2889173,LU,present,introduced,,,,
163299641,2219863,LU,present,introduced,,,,
2889173,5334357,LU,present,introduced,invasive,,,
163299644,4038485,LU,present,introduced,,,,
163299645,4314683,LU,present,introduced,,,,
163299646,2889088,LU,present,introduced,,,,
7095665,3084748,LU,present,introduced,,,,
163299652,2188249,LU,present,introduced,,,,
163299657,5415039,LU,present,introduced,,,,
163299658,4553469,LU,present,introduced,,,,
163299663,4553496,LU,present,introduced,,,,
163299664,3173338,LU,present,introduced,,,,
163299665,4553430,LU,present,introduced,,,,
163299670,2183411,LU,present,introduced,,,,
163299671,3050364,LU,present,introduced,,,,
163299676,2164096,LU,present,introduced,,,,
163299677,7695021,LU,present,introduced,,,,
3033865,3033868,LU,present,introduced,,,,
163299680,7555806,LU,present,introduced,,,,
163299681,3033865,LU,present,introduced,invasive?,,,
163299684,5170994,LU,present,introduced,,,,
163299687,3027159,LU,present,introduced,,,,
7787813,7787813,LU,present,introduced,,,,
163299691,7732954,LU,present,introduced,,,,
163299692,5041422,LU,present,introduced,,,,
5365717,3031919,LU,present,introduced,,,,
163299697,1690429,LU,present,introduced,,,,
163299698,3003979,LU,present,introduced,,,,
163299700,3021496,LU,present,introduced,,,,
163299702,3021850,LU,present,introduced,invasive?,,,
163299703,1047536,LU,present,introduced,,,,
163299704,3025617,LU,present,introduced,,,,
163299706,3024109,LU,present,introduced,,,,
163299707,4989904,LU,present,introduced,,,,
163299712,5389029,LU,present,introduced,,,,
163299713,5154481,LU,present,introduced,,,,
163299714,3109086,LU,present,introduced,invasive?,,,
163299716,5389017,LU,present,introduced,,,,
163299717,2092040,LU,present,introduced,,,,
163299720,5156102,LU,present,introduced,,,,
3151558,5406382,LU,present,introduced,,,,
163299724,2041682,LU,present,introduced,,,,
3146791,5404801,LU,present,introduced,invasive,,,
163299728,2020655,LU,present,introduced,,,,
11177955,9644431,LU,present,introduced,,,,
163299732,3114229,LU,present,introduced,,,,
163299733,1817797,LU,present,introduced,,,,
163299734,3119175,LU,present,introduced,invasive?,,,
163299735,3117449,LU,present,introduced,,,,
163299737,5392174,LU,present,introduced,,,,
163299738,4532122,LU,present,introduced,,,,
163299739,8002952,LU,present,introduced,,,,
8741260,1749886,LU,present,introduced,,,,
163299743,1749936,LU,present,introduced,,,,
163299745,1750286,LU,present,introduced,,,,
163299746,3190538,LU,present,introduced,invasive?,,,
163299747,1750159,LU,present,introduced,,,,
163299749,1749449,LU,present,introduced,,,,
163299750,3190653,LU,present,introduced,,,,
163299753,3189866,LU,present,introduced,,,,
163299755,1595831,LU,present,introduced,,,,
163299757,5073820,LU,present,introduced,,,,
163299759,1652212,LU,present,introduced,,,,
