taxonKey,taxonID,scientificName,kingdom,taxonRank
163299511,161075,"Pectinatella magnifica (Leidy, 1851)",Animalia,SPECIES
163299517,161049,"Hymenoscyphus fraxineus (T.Kowalski) Baral, Queloz & Hosoya",Fungi,SPECIES
163299519,161082,"Potamopyrgus antipodarum (J.E.Gray, 1843)",Animalia,SPECIES
163299527,161080,Pinus nigra J.F.Arnold,Plantae,SPECIES
163299531,161033,"Dreissena polymorpha (Pallas, 1771)",Animalia,SPECIES
163299535,161105,Spirodela polyrhiza (L.) Schleid.,Plantae,SPECIES
163299536,161025,"Corbicula fluminea (O.F.Müller, 1774)",Animalia,SPECIES
163299537,161055,Lemna minuta Kunth,Plantae,SPECIES
163299542,161036,Elodea canadensis Michx.,Plantae,SPECIES
163299544,161037,Elodea nuttallii (Planch.) H.St.John,Plantae,SPECIES
163299545,161109,Trachemys scripta scripta,Animalia,SUBSPECIES
163299546,161108,"Trachemys scripta elegans (Wied, 1838)",Animalia,SUBSPECIES
163299553,161083,"Procyon lotor (Linnaeus, 1758)",Animalia,SPECIES
163299555,161010,Azolla filiculoides Lam.,Plantae,SPECIES
163299558,161071,"Ovis aries Linnaeus, 1758",Animalia,SPECIES
163299562,161030,"Dama dama (Linnaeus, 1758)",Animalia,SPECIES
163299563,161020,"Cervus nippon Temminck, 1838",Animalia,SPECIES
163299564,161081,Populus ×canadensis Moench,Plantae,SPECIES
163299569,161068,"Ondatra zibethicus (Linnaeus, 1766)",Animalia,SPECIES
163299570,161088,Quercus rubra L.,Plantae,SPECIES
163299573,161019,"Castor canadensis Kuhl, 1820",Animalia,SPECIES
163299579,161073,Parthenocissus inserta (A.Kern.) Fritsch,Plantae,SPECIES
163299580,161096,"Salvelinus fontinalis (Mitchill, 1814)",Animalia,SPECIES
163299581,161074,Parthenocissus quinquefolia (L.) Planch.,Plantae,SPECIES
163299582,161067,"Oncorhynchus mykiss (Walbaum, 1792)",Animalia,SPECIES
163299587,161097,"Sander lucioperca (Linnaeus, 1758)",Animalia,SPECIES
163299588,161093,Robinia pseudoacacia L.,Plantae,SPECIES
163299590,161059,Lupinus polyphyllus Lindl.,Plantae,SPECIES
4285968,161064,"Ponticola kessleri (Günther, 1861)",Animalia,SPECIES
163299595,161065,"Neogobius melanostomus (Pallas, 1814)",Animalia,SPECIES
163299596,161063,Myriophyllum aquaticum (Vell.) Verdc.,Plantae,SPECIES
163299599,161056,"Lepomis gibbosus (Linnaeus, 1758)",Animalia,SPECIES
163299602,161052,Impatiens glandulifera Royle,Plantae,SPECIES
163299604,161053,Impatiens parviflora DC.,Plantae,SPECIES
163299605,161086,"Pseudorasbora parva (Temminck & Schlegel, 1846)",Animalia,SPECIES
163299606,161018,"Carassius gibelio (Bloch, 1782)",Animalia,SPECIES
163299607,161051,Impatiens balfourii Hook.fil.,Plantae,SPECIES
163299612,161048,Heracleum mantegazzianum Sommier & Levier,Plantae,SPECIES
163299613,161005,"Ameiurus nebulosus (Lesueur, 1819)",Animalia,SPECIES
163299619,161038,Epilobium ciliatum Raf.,Plantae,SPECIES
163299620,161013,"Branta canadensis (Linnaeus, 1758)",Animalia,SPECIES
163299622,161003,"Alopochen aegyptiaca (Linnaeus, 1766)",Animalia,SPECIES
163299625,161026,Cornus sericea L.,Plantae,SPECIES
8909595,161070,"Faxonius limosus (Rafinesque, 1817)",Animalia,SPECIES
2889088,161043,Reynoutria sachalinensis (F.Schmidt) Nakai,Plantae,SPECIES
163299636,161072,"Pacifastacus leniusculus (Dana, 1852)",Animalia,SPECIES
