taxonKey,nubKey,countryCode,occurrenceStatus,establishmentMeans,degreeOfEstablishment,pathway,eventDate,source
160844561,2237923,MT,present,introduced,,,,
160844562,3200195,MT,present,introduced,,,,
160844568,3197970,MT,present,introduced,,,,
160844569,4859796,MT,present,introduced,,,,
160844579,2278811,MT,present,introduced,,,,
160844590,2264597,MT,present,introduced,,,,
160844594,7374940,MT,present,introduced,invasive,,,
160844595,2264530,MT,present,introduced,,,,
160844601,2264603,MT,present,introduced,,,,
160844603,2643131,MT,present,introduced,invasive,,,
160844605,2643131,MT,present,introduced,invasive,,,
160844606,2643172,MT,present,introduced,,,,
160844614,2317583,MT,present,introduced,,,,
160844617,2663181,MT,present,introduced,,,,
160844619,2663181,MT,present,introduced,,,,
160844622,2328302,MT,present,introduced,,,,
160844625,5279834,MT,present,introduced,,,,
160844626,5200325,MT,present,introduced,,,,
160844627,5279834,MT,present,introduced,,,,
160844628,5854272,MT,present,introduced,,,,
160844629,5279840,MT,present,introduced,,,,
160844635,2658484,MT,present,introduced,,,,
160844637,2658484,MT,present,introduced,,,,
160844639,2510275,MT,present,introduced,,,,
160844643,5277463,MT,present,introduced,invasive,,,
160844647,5277463,MT,present,introduced,invasive,,,
160844648,5729175,MT,present,introduced,,,,
160844649,2659723,MT,present,introduced,invasive,,,
160844651,2659723,MT,present,introduced,invasive,,,
160844653,5279795,MT,present,introduced,,,,
4374764,6532399,MT,present,introduced,,,,
160844655,5279795,MT,present,introduced,,,,
160844657,5277294,MT,present,introduced,,,,
160844659,5277294,MT,present,introduced,,,,
7820753,2286069,MT,present,introduced,,,,
160844663,2286094,MT,present,introduced,,,,
160844668,5285604,MT,present,introduced,,,,
160844669,4374596,MT,present,introduced,invasive,,,
160844670,5285165,MT,present,introduced,,,,
160844674,2684030,MT,present,introduced,,,,
160844675,4371524,MT,present,introduced,,,,
160844679,2684969,MT,present,introduced,,,,
160844687,5294589,MT,present,introduced,,,,
9514986,5190300,MT,present,introduced,,,,
160844689,5294595,MT,present,introduced,,,,
7761140,7761140,MT,present,introduced,,,,
160844691,6109699,MT,present,introduced,,,,
160844694,7445284,MT,present,introduced,,,,
160844695,4359336,MT,present,introduced,,,,
2762680,7748097,MT,present,introduced,,,,
160844703,2300285,MT,present,introduced,,,,
160844707,5192789,MT,present,introduced,,,,
2765942,2765940,MT,present,introduced,,,,
160844710,4362895,MT,present,introduced,,,,
160844713,2764389,MT,present,introduced,,,,
9746127,5724593,MT,present,introduced,,,,
160844720,2715482,MT,present,introduced,,,,
160844722,2714156,MT,present,introduced,,,,
10906181,4359391,MT,present,introduced,,,,
5828232,2706134,MT,present,introduced,invasive,,,
160844730,2291791,MT,present,introduced,,,,
160844731,2705181,MT,present,introduced,,,,
160844733,2705185,MT,present,introduced,,,,
160844734,4360148,MT,present,introduced,,,,
160844737,5289744,MT,present,introduced,,,,
160844738,8183323,MT,present,introduced,,,,
160844739,2706188,MT,present,introduced,,,,
160844741,5289739,MT,present,introduced,,,,
160844743,2703723,MT,present,introduced,,,,
160844744,9680062,MT,present,introduced,,,,
160844745,2703041,MT,present,introduced,invasive,,,
160844751,5329631,MT,present,introduced,,,,
160844754,5329631,MT,present,introduced,,,,
160844757,1005671,MT,present,introduced,,,,
160844758,2868827,MT,present,introduced,invasive,,,
160844760,2867589,MT,present,introduced,invasive,,,
160844761,1004629,MT,present,introduced,,,,
160844762,2867614,MT,present,introduced,invasive,,,
160844763,1004642,MT,present,introduced,,,,
160844764,5330776,MT,present,introduced,,,,
160844765,1004698,MT,present,introduced,,,,
160844768,7286912,MT,present,introduced,,,,
160844770,7446481,MT,present,introduced,,,,
160844775,5297966,MT,present,introduced,,,,
5298079,5298598,MT,present,introduced,,,,
160844779,2747079,MT,present,introduced,invasive,,,
160844781,2747084,MT,present,introduced,,,,
160844783,8246227,MT,present,introduced,invasive,,,
160844785,2744155,MT,present,introduced,invasive,,,
160844789,5720321,MT,present,introduced,,,,
160844790,2858739,MT,present,introduced,,,,
160844792,2855486,MT,present,introduced,invasive,,,
160844794,2856681,MT,present,introduced,,,,
160844796,2857697,MT,present,introduced,,,,
2857444,2856476,MT,present,introduced,,,,
160844800,2856348,MT,present,introduced,,,,
160844804,2206602,MT,present,introduced,,,,
160844805,2769757,MT,present,introduced,,,,
