taxonKey,nubKey,taxonID,scientificName,kingdom,taxonRank
160844561,2237923,60213,"Paraleucilla magna Klautau, Monteiro & Borojevic, 2004",Animalia,SPECIES
160844562,3200195,60210,Padina boergesenii Allender & Kraft,Chromista,SPECIES
160844568,3197970,60105,Colpomenia peregrina Sauv.,Chromista,SPECIES
160844569,4859796,60185,"Maritigrella fuscopunctata (Prudhoe, 1978)",Animalia,SPECIES
160844579,2278811,60138,"Eucidaris tribuloides (Lamarck, 1816)",Animalia,SPECIES
160844590,2264597,60250,"Rhopilema nomadica Galil, Spanier & Ferguson, 1990",Animalia,SPECIES
160844594,7374940,60040,"Amphistegina lobifera Larsen, 1976",Chromista,SPECIES
160844595,2264530,60226,"Phyllorhiza punctata von Lendenfeld, 1884",Animalia,SPECIES
160844601,2264603,60076,"Cassiopea andromeda (Forskål, 1775)",Animalia,SPECIES
160844603,2643131,60080,"Caulerpa cylindracea Sonder, 1845",Plantae,SPECIES
160844605,2643131,60081,"Caulerpa cylindracea Sonder, 1845",Plantae,SPECIES
160844606,2643172,60082,Caulerpa taxifolia (M.Vahl) C.Agardh,Plantae,SPECIES
160844614,2317583,60143,"Eurythoe laevisetis Fauvel, 1914",Animalia,SPECIES
160844617,2663181,60060,"Botryocladia madagascariensis G.Feldmann, 1945",Plantae,SPECIES
160844619,2663181,60061,"Botryocladia madagascariensis G.Feldmann, 1945",Plantae,SPECIES
160844622,2328302,60162,"Hydroides elegans (Haswell, 1883)",Animalia,SPECIES
160844625,5279834,60051,Asparagopsis taxiformis (Delile) Trevis.,Plantae,SPECIES
160844626,5200325,60064,"Branchiomma boholense (Grube, 1878)",Animalia,SPECIES
160844627,5279834,60050,Asparagopsis taxiformis (Delile) Trevis.,Plantae,SPECIES
160844628,5854272,60063,"Branchiomma bairdi (McIntosh, 1885)",Animalia,SPECIES
160844629,5279840,60049,Asparagopsis armata Harv.,Plantae,SPECIES
160844635,2658484,60014,Acrothamnion preissii (Sonder) E.M.Wollaston,Plantae,SPECIES
160844637,2658484,60015,Acrothamnion preissii (Sonder) E.M.Wollaston,Plantae,SPECIES
160844639,2510275,60055,"Aspidosiphon mexicanus (Murina, 1967)",Animalia,SPECIES
160844643,5277463,60284,Womersleyella setacea (Hollenberg) R.E.Norris,Plantae,SPECIES
160844647,5277463,60285,Womersleyella setacea (Hollenberg) R.E.Norris,Plantae,SPECIES
160844648,5729175,60149,"Fulvia fragilis (Forsskål, 1775)",Animalia,SPECIES
160844649,2659723,60178,"Lophocladia lallemandii (Mont.) F.Schmitz, 1893",Plantae,SPECIES
160844651,2659723,60179,"Lophocladia lallemandii (Mont.) F.Schmitz, 1893",Plantae,SPECIES
160844653,5279795,60100,"Chondria pygmaea Garbary & Vandermeulen, 1990",Plantae,SPECIES
4374764,6532399,60230,"Pinctada radiata (Leach, 1814)",Animalia,SPECIES
160844655,5279795,60099,"Chondria pygmaea Garbary & Vandermeulen, 1990",Plantae,SPECIES
160844657,5277294,60008,"Acanthophora nayadiformis (Delile) Papenf., 1968",Plantae,SPECIES
160844659,5277294,60007,"Acanthophora nayadiformis (Delile) Papenf., 1968",Plantae,SPECIES
7820753,2286069,60109,"Magallana gigas (Thunberg, 1793)",Animalia,SPECIES
160844663,2286094,60124,"Dendostrea Swainson, 1835",Animalia,GENUS
160844668,5285604,60231,Pinus halepensis Mill.,Plantae,SPECIES
160844669,4374596,60062,"Brachidontes pharaonis (P.Fischer, 1870)",Animalia,SPECIES
160844670,5285165,60232,Pinus pinea L.,Plantae,SPECIES
160844674,2684030,60113,Cupressus sempervirens L.,Plantae,SPECIES
160844675,4371524,60056,"Atactodea striata (Gmelin, 1791)",Animalia,SPECIES
160844679,2684969,60046,Araucaria heterophylla (Salisb.) Franco,Plantae,SPECIES
160844687,5294589,60281,Washingtonia filifera (Rafarin) H.Wendl. ex de Bary,Plantae,SPECIES
9514986,5190300,60150,"Steromphala cineraria (Linnaeus, 1758)",Animalia,SPECIES
160844689,5294595,60282,Washingtonia robusta H.Wendl.,Plantae,SPECIES
7761140,7761140,60272,"Stomatella Rafinesque, 1815",Animalia,GENUS
160844691,6109699,60225,Phoenix dactylifera L.,Plantae,SPECIES
160844694,7445284,60224,Phoenix canariensis H.Wildpret,Plantae,SPECIES
160844695,4359336,60114,"Cuvierina cancapae A.W.Janssen, 2005",Animalia,SPECIES
2762680,7748097,60194,Musa acuminata Colla,Plantae,SPECIES
160844703,2300285,60200,"Notocochlis gualteriana (Récluz, 1844)",Animalia,SPECIES
160844707,5192789,60110,"Crepidula fornicata (Linnaeus, 1758)",Animalia,SPECIES
2765942,2765940,60128,Pontederia crassipes Mart.,Plantae,SPECIES
160844710,4362895,60092,"Cerithium scabridum R.A.Philippi, 1848",Animalia,SPECIES
160844713,2764389,60106,Commelina erecta L.,Plantae,SPECIES
9746127,5724593,60096,"Biuve fulvipunctata (Baba, 1938)",Animalia,SPECIES
160844720,2715482,60119,Cyperus eragrostis Lam.,Plantae,SPECIES
160844722,2714156,60118,Cyperus alternifolius L.,Plantae,SPECIES
10906181,4359391,60155,"Lamprohaminoea ovalis (Pease, 1868)",Animalia,SPECIES
