taxonKey,nubKey,countryCode,occurrenceStatus,establishmentMeans,degreeOfEstablishment,pathway,eventDate,source
162643471,5254231,MD,present,introduced,invasive,,,
162643478,5227788,MD,present,introduced,,,,
162643479,5285637,MD,present,introduced,invasive,,,
162643480,5284884,MD,present,introduced,invasive,,,
162643487,2865526,MD,present,introduced,,,,
162643488,2390064,MD,present,introduced,invasive,,,
162643489,2865448,MD,present,introduced,,,,
162643493,2764179,MD,present,introduced,,,,
162643494,2394486,MD,present,introduced,,,,
162643499,2702084,MD,present,introduced,,,,
162643501,5202520,MD,present,introduced,,,,
5289684,5673710,MD,present,introduced,,,,
162643507,2362868,MD,present,introduced,,,,
5289726,5289728,MD,present,introduced,,,,
162643509,5289698,MD,present,introduced,,,,
162643510,2362110,MD,present,introduced,,,,
162643511,5289686,MD,present,introduced,,,,
162643512,2362473,MD,present,introduced,,,,
162643513,2705185,MD,present,introduced,,,,
162643514,2362486,MD,present,introduced,,,,
162643515,2705162,MD,present,introduced,,,,
162643516,2705090,MD,present,introduced,,,,
162643517,2362030,MD,present,introduced,,,,
162643518,5289744,MD,present,introduced,,,,
162643519,4286942,MD,present,introduced,,,,
162643520,2706242,MD,present,introduced,,,,
162643521,2366634,MD,present,introduced,,,,
162643522,4129708,MD,present,introduced,,,,
162643523,2706052,MD,present,introduced,,,,
162643525,4129041,MD,present,introduced,,,,
162643527,2702822,MD,present,introduced,,,,
162643529,5289998,MD,present,introduced,,,,
162643530,5289972,MD,present,introduced,,,,
162643531,2436940,MD,present,introduced,,,,
162643532,2705297,MD,present,introduced,,,,
162643534,2705286,MD,present,introduced,,,,
2705287,8429888,MD,present,introduced,,,,
162643538,2439261,MD,present,introduced,,,,
162643541,2873769,MD,present,introduced,,,,
162643543,5219858,MD,present,introduced,,,,
162643548,2705185,MD,present,introduced,,,,
162643549,5290126,MD,present,introduced,,,,
162643550,5220136,MD,present,introduced,,,,
162643552,2440954,MD,present,introduced,,,,
162643555,8427624,MD,present,introduced,,,,
162643556,9823072,MD,present,introduced,,,,
162643559,2434552,MD,present,introduced,,,,
162643561,5219219,MD,present,introduced,,,,
162643562,2986045,MD,present,introduced,,,,
162643567,8994150,MD,present,introduced,,,,
162643568,3188924,MD,present,introduced,,,,
162643570,3188894,MD,present,introduced,,,,
162643575,5334242,MD,present,introduced,,,,
162643579,2220312,MD,present,introduced,,,,
162643580,5406741,MD,present,introduced,,,,
162643582,3152379,MD,present,introduced,,,,
162643584,3152377,MD,present,introduced,,,,
162643586,3152560,MD,present,introduced,,,,
162643588,2227663,MD,present,introduced,,,,
162643591,2891782,MD,present,introduced,,,,
162643593,2224515,MD,present,introduced,,,,
162643597,2225776,MD,present,introduced,,,,
162643598,2965331,MD,present,introduced,,,,
162643600,5360475,MD,present,introduced,,,,
162643602,5359378,MD,present,introduced,,,,
162643604,5360498,MD,present,introduced,,,,
10683509,7224462,MD,present,introduced,,,,
5347846,5347845,MD,present,introduced,,,,
162643609,5352251,MD,present,introduced,invasive,,,
