taxonKey,nubKey,taxonID,scientificName,kingdom,taxonRank
162643471,5254231,158694,Ophiostoma novo-ulmi Brasier,Fungi,SPECIES
162643478,5227788,158708,"Phasianus colchicus karpowi Buturlin, 1904",Animalia,SUBSPECIES
162643479,5285637,158714,Pinus sylvestris L.,Plantae,SPECIES
162643480,5284884,158713,Picea abies (L.) H.Karst.,Plantae,SPECIES
162643487,2865526,158762,Vallisneria spiralis L.,Plantae,SPECIES
162643488,2390064,158705,"Perccottus glenii Dybowski, 1877",Animalia,SPECIES
162643489,2865448,158606,Elodea canadensis Michx.,Plantae,SPECIES
162643493,2764179,158577,Commelina communis L.,Plantae,SPECIES
162643494,2394486,158657,"Lepomis gibbosus (Linnaeus, 1758)",Animalia,SPECIES
162643499,2702084,158649,Juncus tenuis Willd.,Plantae,SPECIES
162643501,5202520,158645,"Ictalurus punctatus (Rafinesque, 1818)",Animalia,SPECIES
5289684,5673710,158737,Setaria viridis (L.) P.Beauv.,Plantae,SPECIES
162643507,2362868,158723,"Pseudorasbora parva (Temminck & Schlegel, 1846)",Animalia,SPECIES
5289726,5289728,158561,Cenchrus spinifex Cav.,Plantae,SPECIES
162643509,5289698,158736,Setaria italica (L.) P.Beauv.,Plantae,SPECIES
162643510,2362110,158684,"Mylopharyngodon piceus (Richardson, 1846)",Animalia,SPECIES
162643511,5289686,158738,Setaria verticillata (L.) P.Beauv.,Plantae,SPECIES
162643512,2362473,158643,"Hypophthalmichthys molitrix (Valenciennes, 1844)",Animalia,SPECIES
162643513,2705185,158753,Sorghum halepense (L.) Pers.,Plantae,SPECIES
162643514,2362486,158644,"Hypophthalmichthys nobilis (Richardson, 1845)",Animalia,SPECIES
162643515,2705162,158700,Panicum capillare L.,Plantae,SPECIES
162643516,2705090,158701,Panicum miliaceum L.,Plantae,SPECIES
162643517,2362030,158586,"Ctenopharyngodon idella (Valenciennes, 1844)",Animalia,SPECIES
162643518,5289744,158707,Phalaris canariensis L.,Plantae,SPECIES
162643519,4286942,158556,"Carassius auratus (Linnaeus, 1758)",Animalia,SPECIES
162643520,2706242,158665,Lolium temulentum L.,Plantae,SPECIES
162643521,2366634,158557,"Carassius gibelio (Bloch, 1782)",Animalia,SPECIES
162643522,4129708,158664,Lolium multiflorum Lam.,Plantae,SPECIES
162643523,2706052,158639,Hordeum jubatum L.,Plantae,SPECIES
162643525,4129041,158611,Eriochloa succincta (Trin.) Kunth,Plantae,SPECIES
162643527,2702822,158603,Echinochloa frumentacea Link,Plantae,SPECIES
162643529,5289998,158592,Digitaria ciliaris (Retz.) Koeler,Plantae,SPECIES
162643530,5289972,158593,Digitaria sanguinalis (L.) Scop.,Plantae,SPECIES
162643531,2436940,158696,"Oryctolagus cuniculus (Linnaeus, 1758)",Animalia,SPECIES
162643532,2705297,158532,Avena fatua L.,Plantae,SPECIES
162643534,2705286,158533,Avena sterilis L.,Plantae,SPECIES
2705287,8429888,158534,Avena sterilis subsp. ludoviciana (Durieu) Nyman,Plantae,SUBSPECIES
162643538,2439261,158727,"Rattus norvegicus (Berkenhout, 1769)",Animalia,SPECIES
162643541,2873769,158501,Acorus calamus L.,Plantae,SPECIES
162643543,5219858,158693,"Ondatra zibethicus (Linnaeus, 1766)",Animalia,SPECIES
162643548,2705185,158752,Sorghum halepense (L.) Pers.,Plantae,SPECIES
162643549,5290126,158758,Tragus racemosus (L.) All.,Plantae,SPECIES
162643550,5220136,158590,"Dama dama (Linnaeus, 1758)",Animalia,SPECIES
162643552,2440954,158565,"Cervus nippon Temminck, 1838",Animalia,SPECIES
162643555,8427624,158697,Oxalis corniculata L.,Plantae,SPECIES
162643556,9823072,158698,Oxalis stricta L.,Plantae,SPECIES
162643559,2434552,158688,"Nyctereutes procyonoides (Gray, 1834)",Animalia,SPECIES
162643561,5219219,158552,"Canis aureus Linnaeus, 1758",Animalia,SPECIES
162643562,2986045,158709,Philadelphus coronarius L.,Plantae,SPECIES
162643567,8994150,158692,Oenothera parviflora L.,Plantae,SPECIES
162643568,3188924,158690,Oenothera biennis L.,Plantae,SPECIES
162643570,3188894,158691,Oenothera glazioviana Micheli,Plantae,SPECIES
162643575,5334242,158666,Lonicera tatarica L.,Plantae,SPECIES
162643579,2220312,158637,"Hemimysis anomala G.O.Sars, 1907",Animalia,SPECIES
162643580,5406741,158740,Sida spinosa L.,Plantae,SPECIES
162643582,3152379,158674,Malva moschata L.,Plantae,SPECIES
162643584,3152377,158675,Malva verticillata L.,Plantae,SPECIES
162643586,3152560,158638,Hibiscus trionum L.,Plantae,SPECIES
162643588,2227663,158728,"Rhithropanopeus harrisii (Gould, 1841)",Animalia,SPECIES
162643591,2891782,158646,Impatiens parviflora DC.,Plantae,SPECIES
162643593,2224515,158673,"Macrobrachium nipponense (De Haan, 1849)",Animalia,SPECIES
162643597,2225776,158610,"Eriocheir sinensis H.Milne Edwards, 1853",Animalia,SPECIES
162643598,2965331,158678,Medicago ×varia Martyn,Plantae,SPECIES
162643600,5360475,158761,Trigonella foenum-graecum L.,Plantae,SPECIES
162643602,5359378,158759,Trifolium incarnatum L.,Plantae,SPECIES
162643604,5360498,158760,Trigonella caerulea (L.) Ser.,Plantae,SPECIES
10683509,7224462,158716,Lathyrus oleraceus var. oleraceus,Plantae,VARIETY
5347846,5347845,158715,Lathyrus oleraceus Lam.,Plantae,SPECIES
162643609,5352251,158729,Robinia pseudoacacia L.,Plantae,SPECIES
162643611,9151957,158677,Medicago sativa L.,Plantae,SPECIES
162643612,2964355,158668,Lupinus polyphyllus Lindl.,Plantae,SPECIES
162643614,5356488,158654,Lathyrus sativus L.,Plantae,SPECIES
162643616,2965732,158628,Glycyrrhiza glabra L.,Plantae,SPECIES
162643618,2959443,158627,Gleditsia triacanthos L.,Plantae,SPECIES
162643623,2874655,158739,Sicyos angulatus L.,Plantae,SPECIES
162643624,2874680,158602,Ecballium elaterium (L.) A.Rich.,Plantae,SPECIES
162643626,5331404,158604,Echinocystis lobata (Michx.) Torr. & A.Gray,Plantae,SPECIES
162643631,3173260,158695,Orobanche cernua Loefl.,Plantae,SPECIES
162643632,1314773,158681,"Monomorium pharaonis (Linnaeus, 1758)",Animalia,SPECIES
162643635,3172071,158763,Veronica opaca Fr.,Plantae,SPECIES
162643637,5415018,158663,Linaria incarnata (Vent.) Spreng.,Plantae,SPECIES
162643639,8351995,158623,"Frankliniella occidentalis (Pergande, 1895)",Animalia,SPECIES
162643640,2927000,158735,Salvia sclarea L.,Plantae,SPECIES
162643641,8707933,158679,Mentha ×piperita L.,Plantae,SPECIES
162643643,2927096,158689,Ocimum basilicum L.,Plantae,SPECIES
162643645,5608183,158653,Lallemantia iberica (M.Bieb.) Fisch. & C.A.Mey.,Plantae,SPECIES
162643646,1048809,158660,"Lilioceris lilii (Scopoli, 1763)",Animalia,SPECIES
162643647,2927075,158607,Elsholtzia ciliata (Thunb.) Hyl.,Plantae,SPECIES
162643648,2927222,158597,Dracocephalum moldavica L.,Plantae,SPECIES
162643649,1047536,158658,"Leptinotarsa decemlineata (Say, 1824)",Animalia,SPECIES
162643650,2927224,158598,Dracocephalum thymiflorum L.,Plantae,SPECIES
162643653,1046592,158672,"Lytta vesicatoria (Linnaeus, 1758)",Animalia,SPECIES
162643657,4989904,158633,"Harmonia axyridis (Pallas, 1773)",Animalia,SPECIES
162643658,2927492,158588,Cuscuta gronovii Willd. ex Schult.,Plantae,SPECIES
162643661,3610757,158587,Cuscuta campestris Yunck.,Plantae,SPECIES
162643663,2928538,158647,Ipomoea hederacea Jacq.,Plantae,SPECIES
162643664,2020655,158584,"Corythucha ciliata (Say, 1832)",Animalia,SPECIES
5581168,6402873,158711,Physalis philadelphica subsp. ixocarpa (Brot. ex Hornem.) Sobr.-Vesp. & Sanz-Elorza,Plantae,SUBSPECIES
162643670,4485843,158632,"Halyomorpha halys (Stål, 1855)",Animalia,SPECIES
3797084,5341813,158710,Alkekengi officinarum Moench,Plantae,SPECIES
162643674,2020671,158583,"Corythucha arcuata (Say, 1832)",Animalia,SPECIES
2929800,2930922,158749,Solanum angustifolium Houst. ex Mill.,Plantae,SPECIES
2929800,2930930,158748,Solanum angustifolium Houst. ex Mill.,Plantae,SPECIES
5160887,2081777,158629,"Eriococcus spurius (Modeer, 1778)",Animalia,SPECIES
