taxonKey,nubKey,countryCode,occurrenceStatus,establishmentMeans,degreeOfEstablishment,pathway,eventDate,source
196397247,9752149,MC,present,introduced,,,,
196397252,5156102,MC,present,introduced,,,,
196397254,8001222,MC,present,introduced,,,,
196397256,9302212,MC,present,introduced,,,,
196397257,2094171,MC,present,introduced,,,,
6275970,1047502,MC,present,introduced,,,,
5019579,8636797,MC,present,introduced,,,,
196397264,4292054,MC,present,introduced,,,,
196397267,1651430,MC,present,introduced,,,,
196397273,2643093,MC,present,introduced,invasive,,,
196397274,2643172,MC,present,introduced,invasive,,,
