taxonKey,nubKey,taxonID,scientificName,kingdom,taxonRank
196397247,9752149,74020,"Phasianus colchicus Linnaeus, 1758",Animalia,SPECIES
196397252,5156102,74016,"Leptoglossus occidentalis Heidemann, 1910",Animalia,SPECIES
196397254,8001222,74019,"Corythauma ayyari (Drake, 1933)",Animalia,SPECIES
196397256,9302212,74017,"Phenacoccus peruvianus Granara de Willink, 2007",Animalia,SPECIES
196397257,2094171,74015,"Crisicoccus pini (Kuwana, 1902)",Animalia,SPECIES
6275970,1047502,74013,"Dactylispa pallidipennis (Motschulsky, 1861)",Animalia,SPECIES
5019579,8636797,74018,"Xyleborus compactus Eichhoff, 1875",Animalia,SPECIES
196397264,4292054,74014,"Trachyphloeosoma advena Zimmerman, 1956",Animalia,SPECIES
196397267,1651430,74010,"Aedes albopictus (Skuse, 1894)",Animalia,SPECIES
196397273,2643093,74012,Caulerpa racemosa (Forssk.) J.Agardh,Plantae,SPECIES
196397274,2643172,74011,Caulerpa taxifolia (M.Vahl) C.Agardh,Plantae,SPECIES
