taxonKey,nubKey,countryCode,occurrenceStatus,establishmentMeans,degreeOfEstablishment,pathway,eventDate,source
160946014,9752149,ME,present,introduced,,,,
6164088,2434282,ME,present,introduced,,,,
160946023,2353225,ME,present,introduced,,,,
160946026,4284021,ME,present,introduced,,,,
160946027,2351271,ME,present,introduced,,,,
160946028,5203999,ME,present,introduced,,,,
160946029,8215487,ME,present,introduced,,,,
160946030,5204019,ME,present,introduced,,,,
160946033,2394486,ME,present,introduced,,,,
160946036,2350570,ME,present,introduced,invasive,,,
160946039,2362868,ME,present,introduced,invasive,,,
160946040,2362745,ME,present,introduced,,,,
160946041,2362110,ME,present,introduced,,,,
160946042,2362473,ME,present,introduced,,,,
160946043,2362486,ME,present,introduced,,,,
160946044,2362030,ME,present,introduced,,,,
160946045,2366634,ME,present,introduced,invasive,,,
160946048,2340989,ME,present,introduced,,,,
160946054,2223840,ME,present,introduced,invasive,,,
160946056,2225646,ME,present,introduced,invasive,,,
2071589,2071590,ME,present,introduced,,,,
160946062,2072474,ME,present,introduced,,,,
160946065,1651430,ME,present,introduced,,,,
160946071,2865526,ME,present,introduced,,,,
160946074,2775619,ME,present,introduced,,,,
6314270,4014246,ME,present,introduced,,,,
2704776,4148065,ME,present,introduced,,,,
160946082,2704768,ME,present,introduced,,,,
160946083,2705185,ME,present,introduced,,,,
160946084,2704757,ME,present,introduced,invasive,,,
160946085,2705565,ME,present,introduced,,,,
160946086,2705622,ME,present,introduced,invasive,,,
2705622,4105936,ME,present,introduced,,,,
160946088,2705953,ME,present,introduced,,,,
160946089,2705955,ME,present,introduced,,,,
160946092,2764179,ME,present,introduced,invasive,,,
8012439,2888634,ME,present,introduced,,,,
160946101,3039203,ME,present,introduced,invasive,,,
160946104,3188924,ME,present,introduced,,,,
160946105,7915783,ME,present,introduced,,,,
160946106,3188894,ME,present,introduced,,,,
160946109,2891782,ME,present,introduced,,,,
160946112,5376648,ME,present,introduced,,,,
160946113,5376961,ME,present,introduced,invasive,,,
160946116,3172077,ME,present,introduced,,,,
160946118,2927096,ME,present,introduced,,,,
160946120,3172266,ME,present,introduced,,,,
160946123,3067119,ME,present,introduced,,,,
160946124,3067891,ME,present,introduced,,,,
160946127,5331404,ME,present,introduced,invasive,,,
160946131,3610757,ME,present,introduced,invasive,,,
160946132,2928576,ME,present,introduced,invasive,,,
160946133,2928598,ME,present,introduced,,,,
160946136,2929892,ME,present,introduced,invasive,,,
160946137,5341792,ME,present,introduced,,,,
160946138,2928751,ME,present,introduced,,,,
160946141,5361889,ME,present,introduced,invasive,,,
160946142,5361944,ME,present,introduced,,,,
160946145,3170247,ME,present,introduced,invasive,,,
160946148,5352251,ME,present,introduced,invasive,,,
160946149,9151957,ME,present,introduced,invasive,,,
160946150,2964309,ME,present,introduced,,,,
160946151,5357407,ME,present,introduced,invasive,,,
3119181,8521945,ME,present,introduced,,,,
11519882,8435525,ME,present,introduced,,,,
160946159,3089150,ME,present,introduced,,,,
3147018,5693045,ME,present,introduced,,,,
3103791,5391096,ME,present,introduced,,,,
3151558,5406382,ME,present,introduced,invasive,,,
3117449,4219549,ME,present,introduced,,,,
3146791,5404801,ME,present,introduced,invasive,,,
3146717,5404795,ME,present,introduced,invasive,,,
160946172,5389029,ME,present,introduced,invasive,,,
160946173,3132570,ME,present,introduced,,,,
160946174,3119175,ME,present,introduced,invasive,,,
160946175,3117449,ME,present,introduced,,,,
160946176,3133950,ME,present,introduced,,,,
160946177,3120790,ME,present,introduced,,,,
160946178,5391882,ME,present,introduced,invasive,,,
160946179,5392174,ME,present,introduced,,,,
3151764,5406509,ME,present,introduced,,,,
160946181,8002952,ME,present,introduced,invasive,,,
160946184,10955204,ME,present,introduced,,,,
160946186,2889173,ME,present,introduced,invasive,,,
160946188,3084719,ME,present,introduced,,,,
160946191,5384067,ME,present,introduced,,,,
160946193,3084842,ME,present,introduced,,,,
160946195,3083838,ME,present,introduced,invasive,,,
160946196,5384364,ME,present,introduced,,,,
160946197,6109534,ME,present,introduced,invasive,,,
160946200,5406789,ME,present,introduced,,,,
160946203,3190653,ME,present,introduced,invasive,,,
160946205,3189837,ME,present,introduced,,,,
160946206,3189866,ME,present,introduced,invasive,,,
