taxonKey,nubKey,countryCode,occurrenceStatus,establishmentMeans,degreeOfEstablishment,pathway,eventDate,source
196158537,5422556,NL,present,introduced,,,,
196158538,4346612,NL,present,introduced,invasive,,,
196158548,4554457,NL,present,introduced,invasive,,,
196158549,3197314,NL,present,introduced,invasive,,,
196158558,3197970,NL,present,introduced,,,,
196158561,2331942,NL,present,introduced,invasive,,,
196158568,2498305,NL,present,introduced,invasive,,,
196158570,2498252,NL,present,introduced,,,,
196158578,2340977,NL,present,introduced,,,,
196158586,2402168,NL,present,introduced,,,,
196158587,2766030,NL,present,introduced,,,,
196158594,2873769,NL,present,introduced,,,,
196158598,4286975,NL,present,introduced,,,,
196158601,2362473,NL,present,introduced,,,,
196158602,5299536,NL,present,introduced,,,,
2362486,2362489,NL,present,introduced,,,,
196158609,2860409,NL,present,introduced,,,,
196158610,2360795,NL,present,introduced,,,,
196158611,2362030,NL,present,introduced,,,,
196158612,2855968,NL,present,introduced,,,,
196158614,2362868,NL,present,introduced,,,,
196158615,2857017,NL,present,introduced,,,,
196158616,2855356,NL,present,introduced,,,,
196158617,4286942,NL,present,introduced,,,,
196158622,2747567,NL,present,introduced,,,,
196158625,2747564,NL,present,introduced,,,,
196158626,2394563,NL,present,introduced,,,,
196158628,2394486,NL,present,introduced,,,,
196158632,8080743,NL,present,introduced,,,,
196158634,2379089,NL,present,introduced,,,,
196158635,2767506,NL,present,introduced,,,,
196158637,2773281,NL,present,introduced,,,,
196158638,2379105,NL,present,introduced,,,,
196158641,2772094,NL,present,introduced,,,,
196158642,4285968,NL,present,introduced,,,,
196158645,2379245,NL,present,introduced,,,,
196158648,2769204,NL,present,introduced,,,,
2767275,2767279,NL,present,introduced,,,,
196158662,2351271,NL,present,introduced,,,,
196158665,5204019,NL,present,introduced,,,,
196158666,2865448,NL,present,introduced,invasive,,,
196158669,5329212,NL,present,introduced,,,,
196158672,2865526,NL,present,introduced,,,,
196158678,2867631,NL,present,introduced,,,,
196158680,5330661,NL,present,introduced,,,,
196158683,2867614,NL,present,introduced,,,,
196158687,5218823,NL,present,introduced,invasive,,,
196158690,2716226,NL,present,introduced,,,,
