taxonID,taxonKey,scientificName,action,acceptedKey,acceptedName
184872,196158548,"Xiphinema vuittenezi Luc & al., 1964",scientificName_replaced_by_backbone_name,4554457,"Xiphinema vuittenezi Luc et al., 1964"
184742,196158568,"Oxyura jamaicensis (Gmelin, 1789)",scientificName_replaced_by_backbone_name,2498305,"Oxyura jamaicensis (J.F.Gmelin, 1789)"
184536,196158606,"Aristichthys nobilis (Richardson, 1845)",merged_with_accepted,2362486,"Hypophthalmichthys nobilis (Richardson, 1845)"
184516,196158615,Allium paradoxum G.Don,scientificName_replaced_by_backbone_name,2857017,Allium paradoxum (M.Bieb.) G.Don
184704,196158626,"Micropterus salmoides (LacepÃ¨de, 1802)",scientificName_replaced_by_backbone_name,2394563,"Micropterus salmoides (Lacepède, 1802)"
184817,196158653,"Sander lucioperca (Linnaeus, 1758)",filtered_on_establishmentMeans,2382155,"Sander lucioperca (Linnaeus, 1758)"
184582,196158657,Chionodoxa forbesii Baker,merged_with_accepted,2767275,Scilla forbesii (Baker) Speta
184618,196158669,Elodea nuttallii St.John,scientificName_replaced_by_backbone_name,5329212,Elodea nuttallii (Planch.) H.St.John
184764,196158674,"Poecilia reticulata Peters, 1859",filtered_on_establishmentMeans,2350050,"Poecilia reticulata Peters, 1859"
184672,196158678,Lemna turionifera E.Landolt,scientificName_replaced_by_backbone_name,2867631,Lemna turionifera Landolt
184543,196158734,"Attagenus unicolor (Brahm, 1791)",scientificName_replaced_by_backbone_name,1095958,"Attagenus unicolor (Brahm, 1790)"
184839,196158735,Sorghum halepense Pers.,scientificName_replaced_by_backbone_name,2705185,Sorghum halepense (L.) Pers.
184840,196158741,Spartina anglica C.E.Hubb.,merged_with_accepted,9398259,Sporobolus anglicus (C.E.Hubb.) P.M.Peterson & Saarela
184833,196158742,"Sitophilus oryzae Schoenherr, 1838",not_matched_with_backbone,,
184622,196158747,Eragrostis pilosa P.Beauv.,scientificName_replaced_by_backbone_name,2705400,Eragrostis pilosa (L.) P.Beauv.
184841,196158758,Spartina townsendii H.Groves & J.Groves,merged_with_accepted,9393876,Sporobolus ×townsendii (H.Groves & J.Groves) P.M.Peterson & Saarela
