taxonKey,nubKey,countryCode,occurrenceStatus,establishmentMeans,degreeOfEstablishment,pathway,eventDate,source
148790085,5189729,MK,present,introduced,,,,
5189806,2291118,MK,present,introduced,invasive,,,
148790094,4410669,MK,present,introduced,,,,
148790099,5156102,MK,present,introduced,,,,
148790102,4989904,MK,present,introduced,,,,
148790105,8351995,MK,present,introduced,,,,
148790110,2434552,MK,present,introduced,,,,
148790113,5219858,MK,present,introduced,,,,
148790115,4264680,MK,present,introduced,,,,
148790117,2439270,MK,present,introduced,,,,
148790118,2439261,MK,present,introduced,,,,
148790119,7429082,MK,present,introduced,,,,
148790122,2441110,MK,present,introduced,,,,
148790124,5220136,MK,present,introduced,,,,
148790128,2394486,MK,present,introduced,invasive,,,
148790131,2362473,MK,present,introduced,invasive,,,
148790132,4286975,MK,present,introduced,invasive,,,
148790138,3202936,MK,present,introduced,,,,
148790144,2566393,MK,present,introduced,,,,
148790150,5296015,MK,present,introduced,,,,
148790153,2865526,MK,present,introduced,invasive,,,
148790154,2865448,MK,present,introduced,invasive,,,
148790157,2766129,MK,present,introduced,,,,
148790159,2764179,MK,present,introduced,,,,
148790162,2702084,MK,present,introduced,,,,
148790164,2704757,MK,present,introduced,,,,
148790165,5289744,MK,present,introduced,,,,
148790166,2705622,MK,present,introduced,,,,
148790167,2705953,MK,present,introduced,,,,
148790168,2703041,MK,present,introduced,,,,
148790172,2929892,MK,present,introduced,invasive,,,
148790175,8139063,MK,present,introduced,,,,
148790176,5373358,MK,present,introduced,,,,
148790179,3152102,MK,present,introduced,,,,
148790182,5362055,MK,present,introduced,,,,
3067119,3067128,MK,present,introduced,,,,
148790189,3171888,MK,present,introduced,,,,
148790191,3173338,MK,present,introduced,,,,
148790194,5361944,MK,present,introduced,,,,
148790197,3188716,MK,present,introduced,,,,
148790200,5352251,MK,present,introduced,invasive,,,
148790201,2959443,MK,present,introduced,,,,
148790202,5357407,MK,present,introduced,,,,
148790205,5389029,MK,present,introduced,invasive,,,
3146717,5404795,MK,present,introduced,,,,
3146791,5404801,MK,present,introduced,invasive,,,
3117449,4219549,MK,present,introduced,,,,
3117449,6298108,MK,present,introduced,,,,
148790214,3088481,MK,present,introduced,,,,
148790215,3089150,MK,present,introduced,,,,
148790216,3103791,MK,present,introduced,,,,
148790217,3132570,MK,present,introduced,,,,
3132567,3132567,MK,present,introduced,,,,
148790219,8002952,MK,present,introduced,invasive,,,
148790222,3084616,MK,present,introduced,,,,
2889173,5334357,MK,present,introduced,,,,
148790227,5568446,MK,present,introduced,,,,
148790228,3083823,MK,present,introduced,,,,
148790229,5384401,MK,present,introduced,,,,
148790230,5384396,MK,present,introduced,,,,
148790233,3190653,MK,present,introduced,invasive,,,
148790235,5421180,MK,present,introduced,invasive,,,
148790236,3189866,MK,present,introduced,invasive,,,
