taxonID,taxonKey,scientificName,action,acceptedKey,acceptedName
42959,148790089,"Physa acuta Draparnaud, 1805",merged_with_accepted,5189806,"Physella acuta (Draparnaud, 1805)"
42940,148790157,Heteranthera limosa Willd.,scientificName_replaced_by_backbone_name,2766129,Heteranthera limosa (Sw.) Willd.
42919,148790186,Chamaesyce maculata (L.) Small,merged_with_accepted,3067119,Euphorbia maculata L.
42947,148790189,Lindernia dubia Pennell,scientificName_replaced_by_backbone_name,3171888,Lindernia dubia (L.) Pennell
42917,148790194,Broussonetia papyrifera Vent.,scientificName_replaced_by_backbone_name,5361944,Broussonetia papyrifera (L.) L'Hér. ex Vent.
42922,148790207,Conyza bonariensis (L.) Cronq.,merged_with_accepted,3146717,Erigeron bonariensis L.
42923,148790209,Conyza canadensis (L.) Cronq.,merged_with_accepted,3146791,Erigeron canadensis L.
42931,148790211,Erigeron annuus subsp. septentrionalis (Fern. & Wieg.) Wagenitz,merged_with_accepted,3117449,Erigeron annuus (L.) Pers.
42932,148790213,Erigeron annuus var. annuus,merged_with_accepted,3117449,Erigeron annuus (L.) Pers.
42933,148790225,Fallopia japonica (Houtt.) Ronse Decraene,merged_with_accepted,2889173,Reynoutria japonica Houtt.
42909,148790233,Ailanthus altissima Swingle,scientificName_replaced_by_backbone_name,3190653,Ailanthus altissima (Mill.) Swingle
