taxonKey,nubKey,taxonID,scientificName,kingdom,taxonRank
148790085,5189729,42960,"Planorbella Haldeman, 1843",Animalia,GENUS
5189806,2291118,42959,"Physella acuta (Draparnaud, 1805)",Animalia,SPECIES
148790094,4410669,42949,"Lumbricus rubellus Hoffmeister, 1843",Animalia,SPECIES
148790099,5156102,42946,"Leptoglossus occidentalis Heidemann, 1910",Animalia,SPECIES
148790102,4989904,42939,"Harmonia axyridis (Pallas, 1773)",Animalia,SPECIES
148790105,8351995,42934,"Frankliniella occidentalis (Pergande, 1895)",Animalia,SPECIES
148790110,2434552,42954,"Nyctereutes procyonoides (Gray, 1834)",Animalia,SPECIES
148790113,5219858,42955,"Ondatra zibethicus (Linnaeus, 1766)",Animalia,SPECIES
148790115,4264680,42953,"Myocastor coypus (Molina, 1782)",Animalia,SPECIES
148790117,2439270,42962,"Rattus rattus (Linnaeus, 1758)",Animalia,SPECIES
148790118,2439261,42961,"Rattus norvegicus (Berkenhout, 1769)",Animalia,SPECIES
148790119,7429082,42952,"Mus musculus Linnaeus, 1758",Animalia,SPECIES
148790122,2441110,42956,"Ovis aries Linnaeus, 1758",Animalia,SPECIES
148790124,5220136,42927,"Dama dama (Linnaeus, 1758)",Animalia,SPECIES
148790128,2394486,42945,"Lepomis gibbosus (Linnaeus, 1758)",Animalia,SPECIES
148790131,2362473,42941,"Hypophthalmichthys molitrix (Valenciennes, 1844)",Animalia,SPECIES
148790132,4286975,42926,"Cyprinus carpio Linnaeus, 1758",Animalia,SPECIES
148790138,3202936,42915,Aphanomyces astaci Schikora,Chromista,SPECIES
148790144,2566393,42925,Cryphonectria parasitica (Murrill) M.E.Barr,Fungi,SPECIES
148790150,5296015,42964,Sisyrinchium angustifolium Mill.,Plantae,SPECIES
148790153,2865526,42969,Vallisneria spiralis L.,Plantae,SPECIES
148790154,2865448,42930,Elodea canadensis Michx.,Plantae,SPECIES
148790157,2766129,42940,Heteranthera limosa (Sw.) Willd.,Plantae,SPECIES
148790159,2764179,42921,Commelina communis L.,Plantae,SPECIES
148790162,2702084,42942,Juncus tenuis Willd.,Plantae,SPECIES
148790164,2704757,42967,Sporobolus indicus (L.) R.Br.,Plantae,SPECIES
148790165,5289744,42958,Phalaris canariensis L.,Plantae,SPECIES
148790166,2705622,42957,Paspalum distichum L.,Plantae,SPECIES
148790167,2705953,42929,Eleusine indica (L.) Gaertn.,Plantae,SPECIES
148790168,2703041,42916,Arundo donax L.,Plantae,SPECIES
148790172,2929892,42965,Solanum elaeagnifolium Cav.,Plantae,SPECIES
148790175,8139063,42950,Malcolmia africana (L.) R.Br.,Plantae,SPECIES
148790176,5373358,42948,Lobularia maritima (L.) Desv.,Plantae,SPECIES
148790179,3152102,42943,Kleinhovia hospita L.,Plantae,SPECIES
148790182,5362055,42924,Crassula tillaea Lest.-Garl.,Plantae,SPECIES
3067119,3067128,42919,Euphorbia maculata L.,Plantae,SPECIES
148790189,3171888,42947,Lindernia dubia (L.) Pennell,Plantae,SPECIES
148790191,3173338,42918,Buddleja davidii Franch.,Plantae,SPECIES
148790194,5361944,42917,Broussonetia papyrifera (L.) L'Hér. ex Vent.,Plantae,SPECIES
148790197,3188716,42913,Ammannia baccifera L.,Plantae,SPECIES
148790200,5352251,42963,Robinia pseudoacacia L.,Plantae,SPECIES
148790201,2959443,42937,Gleditsia triacanthos L.,Plantae,SPECIES
148790202,5357407,42914,Amorpha fruticosa L.,Plantae,SPECIES
148790205,5389029,42966,Solidago canadensis L.,Plantae,SPECIES
3146717,5404795,42922,Erigeron bonariensis L.,Plantae,SPECIES
3146791,5404801,42923,Erigeron canadensis L.,Plantae,SPECIES
3117449,4219549,42931,Erigeron annuus (L.) Pers.,Plantae,SPECIES
3117449,6298108,42932,Erigeron annuus (L.) Pers.,Plantae,SPECIES
148790214,3088481,42968,Tagetes minuta L.,Plantae,SPECIES
148790215,3089150,42970,Xanthium spinosum L.,Plantae,SPECIES
148790216,3103791,42951,Matricaria discoidea DC.,Plantae,SPECIES
148790217,3132570,42935,Galinsoga parviflora Cav.,Plantae,SPECIES
3132567,3132567,42936,Galinsoga quadriradiata Cav.,Plantae,SPECIES
148790219,8002952,42912,Ambrosia artemisiifolia L.,Plantae,SPECIES
148790222,3084616,42938,Glinus lotoides L.,Plantae,SPECIES
2889173,5334357,42933,Reynoutria japonica Houtt.,Plantae,SPECIES
148790227,5568446,42928,Dysphania ambrosioides (L.) Mosyakin & Clemants,Plantae,SPECIES
148790228,3083823,42920,Chenopodium L.,Plantae,GENUS
148790229,5384401,42911,Amaranthus spinosus L.,Plantae,SPECIES
148790230,5384396,42910,Amaranthus deflexus L.,Plantae,SPECIES
148790233,3190653,42909,Ailanthus altissima (Mill.) Swingle,Plantae,SPECIES
148790235,5421180,42944,Koelreuteria paniculata Laxm.,Plantae,SPECIES
148790236,3189866,42908,Acer negundo L.,Plantae,SPECIES
