taxonKey,nubKey,countryCode,occurrenceStatus,establishmentMeans,degreeOfEstablishment,pathway,eventDate,source
219993027,2284723,NO,present,introduced,,transport - contaminant: other means of contamination,,
219993028,11573124,NO,present,introduced,,unaided: natural dispersal across borders of invasive alien organisms,2017,
219993029,3222355,NO,present,introduced,invasive,unaided: natural dispersal across borders of invasive alien organisms,,
219993030,2284723,NO,present,introduced,,transport - contaminant: contaminant nursery material,,
219993031,3222355,NO,present,introduced,invasive,transport - contaminant: parasites on plants (including species transported by host and vector),,
219993032,2284723,NO,present,introduced,,"transport - contaminant: contaminant on plants (except parasites, species transported by host/vector)",,
219993033,11573124,NO,present,introduced,,transport - contaminant: parasites on plants (including species transported by host and vector),2017,
219993034,2284723,NO,present,introduced,,corridors: interconnected waterways/basins/seas,,
219993039,3219898,NO,present,introduced,invasive,unaided: natural dispersal across borders of invasive alien organisms,,
219993041,3219898,NO,present,introduced,invasive,transport - contaminant: parasites on plants (including species transported by host and vector),,
219993045,1001263,NO,present,introduced,,transport - stowaway: other means of transport,,
219993048,1001263,NO,present,introduced,,transport - contaminant: other means of contamination,,
219993051,3202936,NO,present,introduced,invasive,transport - contaminant: parasites on animals (including organisms transported by host and vector),1971,
219993055,1002572,NO,present,introduced,,unaided: natural dispersal across borders of invasive alien organisms,,
219993058,1002572,NO,present,introduced,,transport - stowaway: other means of transport,,
219993059,7369982,NO,present,introduced,,unaided: natural dispersal across borders of invasive alien organisms,,
219993061,1002572,NO,present,introduced,,transport - stowaway: ship/boat ballast water,,
219993062,7369982,NO,present,introduced,,"transport - contaminant: transportation of habitat material (soil, vegetation, wood etc)",,
219993064,7369982,NO,present,introduced,,transport - contaminant: contaminant nursery material,,
219993069,5239864,NO,present,introduced,,unaided: natural dispersal across borders of invasive alien organisms,1886,
219993070,3203624,NO,present,introduced,,transport - contaminant: parasites on plants (including species transported by host and vector),,
219993072,8144408,NO,present,introduced,,unaided: natural dispersal across borders of invasive alien organisms,,
219993073,5239873,NO,present,introduced,,unaided: natural dispersal across borders of invasive alien organisms,1963,
219993074,5239864,NO,present,introduced,,"transport - contaminant: contaminant on plants (except parasites, species transported by host/vector)",1886,
219993076,7611054,NO,present,introduced,invasive,unaided: natural dispersal across borders of invasive alien organisms,2020,
219993078,5166489,NO,present,introduced,,corridors: interconnected waterways/basins/seas,,
219993079,3203618,NO,present,introduced,,"transport - contaminant: transportation of habitat material (soil, vegetation, wood etc)",2009,
219993080,6467647,NO,present,introduced,,transport - stowaway: ship/boat hull fouling,,
3301120,7969936,NO,present,introduced,,unaided: natural dispersal across borders of invasive alien organisms,,
219993082,3203721,NO,present,introduced,,"transport - contaminant: transportation of habitat material (soil, vegetation, wood etc)",1989,
219993083,5166489,NO,present,introduced,,transport - stowaway: ship/boat hull fouling,,
3301120,7969936,NO,present,introduced,,"transport - contaminant: contaminant on plants (except parasites, species transported by host/vector)",,
219993085,6467647,NO,present,introduced,,unaided: natural dispersal across borders of invasive alien organisms,,
219993086,3277417,NO,present,introduced,invasive,transport - contaminant: parasites on plants (including species transported by host and vector),2009,
219993087,5239920,NO,present,introduced,,"transport - contaminant: contaminant on plants (except parasites, species transported by host/vector)",,
219993088,4805564,NO,present,introduced,,corridors: interconnected waterways/basins/seas,,
219993089,8003799,NO,present,introduced,,"transport - contaminant: transportation of habitat material (soil, vegetation, wood etc)",2011,
219993090,5239909,NO,present,introduced,,unaided: natural dispersal across borders of invasive alien organisms,,
219993091,4805564,NO,present,introduced,,transport - stowaway: ship/boat hull fouling,,
219993092,5239850,NO,present,introduced,,"transport - contaminant: contaminant on plants (except parasites, species transported by host/vector)",,
219993093,8268305,NO,present,introduced,invasive,transport - contaminant: parasites on plants (including species transported by host and vector),,
219993094,6467647,NO,present,introduced,,corridors: interconnected waterways/basins/seas,,
219993095,5239925,NO,present,introduced,,unaided: natural dispersal across borders of invasive alien organisms,1994,
219993096,3203705,NO,present,introduced,,transport - contaminant: parasites on plants (including species transported by host and vector),1995,
219993098,5239909,NO,present,introduced,,"transport - contaminant: contaminant on plants (except parasites, species transported by host/vector)",,
219993099,3203721,NO,present,introduced,,transport - contaminant: parasites on plants (including species transported by host and vector),1989,
219993101,5239851,NO,present,introduced,,unaided: natural dispersal across borders of invasive alien organisms,,
219993102,3203682,NO,present,introduced,,unaided: natural dispersal across borders of invasive alien organisms,2010,
219993103,5239925,NO,present,introduced,,"transport - contaminant: contaminant on plants (except parasites, species transported by host/vector)",1994,
219993105,5239922,NO,present,introduced,,"transport - contaminant: contaminant on plants (except parasites, species transported by host/vector)",,
219993106,4324852,NO,present,introduced,,transport - contaminant: parasites on animals (including organisms transported by host and vector),,
219993107,3203621,NO,present,introduced,invasive,"transport - contaminant: transportation of habitat material (soil, vegetation, wood etc)",2004,
219993108,5239851,NO,present,introduced,,"transport - contaminant: contaminant on plants (except parasites, species transported by host/vector)",,
219993109,3203611,NO,present,introduced,,transport - contaminant: parasites on plants (including species transported by host and vector),2012,
219993111,3277457,NO,present,introduced,,transport - contaminant: contaminant nursery material,2019,
219993112,5239873,NO,present,introduced,,"transport - contaminant: contaminant on plants (except parasites, species transported by host/vector)",1963,
219993113,5166638,NO,present,introduced,,unaided: natural dispersal across borders of invasive alien organisms,,
219993115,3203668,NO,present,introduced,invasive,transport - contaminant: parasites on plants (including species transported by host and vector),,
219993117,8339825,NO,present,introduced,,unaided: natural dispersal across borders of invasive alien organisms,2014,
219993118,2110813,NO,present,introduced,,unaided: natural dispersal across borders of invasive alien organisms,,
219993119,7911063,NO,present,introduced,,"transport - contaminant: transportation of habitat material (soil, vegetation, wood etc)",2014,
219993120,8339825,NO,present,introduced,,transport - contaminant: parasites on plants (including species transported by host and vector),2014,
219993121,2110813,NO,present,introduced,,transport - contaminant: parasites on animals (including organisms transported by host and vector),,
219993123,2110811,NO,present,introduced,,transport - contaminant: parasites on animals (including organisms transported by host and vector),,
219993124,3203627,NO,present,introduced,,unaided: natural dispersal across borders of invasive alien organisms,2004,
219993127,3277425,NO,present,introduced,invasive,transport - stowaway: people and their luggage/equipment (in particular tourism),,
219993128,5249271,NO,present,introduced,,unaided: natural dispersal across borders of invasive alien organisms,2007,
219993130,3277404,NO,present,introduced,invasive,"transport - contaminant: transportation of habitat material (soil, vegetation, wood etc)",,
219993131,5249271,NO,present,introduced,,transport - contaminant: parasites on plants (including species transported by host and vector),2007,
219993132,3203610,NO,present,introduced,invasive,"transport - contaminant: transportation of habitat material (soil, vegetation, wood etc)",2005,
219993133,4318331,NO,present,introduced,,transport - stowaway: other means of transport,2010,
219993135,4318331,NO,present,introduced,,unaided: natural dispersal across borders of invasive alien organisms,2010,
219993136,3203627,NO,present,introduced,,transport - contaminant: parasites on plants (including species transported by host and vector),2004,
219993137,4318331,NO,present,introduced,,"transport - contaminant: transportation of habitat material (soil, vegetation, wood etc)",2010,
219993138,3203650,NO,present,introduced,invasive,transport - contaminant: parasites on plants (including species transported by host and vector),,
219993139,4318331,NO,present,introduced,,"transport - contaminant: contaminant on plants (except parasites, species transported by host/vector)",2010,
219993141,8104041,NO,present,introduced,invasive,transport - contaminant: parasites on plants (including species transported by host and vector),2020,
219993143,2554082,NO,present,introduced,,transport - contaminant: parasites on plants (including species transported by host and vector),,
219993144,7572610,NO,present,introduced,,"transport - contaminant: transportation of habitat material (soil, vegetation, wood etc)",2014,
219993146,7572610,NO,present,introduced,,"transport - stowaway: vehicles (car, train, etc.)",2014,
219993147,2554082,NO,present,introduced,,unaided: natural dispersal across borders of invasive alien organisms,,
219993148,2114769,NO,present,introduced,,"transport - contaminant: contaminant on animals (except parasites, organisms transported by host/vector)",2011,
219993149,3203627,NO,present,introduced,,"transport - contaminant: transportation of habitat material (soil, vegetation, wood etc)",2004,
219993150,2114769,NO,present,introduced,,transport - stowaway: ship/boat ballast water,2011,
219993151,3277433,NO,present,introduced,invasive,"transport - contaminant: transportation of habitat material (soil, vegetation, wood etc)",,
219993153,2114769,NO,present,introduced,,unaided: natural dispersal across borders of invasive alien organisms,2011,
219993154,9649446,NO,present,introduced,,unaided: natural dispersal across borders of invasive alien organisms,2021,
219993155,2114769,NO,present,introduced,,transport - stowaway: ship/boat hull fouling,2011,
219993157,3203650,NO,present,introduced,invasive,"transport - contaminant: transportation of habitat material (soil, vegetation, wood etc)",,
219993159,8099302,NO,present,introduced,invasive,unaided: natural dispersal across borders of invasive alien organisms,,
219993160,3203625,NO,present,introduced,,transport - contaminant: parasites on plants (including species transported by host and vector),2021,
219993161,2114446,NO,present,introduced,,transport - stowaway: ship/boat ballast water,2012,
219993162,8099302,NO,present,introduced,invasive,"transport - contaminant: contaminant on plants (except parasites, species transported by host/vector)",,
219993163,3277417,NO,present,introduced,invasive,unaided: natural dispersal across borders of invasive alien organisms,2009,
219993164,2114446,NO,present,introduced,,unaided: natural dispersal across borders of invasive alien organisms,2012,
219993166,7611054,NO,present,introduced,invasive,"transport - contaminant: transportation of habitat material (soil, vegetation, wood etc)",2020,
219993167,3203682,NO,present,introduced,,transport - contaminant: parasites on plants (including species transported by host and vector),2010,
219993170,3203698,NO,present,introduced,invasive,"transport - contaminant: transportation of habitat material (soil, vegetation, wood etc)",2004,
219993171,2115769,NO,present,introduced,invasive,corridors: interconnected waterways/basins/seas,2013,
219993173,3277457,NO,present,introduced,,unaided: natural dispersal across borders of invasive alien organisms,2019,
219993174,2115769,NO,present,introduced,invasive,transport - stowaway: ship/boat hull fouling,2013,
219993175,8144408,NO,present,introduced,,transport - contaminant: parasites on plants (including species transported by host and vector),,
11812602,5242106,NO,present,introduced,,"transport - contaminant: contaminant on plants (except parasites, species transported by host/vector)",,
219993178,7572610,NO,present,introduced,,transport - contaminant: parasites on plants (including species transported by host and vector),2014,
11812602,5242106,NO,present,introduced,,transport - contaminant: timber trade,,
219993181,3203610,NO,present,introduced,invasive,"transport - contaminant: contaminant on plants (except parasites, species transported by host/vector)",2005,
219993184,8003799,NO,present,introduced,,transport - contaminant: parasites on plants (including species transported by host and vector),2011,
219993185,2536855,NO,present,introduced,invasive,unaided: natural dispersal across borders of invasive alien organisms,,
219993186,1012436,NO,present,introduced,,"transport - contaminant: transportation of habitat material (soil, vegetation, wood etc)",1994,
