taxonID,taxonKey,scientificName,action,acceptedKey,acceptedName
13148,219993059,"Phytopythium vexans (de Bary) Abad, de Cock, Bala, Robideau, A.M.Lodhi & LÃ©vesque",scientificName_replaced_by_backbone_name,7369982,"Phytopythium vexans (de Bary) Abad, de Cock, Bala, Robideau, A.M.Lodhi & Lévesque"
13149,219993062,"Phytopythium vexans (de Bary) Abad, de Cock, Bala, Robideau, A.M.Lodhi & LÃ©vesque",scientificName_replaced_by_backbone_name,7369982,"Phytopythium vexans (de Bary) Abad, de Cock, Bala, Robideau, A.M.Lodhi & Lévesque"
13147,219993064,"Phytopythium vexans (de Bary) Abad, de Cock, Bala, Robideau, A.M.Lodhi & LÃ©vesque",scientificName_replaced_by_backbone_name,7369982,"Phytopythium vexans (de Bary) Abad, de Cock, Bala, Robideau, A.M.Lodhi & Lévesque"
14106,219993081,Suillus asiaticus (Singer) Kretzer & T.D.Bruns,merged_with_accepted,3301120,Boletinus asiaticus Singer
14105,219993084,Suillus asiaticus (Singer) Kretzer & T.D.Bruns,merged_with_accepted,3301120,Boletinus asiaticus Singer
13104,219993107,"Phytophthora inundata Brasier, SÃ¡nch.Hern. & S.A.Kirk",scientificName_replaced_by_backbone_name,3203621,"Phytophthora inundata Brasier, Sánch.Hern. & S.A.Kirk"
11812,219993176,Gymnopus luxurians (Peck) Murrill,merged_with_accepted,11812602,Collybiopsis luxurians (Peck) R.H.Petersen
11811,219993179,Gymnopus luxurians (Peck) Murrill,merged_with_accepted,11812602,Collybiopsis luxurians (Peck) R.H.Petersen
13102,219993201,"Phytophthora inundata Brasier, SÃ¡nch.Hern. & S.A.Kirk",scientificName_replaced_by_backbone_name,3203621,"Phytophthora inundata Brasier, Sánch.Hern. & S.A.Kirk"
13103,219993264,"Phytophthora inundata Brasier, SÃ¡nch.Hern. & S.A.Kirk",scientificName_replaced_by_backbone_name,3203621,"Phytophthora inundata Brasier, Sánch.Hern. & S.A.Kirk"
12233,219993285,Leucoagaricus melanotrichus (MalenÃ§on & Bertault) Trimbach,scientificName_replaced_by_backbone_name,3333429,Leucoagaricus melanotrichus (Malençon & Bertault) Trimbach
10121,219993458,"Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq",merged_with_accepted,5278964,Gracilaria vermiculophylla (Ohmi) Papenfuss
10120,219993461,"Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq",merged_with_accepted,5278964,Gracilaria vermiculophylla (Ohmi) Papenfuss
10119,219993464,"Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq",merged_with_accepted,5278964,Gracilaria vermiculophylla (Ohmi) Papenfuss
10118,219993466,"Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq",merged_with_accepted,5278964,Gracilaria vermiculophylla (Ohmi) Papenfuss
13477,219993574,Pucciniastrum minimum (Schwein.) Arthur,merged_with_accepted,7403739,Thekopsora minima (Schwein.) P.Syd. & Syd.
13476,219993577,Pucciniastrum minimum (Schwein.) Arthur,merged_with_accepted,7403739,Thekopsora minima (Schwein.) P.Syd. & Syd.
13050,219993652,"Physokermes inopinatus Danzig & KozÃ¡r, 1973",scientificName_replaced_by_backbone_name,2091700,"Physokermes inopinatus Danzig & Kozár, 1973"
13049,219993666,"Physokermes inopinatus Danzig & KozÃ¡r, 1973",scientificName_replaced_by_backbone_name,2091700,"Physokermes inopinatus Danzig & Kozár, 1973"
13051,219993671,"Physokermes inopinatus Danzig & KozÃ¡r, 1973",scientificName_replaced_by_backbone_name,2091700,"Physokermes inopinatus Danzig & Kozár, 1973"
12569,219993696,Meria laricis Vuill.,merged_with_accepted,8365396,Rhabdocline laricis (Vuill.) J.K.Stone
11306,219993796,Dennstaedtia punctilobula (Michx.) T.Moore,merged_with_accepted,3605467,Sitobolium punctilobum (Poir.) Desv.
11305,219993799,Dennstaedtia punctilobula (Michx.) T.Moore,merged_with_accepted,3605467,Sitobolium punctilobum (Poir.) Desv.
13286,219993807,"Populicerus nitidissimus (Herrich-SchÃ¤ffer, 1835)",scientificName_replaced_by_backbone_name,9075015,"Populicerus nitidissimus (Herrich-Schäffer, 1835)"
14082,219993844,"Stenidiocerus poecilus (Herrich-Schäffer, 1835)",merged_with_accepted,8616087,"Metidiocerus poecilus (Herrich-Schäffer, 1835)"
10656,219993864,Callitropsis nootkatensis (D.Don) D.P.Little,merged_with_accepted,2683894,Xanthocyparis nootkatensis (D.Don) Farjon & Harder
10655,219993866,Callitropsis nootkatensis (D.Don) D.P.Little,merged_with_accepted,2683894,Xanthocyparis nootkatensis (D.Don) Farjon & Harder
13035,219993867,Phomopsis juniperivora G.G.Hahn,merged_with_accepted,7542231,Diaporthe juniperivora (G.G.Hahn) Rossman & Udayanga
12200,219993939,"Lepidosaphes newsteadi (Å ulc, 1895)",not_matched_with_backbone,,
10595,219993951,"Bretziella fagacearum (Bretz) Z.W.de Beer, Marinc., T.A.Duong & M.J.Wingf.",merged_with_accepted,5252299,Ceratocystis fagacearum (Bretz) J.Hunt
10594,219993952,"Bretziella fagacearum (Bretz) Z.W.de Beer, Marinc., T.A.Duong & M.J.Wingf.",merged_with_accepted,5252299,Ceratocystis fagacearum (Bretz) J.Hunt
14292,219993953,Trioza apicalis Förster,merged_with_accepted,8104237,"Dyspersa apicalis (Foerster, 1848)"
14291,219993955,Trioza apicalis Förster,merged_with_accepted,8104237,"Dyspersa apicalis (Foerster, 1848)"
10593,219993956,"Bretziella fagacearum (Bretz) Z.W.de Beer, Marinc., T.A.Duong & M.J.Wingf.",merged_with_accepted,5252299,Ceratocystis fagacearum (Bretz) J.Hunt
10592,219993958,"Bretziella fagacearum (Bretz) Z.W.de Beer, Marinc., T.A.Duong & M.J.Wingf.",merged_with_accepted,5252299,Ceratocystis fagacearum (Bretz) J.Hunt
11760,219993990,Glomerella acutata Guerber & J.C.Correll,merged_with_accepted,2568796,Colletotrichum acutatum J.H.Simmonds
11759,219993993,Glomerella acutata Guerber & J.C.Correll,merged_with_accepted,2568796,Colletotrichum acutatum J.H.Simmonds
13165,219993997,Picea xlutzii Little,merged_with_accepted,5284875,Picea lutzii Little
