taxonKey,nubKey,taxonID,scientificName,kingdom,taxonRank
219993027,2284723,14360,"Urnatella gracilis Leidy, 1851",Animalia,SPECIES
219993028,11573124,14482,Xanthomonas fragariae_A,Bacteria,SPECIES
219993029,3222355,14488,"Xylella fastidiosa Wells et al., 1987",Bacteria,SPECIES
219993030,2284723,14358,"Urnatella gracilis Leidy, 1851",Animalia,SPECIES
219993031,3222355,14487,"Xylella fastidiosa Wells et al., 1987",Bacteria,SPECIES
219993032,2284723,14357,"Urnatella gracilis Leidy, 1851",Animalia,SPECIES
219993033,11573124,14481,Xanthomonas fragariae_A,Bacteria,SPECIES
219993034,2284723,14359,"Urnatella gracilis Leidy, 1851",Animalia,SPECIES
219993039,3219898,13521,"Ralstonia solanacearum (Smith, 1896) Yabuuchi et al., 1996",Bacteria,SPECIES
219993041,3219898,13520,"Ralstonia solanacearum (Smith, 1896) Yabuuchi et al., 1996",Bacteria,SPECIES
219993045,1001263,11833,"Habrotrocha constricta (Dujardin, 1841)",Animalia,SPECIES
219993048,1001263,11832,"Habrotrocha constricta (Dujardin, 1841)",Animalia,SPECIES
219993051,3202936,10338,Aphanomyces astaci Schikora,Chromista,SPECIES
219993055,1002572,12087,"Kellicottia bostoniensis (Rousselet, 1908)",Animalia,SPECIES
219993058,1002572,12088,"Kellicottia bostoniensis (Rousselet, 1908)",Animalia,SPECIES
219993059,7369982,13148,"Phytopythium vexans (de Bary) Abad, de Cock, Bala, Robideau, A.M.Lodhi & Lévesque",Chromista,SPECIES
219993061,1002572,12086,"Kellicottia bostoniensis (Rousselet, 1908)",Animalia,SPECIES
219993062,7369982,13149,"Phytopythium vexans (de Bary) Abad, de Cock, Bala, Robideau, A.M.Lodhi & Lévesque",Chromista,SPECIES
219993064,7369982,13147,"Phytopythium vexans (de Bary) Abad, de Cock, Bala, Robideau, A.M.Lodhi & Lévesque",Chromista,SPECIES
219993069,5239864,14109,Suillus grevillei (Klotzsch) Singer,Fungi,SPECIES
219993070,3203624,13101,Phytophthora hibernalis Carne,Chromista,SPECIES
219993072,8144408,13119,Phytophthora parvispora Scanu & Denman,Chromista,SPECIES
219993073,5239873,14118,Suillus viscidus (L.) Roussel,Fungi,SPECIES
219993074,5239864,14110,Suillus grevillei (Klotzsch) Singer,Fungi,SPECIES
219993076,7611054,13071,Phytophthora chlamydospora Brasier & E.M.Hansen,Chromista,SPECIES
