taxonKey,nubKey,countryCode,occurrenceStatus,establishmentMeans,degreeOfEstablishment,pathway,eventDate,source
160884527,2515758,PL,present,introduced,,,,
8007875,7277834,PL,present,introduced,,,,
160884537,4987919,PL,present,introduced,,,,
5020078,9134964,PL,present,introduced,,,,
3221841,3221844,PL,present,introduced,,,,
160884558,3027159,PL,present,introduced,,,,
160884561,3228247,PL,present,introduced,,,,
160884568,5361803,PL,present,introduced,,,,
160884569,3225367,PL,present,introduced,,,,
160884571,7073658,PL,present,introduced,,,,
10808630,3225360,PL,present,introduced,,,,
160884577,7841283,PL,present,introduced,,,,
160884584,2094340,PL,present,introduced,,,,
160884586,3219362,PL,present,introduced,,,,
160884587,2266009,PL,present,introduced,,,,
160884589,7406340,PL,present,introduced,,,,
160884594,4408321,PL,present,introduced,,,,
160884601,4343705,PL,present,introduced,invasive,,,
160884604,3046736,PL,present,introduced,,,,
160884609,2704211,PL,present,introduced,,,,
160884610,2441502,PL,present,introduced,,,,
160884611,8971475,PL,present,introduced,,,,
160884614,3047811,PL,present,introduced,,,,
160884618,5159101,PL,present,introduced,,,,
160884619,5334218,PL,present,introduced,,,,
160884620,2287072,PL,present,introduced,invasive,,,
160884627,3040983,PL,present,introduced,,,,
160884628,2071309,PL,present,introduced,,,,
160884631,5189032,PL,present,introduced,,,,
160884633,8190231,PL,present,introduced,invasive,,,
160884634,7931731,PL,present,introduced,,,,
160884639,2557568,PL,present,introduced,,,,
160884644,2070614,PL,present,introduced,,,,
160884645,2308609,PL,present,introduced,,,,
4062005,9211147,PL,present,introduced,,,,
160884656,4115016,PL,present,introduced,,,,
160884658,8022932,PL,present,introduced,,,,
160884660,1032773,PL,present,introduced,,,,
160884663,2218560,PL,present,introduced,,,,
160884667,3203693,PL,present,introduced,,,,
160884669,2288847,PL,present,introduced,,,,
160884671,3203636,PL,present,introduced,,,,
3276937,3276938,PL,present,introduced,,,,
3085625,3085627,PL,present,introduced,,,,
160884680,4553496,PL,present,introduced,,,,
2882841,4936636,PL,present,introduced,,,,
160884684,3203846,PL,present,introduced,,,,
160884685,4440540,PL,present,introduced,,,,
160884686,2479311,PL,present,introduced,,,,
160884687,3203611,PL,present,introduced,,,,
160884689,3203668,PL,present,introduced,,,,
160884690,1601456,PL,present,introduced,,,,
160884691,3203625,PL,present,introduced,,,,
160884692,9059312,PL,present,introduced,,,,
160884693,3203682,PL,present,introduced,,,,
160884695,3203590,PL,present,introduced,,,,
160884696,5373324,PL,present,introduced,,,,
160884697,3203610,PL,present,introduced,,,,
160884699,3203716,PL,present,introduced,,,,
160884702,4553478,PL,present,introduced,,,,
160884703,5284745,PL,present,introduced,,,,
160884704,2295438,PL,present,introduced,invasive,,,
160884705,5284794,PL,present,introduced,,,,
160884706,2308541,PL,present,introduced,,,,
160884707,2353225,PL,present,introduced,invasive,,,
160884709,3085623,PL,present,introduced,,,,
8149923,3023186,PL,present,introduced,,,,
160884713,3203755,PL,present,introduced,,,,
4565020,5191103,PL,present,introduced,,,,
160884715,3203787,PL,present,introduced,,,,
8360203,3203741,PL,present,introduced,,,,
160884718,5401877,PL,present,introduced,,,,
160884719,3203818,PL,present,introduced,,,,
3203768,8670032,PL,present,introduced,,,,
160884722,2149784,PL,present,introduced,,,,
160884723,5190777,PL,present,introduced,,,,
160884725,5229072,PL,present,introduced,,,,
160884728,4565061,PL,present,introduced,,,,
160884730,5858758,PL,present,introduced,,,,
160884731,3202936,PL,present,introduced,invasive,,,
160884733,4567717,PL,present,introduced,,,,
160884735,2294096,PL,present,introduced,invasive,,,
160884737,5779455,PL,present,introduced,invasive,,,
160884738,2294102,PL,present,introduced,,,,
160884740,2294103,PL,present,introduced,invasive,,,
5892120,2502879,PL,present,introduced,,,,
3027231,7430942,PL,present,introduced,,,,
7787813,7787813,PL,present,introduced,,,,
160884755,2232819,PL,present,introduced,,,,
160884758,6481820,PL,present,introduced,,,,
160884763,2481936,PL,present,introduced,,,,
160884766,5740285,PL,present,introduced,,,,
160884767,1032759,PL,present,introduced,,,,
2621905,2621903,PL,present,introduced,,,,
160884769,7358695,PL,present,introduced,,,,
160884774,2220142,PL,present,introduced,,,,
5815252,4422395,PL,present,introduced,,,,
160884776,5229204,PL,present,introduced,,,,
160884781,4543801,PL,present,introduced,,,,
10944522,3052738,PL,present,introduced,,,,
160884785,2362868,PL,present,introduced,invasive,,,
160884786,4443287,PL,present,introduced,,,,
160884787,2685796,PL,present,introduced,,,,
160884791,4412354,PL,present,introduced,,,,
160884792,4412352,PL,present,introduced,,,,
160884794,4412387,PL,present,introduced,,,,
160884795,8584304,PL,present,introduced,,,,
160884796,4412351,PL,present,introduced,,,,
160884797,4412304,PL,present,introduced,,,,
160884805,4264680,PL,present,introduced,,,,
160884806,2578415,PL,present,introduced,,,,
9807414,4412428,PL,present,introduced,,,,
160884811,5221283,PL,present,introduced,,,,
7849018,7649998,PL,present,introduced,,,,
160884816,5204034,PL,present,introduced,,,,
160884818,3170819,PL,present,introduced,,,,
160884821,5204037,PL,present,introduced,,,,
160884824,7725417,PL,present,introduced,,,,
12154039,5255271,PL,present,introduced,,,,
2578625,5494875,PL,present,introduced,,,,
7758879,4413868,PL,present,introduced,,,,
160884832,3085381,PL,present,introduced,,,,
160884835,2578925,PL,present,introduced,,,,
160884837,2578594,PL,present,introduced,,,,
160884838,4414705,PL,present,introduced,,,,
3482288,3482287,PL,present,introduced,,,,
160884841,2578578,PL,present,introduced,,,,
160884843,2308113,PL,present,introduced,,,,
160884844,2578401,PL,present,introduced,,,,
160884845,2093900,PL,present,introduced,,,,
160884846,2578803,PL,present,introduced,,,,
160884848,2578561,PL,present,introduced,,,,
160884850,2578424,PL,present,introduced,,,,
160884851,2892272,PL,present,introduced,,,,
160884852,2578941,PL,present,introduced,,,,
