taxonID,taxonKey,scientificName,action,acceptedKey,acceptedName
86233,160884527,Uromyces silphii Arthur,scientificName_replaced_by_backbone_name,2515758,Uromyces silphii (Syd. & P.Syd.) Arthur
85935,160884534,Ranunculus friesianus Jordan,merged_with_accepted,8007875,Ranunculus acris subsp. friesianus (Jord.) Syme
86301,160884542,"Xylosandrus germanus Blandford, 1894",merged_with_accepted,5020078,"Xyleborus germanus Blandford, 1894"
86285,160884547,Virga pilosa (L.) Hill,merged_with_accepted,4102733,Dipsacus pilosus L.
85155,160884550,Erysimum cheiranthoides L.,establishmentMeans_missing,3048266,Erysimum cheiranthoides L.
85154,160884552,"Erwinia stewartii (Smith, 1898) Dye, 1963",merged_with_accepted,3221841,"Pantoea stewartii (Smith, 1898) Mergaert et al., 1993"
84914,160884561,"Chlamydophila psittaci (Lillie, 1930) Everett & al., 1999",scientificName_replaced_by_backbone_name,3228247,"Chlamydophila psittaci (Lillie, 1930) Everett et al., 1999"
84935,160884569,"Clavibacter michiganensis subsp. insidiosus (McCulloch, 1925) Davis & al., 1984",scientificName_replaced_by_backbone_name,3225367,"Clavibacter michiganensis subsp. insidiosus (McCulloch, 1925) Davis et al., 1984"
84937,160884573,"Clavibacter michiganensis subsp. sepedonicus (Spieckermann & Kotthoff, 1914) Davis & al., 1984",merged_with_accepted,10808630,"Clavibacter sepedonicus (Spieckermann & Kotthoff) Li, Tambong, Yuan, Chen, Xu, Levesque & De Boer, 2018"
85558,160884577,Moenchia erecta,scientificName_replaced_by_backbone_name,7841283,"Moenchia erecta (L.) G.Gaertn., G.Mey. & Scherb."
85025,160884586,Cylindrospermopsis raciborskii (Wolosz.) Seena. & Subbar.,scientificName_replaced_by_backbone_name,3219362,Cylindrospermopsis raciborskii (Wołosz.) Seenayya & Subbaraju
85015,160884588,"Cuspidothrix issatschenkoi (UsaÄ ev) P.Rajan., KomÃ¡rek, Willame, Hrouzek, KatovskÃ¡, L.Hoffm. & Sivonen",not_matched_with_backbone,,"Cuspidothrix issatschenkoi (UsaÄ ev) P.Rajan., KomÃ¡rek, Willame, Hrouzek, KatovskÃ¡, L.Hoffm. & Sivonen"
85620,160884611,Odontites vernus Dumort.,scientificName_replaced_by_backbone_name,8971475,Odontites vernus (Bellardi) Dumort.
84962,160884631,"Corbicula fluminalis (O.F.MÃ¼ller, 1774)",scientificName_replaced_by_backbone_name,5189032,"Corbicula fluminalis (O.F.Müller, 1774)"
84963,160884633,"Corbicula fluminea (O.F.MÃ¼ller, 1774)",scientificName_replaced_by_backbone_name,8190231,"Corbicula fluminea (O.F.Müller, 1774)"
85870,160884645,"Potamothrix moldaviensis (VejdovskÃ½ & MrÃ¡zek, 1903)",scientificName_replaced_by_backbone_name,2308609,"Potamothrix moldaviensis Vejdovský & Mrázek, 1903"
86232,160884646,Uromyces limonii (DC.) LÃ©v.,not_matched_with_backbone,,Uromyces limonii (DC.) LÃ©v.
85458,160884649,Lithospermum arvense Ledeb.,merged_with_accepted,4062005,Buglossoides tenuiflora (L.fil.) I.M.Johnst.
84861,160884650,Cephaloidophora similis,not_matched_with_backbone,,Cephaloidophora similis
84860,160884651,Cephaloidophora mucronata (Codreanu-Balcescu 1995),not_matched_with_backbone,,Cephaloidophora mucronata (Codreanu-Balcescu 1995)
85832,160884663,"Platorchestia platensis (KrÃ¸yer, 1845)",scientificName_replaced_by_backbone_name,2218560,"Platorchestia platensis (Krøyer, 1845)"
85793,160884674,Phytophthora alni subsp. alni,not_matched_with_backbone,,Phytophthora alni subsp. alni
85755,160884675,Peronospora tabacina D.B.Adam,merged_with_accepted,3276937,Peronospora hyoscyami de Bary
85758,160884679,Petrorhagia velutina (Guss.) P.W.Ball & Heywood,merged_with_accepted,3085625,Petrorhagia dubia (Raf.) G.López & Romo
85699,160884683,Oxycoccus macrocarpos (Aiton) Pursh,merged_with_accepted,2882841,Vaccinium macrocarpon Aiton
85802,160884701,Phytophthora nicotianae var. nicotianae,not_matched_with_backbone,,Phytophthora nicotianae var. nicotianae
85411,160884702,"Leiobunum limbatum L.Koch, 1861",scientificName_replaced_by_backbone_name,4553478,"Leiobunum limbatum Koch, 1861"
85757,160884709,Petrorhagia saxifraga Link,scientificName_replaced_by_backbone_name,3085623,Petrorhagia saxifraga (L.) Link
85756,160884711,Persica vulgaris Mill.,merged_with_accepted,8149923,Prunus persica (L.) Stokes
85302,160884712,"Helicoverpa armigera (Hubner, 1808)",establishmentMeans_missing,8108800,"Helicoverpa armigera (Hübner, 1808)"
85301,160884714,"Helicella obvia (Menke, 1828)",merged_with_accepted,4565020,"Xerolenta obvia (Menke, 1828)"
85752,160884717,Peronospora pisi Syd.,merged_with_accepted,8360203,Peronospora viciae (Berk.) Casp.
85750,160884721,Peronospora effusa (Grev.) Rabenh.,merged_with_accepted,3203768,Peronospora farinosa (Fr.) Fr.
84972,160884730,"Cornu aspersum (O.F.MÃ¼ller, 1774)",scientificName_replaced_by_backbone_name,5858758,"Cornu aspersum (O.F.Müller, 1774)"
84673,160884737,"Arion lusitanicus J.Mabille, 1868",scientificName_replaced_by_backbone_name,5779455,"Arion lusitanicus Mabille, 1868"
