taxonKey,nubKey,taxonID,scientificName,kingdom,taxonRank
148733237,3199116,38584,Sphaerotrichia divaricata (C.Agardh) Kylin,Chromista,SPECIES
148733240,3199116,38583,Sphaerotrichia divaricata (C.Agardh) Kylin,Chromista,SPECIES
148733245,3197869,38526,Petalonia binghamiae (J.Agardh) K.L.Vinogr.,Chromista,SPECIES
148733247,3197869,38527,Petalonia binghamiae (J.Agardh) K.L.Vinogr.,Chromista,SPECIES
148733248,3197869,38528,Petalonia binghamiae (J.Agardh) K.L.Vinogr.,Chromista,SPECIES
148733250,3197869,38530,Petalonia binghamiae (J.Agardh) K.L.Vinogr.,Chromista,SPECIES
148733251,3197869,38529,Petalonia binghamiae (J.Agardh) K.L.Vinogr.,Chromista,SPECIES
148733252,3197869,38531,Petalonia binghamiae (J.Agardh) K.L.Vinogr.,Chromista,SPECIES
4372687,9574566,38617,"Ruditapes decussatus (Linnaeus, 1758)",Animalia,SPECIES
4372687,9574566,38618,"Ruditapes decussatus (Linnaeus, 1758)",Animalia,SPECIES
148733256,4372687,38566,"Ruditapes decussatus (Linnaeus, 1758)",Animalia,SPECIES
7664805,2286685,38539,"Euglesa casertana (Poli, 1791)",Animalia,SPECIES
148733269,2643288,38453,Halimeda incrassata (J.Ellis) J.V.Lamour.,Plantae,SPECIES
148733274,2286060,38511,"Ostrea edulis Linnaeus, 1758",Animalia,SPECIES
148733277,8288896,38502,"Mytilus edulis Linnaeus, 1758",Animalia,SPECIES
7230558,5272099,38408,Codium fragile subsp. fragile,Plantae,SUBSPECIES
7230558,5272099,38407,Codium fragile subsp. fragile,Plantae,SUBSPECIES
148733283,5272106,38403,Codium fragile subsp. atlanticum (Cotton) P.C.Silva,Plantae,SUBSPECIES
148733284,5272106,38404,Codium fragile subsp. atlanticum (Cotton) P.C.Silva,Plantae,SUBSPECIES
148733286,5272106,38405,Codium fragile subsp. atlanticum (Cotton) P.C.Silva,Plantae,SUBSPECIES
148733287,7230558,38406,Codium fragile subsp. fragile,Plantae,SUBSPECIES
148733289,5272160,38409,"Codium vermilara (Olivi) Delle Chiaje, 1829",Plantae,SPECIES
148733291,5272160,38410,"Codium vermilara (Olivi) Delle Chiaje, 1829",Plantae,SPECIES
148733294,2643011,38388,Caulerpa prolifera (Forssk.) J.V.Lamour.,Plantae,SPECIES
148733295,5192721,38611,"Truncatella subcylindrica (Linnaeus, 1767)",Animalia,SPECIES
148733296,2642947,38389,Caulerpa webbiana Mont.,Plantae,SPECIES
148733297,5192721,38610,"Truncatella subcylindrica (Linnaeus, 1767)",Animalia,SPECIES
148733299,5192721,38609,"Truncatella subcylindrica (Linnaeus, 1767)",Animalia,SPECIES
148733301,5192721,38608,"Truncatella subcylindrica (Linnaeus, 1767)",Animalia,SPECIES
148733307,5189806,38535,"Physella acuta (Draparnaud, 1805)",Animalia,SPECIES
148733312,2658889,38450,Grateloupia turuturu Yamada,Plantae,SPECIES
148733313,5729905,38449,Grateloupia filicina (J.V.Lamour.) C.Agardh,Plantae,SPECIES
148733314,4366460,38465,"Hexaplex trunculus (Linnaeus, 1758)",Animalia,SPECIES
148733316,4366460,38462,"Hexaplex trunculus (Linnaeus, 1758)",Animalia,SPECIES
148733318,4366460,38463,"Hexaplex trunculus (Linnaeus, 1758)",Animalia,SPECIES
148733319,2668884,38369,Bonnemaisonia hamifera Hariot,Plantae,SPECIES
148733320,4366460,38464,"Hexaplex trunculus (Linnaeus, 1758)",Animalia,SPECIES
148733321,2668884,38370,Bonnemaisonia hamifera Hariot,Plantae,SPECIES
148733323,2668884,38366,Bonnemaisonia hamifera Hariot,Plantae,SPECIES
148733325,2668884,38367,Bonnemaisonia hamifera Hariot,Plantae,SPECIES
9025372,5727911,38551,"Aplus dorbignyi (Payraudeau, 1826)",Animalia,SPECIES
148733327,2668884,38368,Bonnemaisonia hamifera Hariot,Plantae,SPECIES
9025372,5727911,38550,"Aplus dorbignyi (Payraudeau, 1826)",Animalia,SPECIES
148733329,5279834,38347,Asparagopsis taxiformis (Delile) Trevis.,Plantae,SPECIES
9025372,5727911,38549,"Aplus dorbignyi (Payraudeau, 1826)",Animalia,SPECIES
9025372,5727911,38548,"Aplus dorbignyi (Payraudeau, 1826)",Animalia,SPECIES
9025372,5727911,38547,"Aplus dorbignyi (Payraudeau, 1826)",Animalia,SPECIES
148733336,2661325,38597,Symphyocladia marchantioides (Harv.) Falkenb.,Plantae,SPECIES
148733337,5193566,38434,"Engina turbinella (Kiener, 1836)",Animalia,SPECIES
148733338,2661325,38596,Symphyocladia marchantioides (Harv.) Falkenb.,Plantae,SPECIES
2661140,2661137,38483,Laurencia dendroidea J.Agardh,Plantae,SPECIES
2661140,2661008,38482,Laurencia dendroidea J.Agardh,Plantae,SPECIES
148733342,2660290,38556,"Pterosiphonia pinnulata (Kützing) Maggs & Hommersand, 1993",Plantae,SPECIES
148733343,2659725,38492,Lophocladia trichoclados (C.Agardh) F.Schmitz,Plantae,SPECIES
10433923,5277413,38504,"Melanothamnus sphaerocarpus (Børgesen) Díaz-Tapia & Maggs, 2017",Plantae,SPECIES
9738520,7776152,38503,Melanothamnus harveyi (Bailey) Diaz-Tapia & Maggs,Plantae,SPECIES
148733349,2661081,38480,Laurencia brongniartii J.Agardh,Plantae,SPECIES
9842003,5189887,38560,"Peregriana peregra (O.F.Müller, 1774)",Animalia,SPECIES
148733352,6452772,38590,Spongoclonium caribaeum (Børgesen) M.J.Wynne,Plantae,SPECIES
148733354,2657615,38448,Grallatoria reptans M.Howe,Plantae,SPECIES
9991201,5724457,38559,"Ampullaceana balthica (Linnaeus, 1758)",Animalia,SPECIES
148733357,2656879,38314,Aglaothamnion cordatum (Børgesen) Feldm.-Maz.,Plantae,SPECIES
148733359,2291336,38445,"Galba truncatula (O.F.Müller, 1774)",Animalia,SPECIES
9520065,2291152,38443,"Ferrissia californica (Rowell, 1863)",Animalia,SPECIES
148733366,5276982,38391,"Ceramium cingulatum Weber Bosse, 1923",Plantae,SPECIES
148733367,5189748,38546,"Planorbella trivolvis (Say, 1817)",Animalia,SPECIES
148733368,2657651,38340,Antithamnionella spirographidis (Schiffner) E.M.Wollaston,Plantae,SPECIES
148733370,2657641,38341,Antithamnionella ternifolia (Hook.f. & Harv.) Lyle,Plantae,SPECIES
148733372,2657493,38333,Antithamnion pectinatum (Mont.) Brauner,Plantae,SPECIES
148733374,2657493,38332,Antithamnion pectinatum (Mont.) Brauner,Plantae,SPECIES
148733376,2237923,38515,"Paraleucilla magna Klautau, Monteiro & Borojevic, 2004",Animalia,SPECIES
148733390,2657449,38331,Antithamnion diminuatum Wollaston,Plantae,SPECIES
148733391,2657449,38330,Antithamnion diminuatum Wollaston,Plantae,SPECIES
148733392,2242928,38424,"Desmacella meliorata Wiedenmayer, 1977",Animalia,SPECIES
148733393,2658484,38309,Acrothamnion preissii (Sonder) E.M.Wollaston,Plantae,SPECIES
148733399,2758700,38455,Hedychium gardnerianum Sheph. ex Ker Gawl.,Plantae,SPECIES
