taxonKey,nubKey,countryCode,occurrenceStatus,establishmentMeans,degreeOfEstablishment,pathway,eventDate,source
148735366,2688189,PT,present,introduced,,,,
148735367,2237923,PT,present,introduced,,,,
148735374,5285604,PT,present,introduced,,,,
148735377,5285565,PT,present,introduced,,,,
148735381,2684070,PT,present,introduced,,,,
9991201,5724457,PT,present,introduced,,,,
148735387,5189806,PT,present,introduced,,,,
148735390,7445284,PT,present,introduced,,,,
148735391,2290946,PT,present,introduced,,,,
148735393,5189745,PT,present,introduced,,,,
148735395,2290996,PT,present,introduced,,,,
148735396,2766169,PT,present,introduced,,,,
148735397,2766151,PT,present,introduced,,,,
2765942,2765940,PT,present,introduced,,,,
148735402,5303524,PT,present,introduced,,,,
148735403,2765156,PT,present,introduced,,,,
148735406,2765221,PT,present,introduced,,,,
5777790,5777790,PT,present,introduced,,,,
148735409,2765272,PT,present,introduced,,,,
148735413,5854272,PT,present,introduced,,,,
148735417,2765359,PT,present,introduced,,,,
148735419,2445034,PT,present,introduced,,,,
148735420,2763941,PT,present,introduced,,,,
148735421,2764202,PT,present,introduced,,,,
148735428,2758700,PT,present,introduced,invasive,,,
10075852,5859350,PT,present,introduced,,,,
148735431,2426658,PT,present,introduced,,,,
148735432,8034409,PT,present,introduced,,,,
148735437,8215487,PT,present,introduced,,,,
148735439,5204019,PT,present,introduced,,,,
148735440,2868827,PT,present,introduced,,,,
148735442,2871376,PT,present,introduced,,,,
148735444,2870583,PT,present,introduced,,,,
148735446,2867589,PT,present,introduced,,,,
148735447,2331276,PT,present,introduced,,,,
148735448,5330776,PT,present,introduced,,,,
148735451,2330198,PT,present,introduced,,,,
5329263,5329260,PT,present,introduced,,,,
148735454,2865980,PT,present,introduced,,,,
148735457,5200696,PT,present,introduced,,,,
148735459,2864546,PT,present,introduced,,,,
148735460,2331936,PT,present,introduced,,,,
148735462,5200757,PT,present,introduced,,,,
148735466,2436940,PT,present,introduced,,,,
148735467,6164851,PT,present,introduced,,,,
148735471,2439261,PT,present,introduced,invasive,,,
148735472,2439270,PT,present,introduced,,,,
2753724,2753740,PT,present,introduced,,,,
148735474,7429082,PT,present,introduced,,,,
148735477,5218911,PT,present,introduced,,,,
2435035,9533902,PT,present,introduced,invasive,,,
2718767,2718737,PT,present,introduced,,,,
148735484,2714796,PT,present,introduced,,,,
148735487,7705930,PT,present,introduced,,,,
148735489,2441056,PT,present,introduced,,,,
148735490,2715482,PT,present,introduced,,,,
148735491,2441022,PT,present,introduced,,,,
2714158,2714166,PT,present,introduced,,,,
148735499,1005677,PT,present,introduced,,,,
148735501,1010071,PT,present,introduced,,,,
148735503,1006752,PT,present,introduced,,,,
5828220,2706158,PT,present,introduced,,,,
148735506,7844959,PT,present,introduced,,,,
5828201,2706150,PT,present,introduced,,,,
148735510,7856206,PT,present,introduced,,,,
148735511,8428595,PT,present,introduced,,,,
148735512,4118280,PT,present,introduced,,,,
148735515,7446481,PT,present,introduced,,,,
148735517,2703041,PT,present,introduced,,,,
148735519,2703723,PT,present,introduced,,,,
2705848,2705851,PT,present,introduced,,,,
10638056,2257287,PT,present,introduced,,,,
148735525,5289624,PT,present,introduced,,,,
148735529,5289618,PT,present,introduced,,,,
148735530,5178082,PT,present,introduced,,,,
148735531,6431411,PT,present,introduced,,,,
148735533,2702808,PT,present,introduced,,,,
148735535,2705953,PT,present,introduced,,,,
148735537,5290299,PT,present,introduced,,,,
148735538,2115724,PT,present,introduced,,,,
148735539,2705955,PT,present,introduced,,,,
148735541,2705369,PT,present,introduced,,,,
148735543,2705431,PT,present,introduced,,,,
148735544,4316776,PT,present,introduced,,,,
148735545,2705378,PT,present,introduced,,,,
148735547,4149975,PT,present,introduced,,,,
148735550,2702446,PT,present,introduced,,,,
148735551,5289998,PT,present,introduced,,,,
148735552,5289972,PT,present,introduced,,,,
148735553,1322635,PT,present,introduced,,,,
148735554,2704922,PT,present,introduced,,,,
148735555,1316908,PT,present,introduced,,,,
2706231,2706232,PT,present,introduced,,,,
148735557,5927783,PT,present,introduced,,,,
148735559,5289763,PT,present,introduced,,,,
148735561,5290242,PT,present,introduced,,,,
148735562,2702503,PT,present,introduced,,,,
148735564,1651891,PT,present,introduced,,,,
148735565,2706242,PT,present,introduced,,,,
148735566,2706241,PT,present,introduced,,,,
148735567,4129708,PT,present,introduced,,,,
148735568,5289831,PT,present,introduced,,,,
148735569,2705162,PT,present,introduced,,,,
4108550,2705868,PT,present,introduced,,,,
148735571,2705090,PT,present,introduced,,,,
148735572,2704265,PT,present,introduced,,,,
148735573,2705565,PT,present,introduced,,,,
148735574,2705622,PT,present,introduced,,,,
148735575,8100050,PT,present,introduced,,,,
5290192,2706154,PT,present,introduced,,,,
