taxonID,taxonKey,scientificName,action,acceptedKey,acceptedName
38057,148731590,"Protopolystoma xenopodis (Price, 1943)",scientificName_replaced_by_backbone_name,4412136,"Protopolystoma xenopodis (Price, 1943) Bychowsky, 1957"
37955,148731626,Papenfussiella kuromo,not_matched_with_backbone,,Papenfussiella kuromo
37995,148731630,Petalonia binghamiae,scientificName_replaced_by_backbone_name,3197869,Petalonia binghamiae (J.Agardh) K.L.Vinogr.
37893,148731631,"Mycale senegalensis LÃ©vi, 1952",not_matched_with_backbone,,"Mycale senegalensis LÃ©vi, 1952"
37892,148731633,"Mycale (Carmia) sp. Gray, 1867",not_matched_with_backbone,,"Mycale (Carmia) sp. Gray, 1867"
38266,148731641,Ulva pertusa Kjellman,merged_with_accepted,12176228,Ulva spec Areschoug
37806,148731664,Leptophascum leptophyllum (MÃ¼ll.Hal.) J.Guerra & M.J.Cano,merged_with_accepted,5280189,Chenia leptophylla (Müll.Hal.) R.H.Zander
37443,148731669,"Campylopus introflexus Bridel, 1819",scientificName_replaced_by_backbone_name,5281901,Campylopus introflexus (Hedw.) Brid.
37780,148731675,"Laeospira berkeleyana (Rioja, 1942)",merged_with_accepted,5199488,"Pileolaria berkeleyana (Rioja, 1942)"
37749,148731683,Hypnea flagelliformis J.Agardh,not_matched_with_backbone,,Hypnea flagelliformis J.Agardh
37713,148731692,"Grateloupia lanceolata (Okamura) Kawaguchi, 1997",merged_with_accepted,2658925,"Pachymeniopsis lanceolata (K.Okamura) Y.Yamada ex S.Kawabata, 1954"
37712,148731693,Grateloupia imbricata Holmes,merged_with_accepted,4375636,"Grateloupia imbricata Holmes, 1896"
38243,148731706,"Tonicia atrata (G.B.Sowerby II, 1840)",merged_with_accepted,2306080,"Tonicia chilensis (Frembly, 1827)"
38220,148731711,"Symphyocladia marchantioides (Harvey) Falkenberg, 1897",scientificName_replaced_by_backbone_name,2661325,Symphyocladia marchantioides (Harv.) Falkenb.
38078,148731712,"Pterosiphonia pinnulata (KÃ¼tz.) Maggs & Hommersand, 1993",scientificName_replaced_by_backbone_name,2660290,"Pterosiphonia pinnulata (Kützing) Maggs & Hommersand, 1993"
37903,148731714,Neosiphonia sphaerocarpa (BÃ¸rgesen) M.S.Kim & I.K.Lee,merged_with_accepted,10433923,"Melanothamnus sphaerocarpus (Børgesen) Díaz-Tapia & Maggs, 2017"
37902,148731715,"Neosiphonia harveyi (J.W.Bailey) M.-S.Kim, H.-G.Choi, Guiry & G.W.Saunders",merged_with_accepted,9738520,Melanothamnus harveyi (Bailey) Diaz-Tapia & Maggs
37792,148731719,Laurencia chondrioides BÃ¸rgesen,not_matched_with_backbone,,Laurencia chondrioides BÃ¸rgesen
37791,148731720,"Laurencia brongniartii J.Agardh, 1841",scientificName_replaced_by_backbone_name,2661081,Laurencia brongniartii J.Agardh
37797,148731723,Laurencia obtusa (Huds.) J.V.Lamour.,merged_with_accepted,2661140,Laurencia dendroidea J.Agardh
37796,148731724,Laurencia majuscula (Harv.) A.H.S.Lucas,merged_with_accepted,2661140,Laurencia dendroidea J.Agardh
38234,148731727,"Tenellia adspersa (Nordmann, 1845)",scientificName_replaced_by_backbone_name,2292354,"Tenellia adspersa (von Nordmann, 1845)"
38206,148731730,Spongoclonium caribaeum (BÃ¸rgesen) M.J.Wynne,scientificName_replaced_by_backbone_name,6452772,Spongoclonium caribaeum (Børgesen) M.J.Wynne
37719,148731735,Gymnophycus hapsiphorus,not_matched_with_backbone,,Gymnophycus hapsiphorus
38244,148731736,"Tonna pennata (MÃ¶rch, 1853)",scientificName_replaced_by_backbone_name,2300444,"Tonna pennata (Mörch, 1853)"
