taxonKey,nubKey,countryCode,occurrenceStatus,establishmentMeans,degreeOfEstablishment,pathway,eventDate,source
160883570,2284723,RO,present,introduced,,,,
160883576,3203682,RO,present,introduced,,,,
160883579,1006399,RO,present,introduced,,,,
160883583,3202936,RO,present,introduced,invasive,,,
160883588,2327735,RO,present,introduced,invasive,,,
160883593,2321339,RO,present,introduced,,,,
160883595,5197736,RO,present,introduced,,,,
160883596,5254231,RO,present,introduced,,,,
160883597,5197747,RO,present,introduced,invasive,,,
160883598,2321463,RO,present,introduced,,,,
160883603,2566393,RO,present,introduced,,,,
160883611,4283395,RO,present,introduced,,,,
160883612,2685796,RO,present,introduced,,,,
160883614,5285053,RO,present,introduced,,,,
160883616,5285533,RO,present,introduced,,,,
160883617,5284982,RO,present,introduced,,,,
160883620,2265079,RO,present,introduced,invasive,,,
2684855,2684860,RO,present,introduced,,,,
2266546,2266521,RO,present,introduced,invasive,,,
160883626,2684191,RO,present,introduced,,,,
160883628,2684391,RO,present,introduced,,,,
160883629,2268682,RO,present,introduced,invasive,,,
160883636,2687885,RO,present,introduced,,,,
160883639,2501248,RO,present,introduced,invasive,,,
160883644,2650829,RO,present,introduced,,,,
160883647,5233152,RO,present,introduced,invasive,,,
160883648,2651586,RO,present,introduced,,,,
160883655,2650107,RO,present,introduced,,,,
160883656,5192470,RO,present,introduced,,,,
160883660,2291334,RO,present,introduced,,,,
160883663,2775561,RO,present,introduced,,,,
160883665,8080743,RO,present,introduced,,,,
160883666,4363583,RO,present,introduced,invasive,,,
160883669,9520065,RO,present,introduced,,,,
160883670,2858581,RO,present,introduced,,,,
160883674,2781103,RO,present,introduced,,,,
160883675,2291865,RO,present,introduced,invasive,,,
160883676,2781074,RO,present,introduced,,,,
160883680,5296178,RO,present,introduced,invasive,,,
160883681,5189806,RO,present,introduced,,,,
160883682,5298069,RO,present,introduced,,,,
160883684,5298086,RO,present,introduced,,,,
160883685,5779455,RO,present,introduced,,,,
160883691,5328972,RO,present,introduced,,,,
160883692,4559541,RO,present,introduced,invasive,,,
160883693,5329014,RO,present,introduced,,,,
160883695,5328909,RO,present,introduced,,,,
160883697,5328895,RO,present,introduced,,,,
160883698,2288847,RO,present,introduced,invasive,,,
160883701,7791733,RO,present,introduced,invasive,,,
160883702,2867614,RO,present,introduced,,,,
160883705,2287073,RO,present,introduced,,,,
160883706,2865526,RO,present,introduced,,,,
160883708,2865448,RO,present,introduced,,,,
160883710,5329212,RO,present,introduced,invasive,,,
160883711,8190231,RO,present,introduced,invasive,,,
11070196,2766009,RO,present,introduced,,,,
160883717,7820753,RO,present,introduced,,,,
160883719,2286079,RO,present,introduced,,,,
160883721,2765156,RO,present,introduced,,,,
160883723,2764179,RO,present,introduced,,,,
160883724,6531311,RO,present,introduced,invasive,,,
160883729,2701831,RO,present,introduced,,,,
160883730,6529629,RO,present,introduced,invasive,,,
160883731,2702084,RO,present,introduced,invasive,,,
160883735,2708744,RO,present,introduced,,,,
160883737,2715219,RO,present,introduced,,,,
160883739,2716226,RO,present,introduced,,,,
