taxonID,taxonKey,scientificName,action,acceptedKey,acceptedName
86932,160883614,Pinus ponderosa Douglas ex P.Lawson & C.Lawson,scientificName_replaced_by_backbone_name,5285053,Pinus ponderosa Douglas ex C.Lawson
87074,160883623,Thuja orientalis L.,merged_with_accepted,2684855,Platycladus orientalis (L.) Franco
86753,160883624,"Garveia franciscana (Torrey, 1902)",merged_with_accepted,2266546,"Calyptospadix cerulea Clarke, 1882"
87071,160883626,Taxodium distichum Rich.,scientificName_replaced_by_backbone_name,2684191,Taxodium distichum (L.) Rich.
86683,160883644,Cyrtomium falcatum C.Presl,scientificName_replaced_by_backbone_name,2650829,Cyrtomium falcatum (L.fil.) C.Presl
86584,160883647,"Beroe ovata Bruguiere, 1789",scientificName_replaced_by_backbone_name,5233152,"Beroe ovata Bruguière, 1789"
86948,160883656,"Potamopyrgus antipodarum (Gray, 1843)",scientificName_replaced_by_backbone_name,5192470,"Potamopyrgus antipodarum (J.E.Gray, 1843)"
86767,160883676,Hemerocallis fulva L.,scientificName_replaced_by_backbone_name,2781074,Hemerocallis fulva (L.) L.
86798,160883682,Iris germanica L.,scientificName_replaced_by_backbone_name,5298069,Iris ×germanica L.
86559,160883685,"Arion lusitanicus J.Mabille, 1868",scientificName_replaced_by_backbone_name,5779455,"Arion lusitanicus Mabille, 1868"
86997,160883693,Sagittaria subulata Buchenau,scientificName_replaced_by_backbone_name,5329014,Sagittaria subulata (L.) Buchenau
86711,160883710,Elodea nuttallii St.John,scientificName_replaced_by_backbone_name,5329212,Elodea nuttallii (Planch.) H.St.John
86656,160883711,"Corbicula fluminea (O.F.MÃ¼ller, 1774)",scientificName_replaced_by_backbone_name,8190231,"Corbicula fluminea (O.F.Müller, 1774)"
86856,160883716,Monochoria korsakowii Regel & Maack,merged_with_accepted,11070196,Pontederia korsakowii (Regel & Maack) M.Pell. & C.N.Horn
86557,160883724,"Arcuatula senhousia (Benson, 1842)",scientificName_replaced_by_backbone_name,6531311,"Arcuatula senhousia (W.H.Benson, 1842)"
86743,160883735,Fimbristylis bisumbellata Bubani,scientificName_replaced_by_backbone_name,2708744,Fimbristylis bisumbellata (Forssk.) Bubani
86513,160883750,Agropogon littoralis (Smith) C.E.Hubbard,merged_with_accepted,4125930,×Agropogon lutosus (Poir.) P.Fourn.
86600,160883754,Bromus willdenowii Kunth,merged_with_accepted,2703723,Bromus catharticus Vahl
87054,160883758,Sorghum sudanense (Piper) Stapf,merged_with_accepted,2705184,Sorghum ×drummondii (Nees ex Steud.) Millsp. & Chase
86870,160883759,"Neovison vison (Schreber, 1777)",merged_with_accepted,5218823,"Mustela vison Schreber, 1777"
87022,160883763,Setaria verticilliformis Dumort.,merged_with_accepted,5289686,Setaria verticillata (L.) P.Beauv.
87053,160883767,Sorghum halepense Pers.,scientificName_replaced_by_backbone_name,2705185,Sorghum halepense (L.) Pers.
86993,160883769,Saccharum ravennae (L.) L.,merged_with_accepted,6431296,Tripidium ravennae (L.) H.Scholz
87021,160883773,Setaria italica P.Beauv.,scientificName_replaced_by_backbone_name,5289698,Setaria italica (L.) P.Beauv.
86685,160883783,"Dama dama (Linnaeus, 1758)",filtered_on_establishmentMeans,5220136,"Dama dama (Linnaeus, 1758)"
86724,160883798,Eriochloa villosa Kunth,scientificName_replaced_by_backbone_name,2702529,Eriochloa villosa (Thunb.) Kunth
86713,160883802,Elymus athericus (Link) KerguÃ©len,scientificName_replaced_by_backbone_name,8766300,Elymus athericus (Link) Kerguélen
86701,160883804,Echinochloa colona (L.) Link,scientificName_replaced_by_backbone_name,6431411,Echinochloa colonum (L.) Link
86702,160883808,Echinochloa oryzicola Vasinger,merged_with_accepted,2702820,Echinochloa oryzoides (Ard.) Fritsch
86632,160883811,Cenchrus longispinus (Hack. ex Kneucker) Fernald,scientificName_replaced_by_backbone_name,5289731,Cenchrus longispinus (Hack.) Fernald
86658,160883831,"Coregonus lavaretus Valenciennes, 1848",scientificName_replaced_by_backbone_name,2351211,"Coregonus lavaretus (Linnaeus, 1758)"
86907,160883832,Parthenocissus vitacea (Knerr) Hitchc.,merged_with_accepted,3039203,Parthenocissus inserta (A.Kern.) Fritsch
86906,160883836,Parthenocissus tricuspidata Planch.,scientificName_replaced_by_backbone_name,3039209,Parthenocissus tricuspidata (Siebold & Zucc.) Planch.
86682,160883850,"Cyprinus carpio haematopterus Martens, 1876",merged_with_accepted,4286975,"Cyprinus carpio Linnaeus, 1758"
86891,160883854,Oxalis fontana,merged_with_accepted,9823072,Oxalis stricta L.
86863,160883875,Myriophyllum brasiliense Cambess.,merged_with_accepted,5361785,Myriophyllum aquaticum (Vell.) Verdc.
87015,160883881,Sedum spurium Bieb.,merged_with_accepted,11162940,Phedimus spurius subsp. spurius
86944,160883907,Populus canadensis Moench,scientificName_replaced_by_backbone_name,8190077,Populus ×canadensis Moench
86950,160883922,"Procambarus fallax f. virginalis Martin, Dorn, Kawai, van der Heiden & Scholtz, 2010",merged_with_accepted,9442269,"Procambarus virginalis Lyko, 2017"
86887,160883924,"Orconectes limosus (Rafinesque, 1817)",merged_with_accepted,8909595,"Faxonius limosus (Rafinesque, 1817)"
86735,160883929,Euphorbia prostrata Ait.,scientificName_replaced_by_backbone_name,3067891,Euphorbia prostrata Aiton
86737,160883936,"Eurypanopeus depressus Smith, 1869",scientificName_replaced_by_backbone_name,2227699,"Eurypanopeus depressus (SI Smith, 1869)"
86715,160883939,Epilobium adenocaulon Hausskn.,merged_with_accepted,7095758,Epilobium ciliatum subsp. ciliatum
87098,160883952,Viburnum rhytidophyllum Hemsl. ex Forb. & Hemsl.,scientificName_replaced_by_backbone_name,2888625,Viburnum rhytidophyllum Hemsl. ex Forbes & Hemsl.
87063,160883956,Symphoricarpos albus (L.) C.Koch,not_matched_with_backbone,,
86580,160883957,"Balanus perforatus BruguiÃ¨re, 1789-1792",merged_with_accepted,9802456,"Perforatus perforatus (Bruguière, 1789)"
86579,160883959,"Balanus improvisus Darwin, 1854",merged_with_accepted,6467647,"Amphibalanus improvisus (Darwin, 1854)"
86545,160883961,"Amphibalanus amphitrite Darwin, 1854",scientificName_replaced_by_backbone_name,4805564,"Amphibalanus amphitrite (Darwin, 1854)"
86965,160883979,Quercus palustris MÃ¼nchh.,not_matched_with_backbone,,
86626,160883993,Carya ovata K.Koch,scientificName_replaced_by_backbone_name,3054296,Carya ovata (Mill.) K.Koch
86704,160884010,Echinocystis lobata Torr. & A.Gray,scientificName_replaced_by_backbone_name,5331404,Echinocystis lobata (Michx.) Torr. & A.Gray
86645,160884014,Citrullus lanatus (Thunb.) Matsumura & Nakai,scientificName_replaced_by_backbone_name,2874621,Citrullus lanatus (Thunb.) Matsum. & Nakai
87082,160884017,Triconia minuta,scientificName_replaced_by_backbone_name,9483153,"Triconia minuta (Giesbrecht, 1893)"
